step,tol,triplet_cluster_count,cluster_sizes_desc
0,0.01,2,18;18
0,0.001,2,18;18
0,0.0001,2,18;18
0,1e-06,2,18;18
0,1e-08,2,18;18
0,1e-10,2,18;18
1,0.01,2,18;18
1,0.001,5,13;10;5;5;3
1,0.0001,21,4;4;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1
1,1e-06,36,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1,1e-08,36,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1,1e-10,36,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10,0.01,6,13;10;5;3;3;2
10,0.001,22,3;3;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
10,0.0001,36,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10,1e-06,36,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10,1e-08,36,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10,1e-10,36,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
50,0.01,20,4;4;3;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1
50,0.001,35,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
