case,N,M,rank,final_H_perp,r2_min,r2_max,classes_tol1e-6,classes_tol1e-2,coarse_pattern
N=8,8,28,7,1.5581619393803774,0.0059298018450273556,0.3953226845079343,28,27,3+2+2+2+2 + 17 singles at tol1e-2
N=9,9,36,8,1.7416066031930575,0.0027212012511419873,0.2687125790709189,36,31,2+2 + 32 singles at tol1e-2
