beta,theta_v_deg,regime,lambda_obs_minus_graze,lambda_obs_centre,lambda_obs_plus_graze,N,fringe_count_rigorous,fringe_count_paraxial,visible_orders_m
0.6,30,approach (blueshift at centre),1.6185,0.6005,0.8685,1,1,1,0
0.6,30,approach (blueshift at centre),1.6185,0.6005,0.8685,2,3,3,-1 0 1
0.6,30,approach (blueshift at centre),1.6185,0.6005,0.8685,3,5,5,-2 -1 0 1 2
0.6,30,approach (blueshift at centre),1.6185,0.6005,0.8685,4,7,7,-3 -2 -1 0 1 2 3
0.6,30,approach (blueshift at centre),1.6185,0.6005,0.8685,5,8,9,-3 -2 -1 0 1 2 3 4
0.6,30,approach (blueshift at centre),1.6185,0.6005,0.8685,6,9,11,-3 -2 -1 0 1 2 3 4 5
0.6,30,approach (blueshift at centre),1.6185,0.6005,0.8685,7,11,13,-3 -2 -1 0 1 2 3 4 5 6
0.6,30,approach (blueshift at centre),1.6185,0.6005,0.8685,8,13,15,-3 -2 -1 0 1 2 3 4 5 6 7
0.6,30,approach (blueshift at centre),1.6185,0.6005,0.8685,9,13,17,-3 -2 -1 0 1 2 3 4 5 6 7
0.6,30,approach (blueshift at centre),1.6185,0.6005,0.8685,10,13,17,-3 -2 -1 0 1 2 3 4 5 6 7
0.6,60,approach (blueshift at centre),1.8957,0.875,0.5968,1,1,1,0
0.6,60,approach (blueshift at centre),1.8957,0.875,0.5968,2,3,3,-1 0 1
0.6,60,approach (blueshift at centre),1.8957,0.875,0.5968,3,5,5,-2 -1 0 1 2
0.6,60,approach (blueshift at centre),1.8957,0.875,0.5968,4,6,7,-2 -1 0 1 2 3
0.6,60,approach (blueshift at centre),1.8957,0.875,0.5968,5,7,9,-2 -1 0 1 2 3 4
0.6,60,approach (blueshift at centre),1.8957,0.875,0.5968,6,8,11,-2 -1 0 1 2 3 4 5
0.6,60,approach (blueshift at centre),1.8957,0.875,0.5968,7,9,11,-2 -1 0 1 2 3 4 5 6
0.6,60,approach (blueshift at centre),1.8957,0.875,0.5968,8,10,11,-2 -1 0 1 2 3 4 5 6 7
0.6,60,approach (blueshift at centre),1.8957,0.875,0.5968,9,11,11,-2 -1 0 1 2 3 4 5 6 7 8
0.6,60,approach (blueshift at centre),1.8957,0.875,0.5968,10,13,11,-2 -1 0 1 2 3 4 5 6 7 8 9
0.6,90,transverse (relativistic redshift at centre),2.0,1.25,0.5,1,1,1,0
0.6,90,transverse (relativistic redshift at centre),2.0,1.25,0.5,2,3,3,-1 0 1
0.6,90,transverse (relativistic redshift at centre),2.0,1.25,0.5,3,5,5,-2 -1 0 1 2
0.6,90,transverse (relativistic redshift at centre),2.0,1.25,0.5,4,6,7,-2 -1 0 1 2 3
0.6,90,transverse (relativistic redshift at centre),2.0,1.25,0.5,5,7,9,-2 -1 0 1 2 3 4
0.6,90,transverse (relativistic redshift at centre),2.0,1.25,0.5,6,8,9,-2 -1 0 1 2 3 4 5
0.6,90,transverse (relativistic redshift at centre),2.0,1.25,0.5,7,9,9,-2 -1 0 1 2 3 4 5 6
0.6,90,transverse (relativistic redshift at centre),2.0,1.25,0.5,8,10,9,-2 -1 0 1 2 3 4 5 6 7
0.6,90,transverse (relativistic redshift at centre),2.0,1.25,0.5,9,11,9,-2 -1 0 1 2 3 4 5 6 7 8
0.6,90,transverse (relativistic redshift at centre),2.0,1.25,0.5,10,12,9,-2 -1 0 1 2 3 4 5 6 7 8 9
0.6,120,recede (redshift at centre),1.9032,1.625,0.6043,1,1,1,0
0.6,120,recede (redshift at centre),1.9032,1.625,0.6043,2,3,3,-1 0 1
0.6,120,recede (redshift at centre),1.9032,1.625,0.6043,3,5,5,-2 -1 0 1 2
0.6,120,recede (redshift at centre),1.9032,1.625,0.6043,4,6,7,-2 -1 0 1 2 3
0.6,120,recede (redshift at centre),1.9032,1.625,0.6043,5,7,7,-2 -1 0 1 2 3 4
0.6,120,recede (redshift at centre),1.9032,1.625,0.6043,6,8,7,-2 -1 0 1 2 3 4 5
0.6,120,recede (redshift at centre),1.9032,1.625,0.6043,7,9,7,-2 -1 0 1 2 3 4 5 6
0.6,120,recede (redshift at centre),1.9032,1.625,0.6043,8,10,7,-2 -1 0 1 2 3 4 5 6 7
0.6,120,recede (redshift at centre),1.9032,1.625,0.6043,9,11,7,-2 -1 0 1 2 3 4 5 6 7 8
0.6,120,recede (redshift at centre),1.9032,1.625,0.6043,10,11,7,-2 -1 0 1 2 3 4 5 6 7 8
0.6,150,recede (redshift at centre),1.6315,1.8995,0.8815,1,1,1,0
0.6,150,recede (redshift at centre),1.6315,1.8995,0.8815,2,3,3,-1 0 1
0.6,150,recede (redshift at centre),1.6315,1.8995,0.8815,3,5,5,-2 -1 0 1 2
0.6,150,recede (redshift at centre),1.6315,1.8995,0.8815,4,7,5,-3 -2 -1 0 1 2 3
0.6,150,recede (redshift at centre),1.6315,1.8995,0.8815,5,8,5,-3 -2 -1 0 1 2 3 4
0.6,150,recede (redshift at centre),1.6315,1.8995,0.8815,6,9,5,-3 -2 -1 0 1 2 3 4 5
0.6,150,recede (redshift at centre),1.6315,1.8995,0.8815,7,9,5,-3 -2 -1 0 1 2 3 4 5
0.6,150,recede (redshift at centre),1.6315,1.8995,0.8815,8,9,5,-3 -2 -1 0 1 2 3 4 5
0.6,150,recede (redshift at centre),1.6315,1.8995,0.8815,9,9,5,-3 -2 -1 0 1 2 3 4 5
0.6,150,recede (redshift at centre),1.6315,1.8995,0.8815,10,9,5,-3 -2 -1 0 1 2 3 4 5
