abs_delta_theta_over_pi,count
2.2806373051674528e-05,1
0.00010725440221138184,1
0.00011655150902605475,1
0.00025616955441148064,1
0.0009362370552722659,1
0.0010783788665516046,1
0.001118213539665849,1
0.0023736644662389478,1
0.0024729388130420543,1
0.0024902159752650025,1
0.003035095845265377,1
0.0030441750869360552,1
0.00306508608463642,1
0.0031809425208972723,1
0.0032395289471811024,1
0.0034935633022793186,1
0.0036202966148886425,1
0.003643760602965931,1
0.003726656294823736,1
0.003967194060827795,1
0.004110279975916069,1
0.004113474711816982,1
0.004162388626601904,1
0.004662893350095931,1
0.005341328783669511,1
0.005364135156721256,1
0.005595334600365842,1
0.0056090028510936705,1
0.005716257253305053,1
0.005797841716411839,1
0.005891661683256209,1
0.005957069873047515,1
0.006019966827611336,1
0.006039474638973759,1
0.00614783123766769,1
0.006268243700554062,1
0.0070322801454642155,1
0.007199442170166865,1
0.007370416897789667,1
0.007898240695260475,1
0.008185282636001262,1
0.008306653953061932,1
0.008407801493032557,1
0.00913119063043731,1
0.009196598820228547,1
0.009229299465982313,1
0.009291405018691157,1
0.009336553868193835,1
0.009387360184848792,1
0.009761807002833451,1
0.01163480923933967,1
0.011772031424798261,1
0.011822183774109431,1
0.012028200979209883,1
0.013239569478929986,1
0.01326237585198173,1
0.01365726759929408,1
0.013747164325563655,1
0.013900152360068245,1
0.0142052494636126,1
0.014775481138959858,1
0.014886907128315387,1
0.015029912083792946,1
0.015088260503484828,1
0.01509768286542734,1
0.015344430057896307,1
0.015389060350415028,1
0.015510832980320488,1
0.01555964871924529,1
0.01561808738253187,1
0.01605709168627548,1
0.0167223536839305,1
0.016935248205333483,1
0.017340651710578647,1
0.01735984594135737,1
0.01767204854844316,1
0.017819656225895982,1
0.01784056722359628,1
0.01791986266246602,1
0.018013627071885228,1
0.018040275125352393,1
0.018296444679763876,1
0.01834047118955911,1
0.01903550498261295,1
0.019140192059708943,1
0.019600551257447273,1
0.02043901164909685,1
0.020461818022148595,1
0.020518080235947585,1
0.020689547744758296,1
0.020809687910133892,1
0.020884742310532403,1
0.020896263042677523,1
0.02092623941915995,1
0.02115939160964705,1
0.02122709023362547,1
0.02153383842763171,1
0.021790007982043193,1
0.021807761284424215,1
0.022307665250386903,1
0.02246526371159049,1
