step,edge_index,i,j,a,b,a2,b2,ab,r2,theta,z2_re,z2_im,z2_phase_pi
5000,0,1,2,-0.23933217527950934,0.13599043673992836,0.05727989012402178,0.018493398884716458,-0.032546887042177564,0.07577328900873824,2.624877785671847,0.038786491239305325,-0.06509377408435513,-0.32895090159286794
5000,1,1,3,0.06268344509405953,-0.126966319662234,0.003929214288859975,0.01612044632857259,-0.007958686327342456,0.020049660617432564,-1.1122003116572445,-0.012191232039712613,-0.015917372654684913,-0.7080487092343881
5000,2,1,4,-0.12719366832100729,-0.2573420264258751,0.016178229260954413,0.06622491856497581,0.032732276354268654,0.08240314782593022,-2.029840771022614,-0.0500466893040214,0.06546455270853731,0.7077632304091479
5000,3,1,5,0.1704569070224267,0.059748540355799386,0.029055557151652218,0.003569888074648588,0.010184551388154205,0.03262544522630081,0.33713791915580665,0.025485669077003628,0.02036910277630841,0.2146286653494497
5000,4,1,6,-0.0790332093201723,0.06916713136893061,0.006246248175446169,0.004784092061806905,-0.0054665003715565486,0.011030340237253074,2.4226689757385587,0.0014621561136392643,-0.010933000743113097,-0.4576810281433173
5000,5,1,7,0.13523234212517815,0.10215786371231043,0.018287786356661232,0.010436229118262993,0.013815047176320486,0.028724015474924224,0.6469639439311506,0.00785155723839824,0.027630094352640973,0.4118700387154818
5000,6,1,8,-0.02834648709270632,0.3056813238132709,0.000803523330496966,0.09344107172823378,-0.008664991699954263,0.09424459505873074,1.6632640331885098,-0.09263754839773682,-0.017329983399908527,-0.9411332298043458
5000,7,1,9,-0.19125456607684108,-0.08940502064445549,0.03657830904524077,0.007993257716435512,0.017099118428446355,0.044571566761676285,-2.7043092493987473,0.028585051328805258,0.03419823685689271,0.27838326123622464
5000,8,1,10,0.18672092131008128,0.025368359692696872,0.034864702454885564,0.0006435536734980473,0.004736803493945891,0.03550825612838361,0.1350356328247983,0.03422114878138752,0.009473606987891781,0.08596635383043541
5000,9,1,11,-0.024112925217264186,-0.16638744477729392,0.0005814331625333751,0.027684781779517033,0.004012088013006562,0.028266214942050408,-1.7147147288577758,-0.027103348616983658,0.008024176026013125,0.9083786996392239
5000,10,1,12,-0.09666770627052508,-0.1653163916770865,0.009344645435604515,0.027329509357131875,0.015980756392343674,0.03667415479273639,-2.099922368284948,-0.01798486392152736,0.03196151278468735,0.663147899912844
5000,11,2,3,-0.17257267270973384,-0.028106407317118637,0.029781327366180915,0.00078997013227578,0.0048503978309835825,0.030571297498456697,-2.9801431335390776,0.028991357233905134,0.009700795661967165,0.10278195670354182
5000,12,2,4,0.1750929392382414,-0.1492840141104056,0.030657537371086497,0.022285716868915777,-0.02613857681187402,0.05294325424000228,-0.706000815872569,0.008371820502170719,-0.05227715362374804,-0.4494540786921216
5000,13,2,5,0.08544664241765312,0.019753773280721042,0.007301128700450278,0.00039021155882612855,0.0016878936019171615,0.007691340259276406,0.22719124020702613,0.00691091714162415,0.003375787203834323,0.14463443562450545
5000,14,2,6,-0.09802580943067335,-0.0898562471718844,0.009609059314538688,0.008074145155814783,0.008808231361426621,0.017683204470353472,-2.3996495143580265,0.0015349141587239056,0.017616462722853242,0.472335672407416
5000,15,2,7,-0.07702121532483634,-0.1510622300814191,0.005932267610114805,0.022819797357171604,0.011634996550550952,0.028752064967286408,-2.0423040787079736,-0.0168875297470568,0.023269993101101904,0.6998288423075468
5000,16,2,8,0.02790712330077312,0.11165173473811715,0.0007788075309245541,0.012466109870030877,0.003115878728081849,0.01324491740095543,1.325866643322915,-0.011687302339106323,0.006231757456163698,0.8440729206620033
5000,17,2,9,-0.15162840426670618,0.16818817913394987,0.02299117298046768,0.02828726360039361,-0.025502105218603747,0.051278436580861286,2.3044617151434337,-0.005296090619925929,-0.051004210437207494,-0.5329341074755812
5000,18,2,10,0.07601241652107082,-0.20604837742137758,0.005777887465372761,0.04245593383798246,-0.015662235088044558,0.048233821303355226,-1.2173792987074115,-0.0366780463726097,-0.031324470176089116,-0.775007732028118
5000,19,2,11,0.12400404713291086,-0.05931125243358504,0.015377003705341176,0.003517824665240447,-0.007354835342286253,0.018894828370581623,-0.4461381604316443,0.01185917904010073,-0.014709670684572506,-0.28402037413848485
