label,step,C_memory,delta_C_memory_forward,actual_Ra,predicted_Ra_from_delta_C,level_only_predictor,slope_predictor,balance_error
constant_nonzero_C,33,2.5e-06,0.0,0.0,0.0,2.5e-06,0.0,0.0
constant_nonzero_C,34,2.5e-06,0.0,0.0,0.0,2.5e-06,0.0,0.0
constant_nonzero_C,35,2.5e-06,0.0,0.0,0.0,2.5e-06,0.0,0.0
constant_nonzero_C,36,2.5e-06,0.0,0.0,0.0,2.5e-06,0.0,0.0
constant_nonzero_C,37,2.5e-06,0.0,0.0,0.0,2.5e-06,0.0,0.0
constant_nonzero_C,38,2.5e-06,0.0,-6.617444900424222e-24,0.0,2.5e-06,0.0,-6.617444900424222e-24
constant_nonzero_C,39,2.5e-06,0.0,6.617444900424222e-24,0.0,2.5e-06,0.0,6.617444900424222e-24
constant_nonzero_C,40,2.5e-06,0.0,0.0,0.0,2.5e-06,0.0,0.0
constant_nonzero_C,41,2.5e-06,0.0,0.0,0.0,2.5e-06,0.0,0.0
constant_nonzero_C,42,2.5e-06,0.0,0.0,0.0,2.5e-06,0.0,0.0
constant_nonzero_C,43,2.5e-06,0.0,0.0,0.0,2.5e-06,0.0,0.0
constant_nonzero_C,44,2.5e-06,0.0,0.0,0.0,2.5e-06,0.0,0.0
constant_nonzero_C,45,2.5e-06,0.0,0.0,0.0,2.5e-06,0.0,0.0
constant_nonzero_C,46,2.5e-06,0.0,0.0,0.0,2.5e-06,0.0,0.0
linear_increase_C,1,2.5e-07,5e-08,3.048780487804877e-11,3.048780487804878e-11,2.5e-07,5e-08,-6.462348535570529e-27
linear_increase_C,2,3e-07,5e-08,3.048780487804877e-11,3.048780487804878e-11,3e-07,5e-08,-6.462348535570529e-27
linear_increase_C,3,3.5e-07,5e-08,3.048780487804882e-11,3.048780487804878e-11,3.5e-07,5e-08,4.52364397489937e-26
linear_increase_C,4,4e-07,5e-08,3.048780487804877e-11,3.048780487804878e-11,4e-07,5e-08,-6.462348535570529e-27
linear_increase_C,5,4.5e-07,5e-08,3.048780487804867e-11,3.048780487804878e-11,4.5e-07,5e-08,-1.0985992510469899e-25
linear_increase_C,6,5e-07,5.000000000000005e-08,3.048780487804898e-11,3.048780487804881e-11,5e-07,5.000000000000005e-08,1.6802106192483375e-25
linear_increase_C,7,5.5e-07,4.9999999999999945e-08,3.048780487804877e-11,3.0487804878048745e-11,5.5e-07,4.9999999999999945e-08,2.5849394142282115e-26
linear_increase_C,8,6e-07,4.9999999999999945e-08,3.0487804878048564e-11,3.0487804878048745e-11,6e-07,4.9999999999999945e-08,-1.809457589959748e-25
linear_increase_C,9,6.499999999999999e-07,5.000000000000005e-08,3.048780487804877e-11,3.048780487804881e-11,6.499999999999999e-07,5.000000000000005e-08,-3.877409121342317e-26
linear_increase_C,10,7e-07,5.000000000000005e-08,3.048780487804877e-11,3.048780487804881e-11,7e-07,5.000000000000005e-08,-3.877409121342317e-26
linear_increase_C,11,7.5e-07,4.9999999999999945e-08,3.048780487804877e-11,3.0487804878048745e-11,7.5e-07,4.9999999999999945e-08,2.5849394142282115e-26
linear_increase_C,12,8e-07,4.9999999999999945e-08,3.048780487804877e-11,3.0487804878048745e-11,8e-07,4.9999999999999945e-08,2.5849394142282115e-26
