label,mode,step,particle,actual_Ra,predicted_minus_partial_chi_E,partial_chi_E_read,g1_balance_error,C_memory,delta_C_memory_forward,sign_match,sweep_case,blind_window_length
C_decay_0_86,combined_minus_R2_R3_residual,5,A,6.904816433557615e-11,7.211760487618017e-11,-7.211760487618017e-11,-3.069440540604027e-12,1.243326551842174e-06,1.1827287199693549e-07,True,C_decay_0_86,11
C_decay_0_86,combined_minus_R2_R3_residual,6,A,5.8189920372934625e-11,6.202220068561703e-11,-6.202220068561703e-11,-3.8322803126824e-12,1.3615994238391095e-06,1.0171640912441192e-07,True,C_decay_0_86,11
C_decay_0_86,combined_minus_R2_R3_residual,7,A,4.872331855027511e-11,5.33402503163471e-11,-5.33402503163471e-11,-4.6169317660719905e-12,1.4633158329635214e-06,8.747801051880924e-08,True,C_decay_0_86,11
C_decay_0_86,combined_minus_R2_R3_residual,8,A,4.046245263452893e-11,4.5873860511842074e-11,-4.5873860511842074e-11,-5.4114078773131426e-12,1.5507938434823307e-06,7.5233131239421e-08,True,C_decay_0_86,11
C_decay_0_86,combined_minus_R2_R3_residual,9,A,3.324694336653708e-11,3.945284404353839e-11,-3.945284404353839e-11,-6.2059006770013086e-12,1.6260269747217517e-06,6.470266423140296e-08,True,C_decay_0_86,11
C_decay_0_86,combined_minus_R2_R3_residual,10,A,2.693837551690745e-11,3.393084076973838e-11,-3.393084076973838e-11,-6.992465252830928e-12,1.6907296389531546e-06,5.564657886237094e-08,True,C_decay_0_86,11
C_decay_0_86,combined_minus_R2_R3_residual,11,A,2.14172363705538e-11,2.9181981755979144e-11,-2.9181981755979144e-11,-7.764745385425343e-12,1.7463762178155256e-06,4.78584500798058e-08,True,C_decay_0_86,11
C_decay_0_97,combined_minus_R2_R3_residual,1,A,1.67143446745578e-10,1.6771752613117753e-10,-1.6771752613117753e-10,-5.740793855995355e-13,5.758956449693786e-07,2.7505674285513113e-07,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,2,A,1.616142797641839e-10,1.626865511743479e-10,-1.626865511743479e-10,-1.0722714101639966e-12,8.509523878245098e-07,2.6680594392593056e-07,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,3,A,1.5613657694922132e-10,1.5780665362862673e-10,-1.5780665362862673e-10,-1.6700766794054143e-12,1.1177583317504403e-06,2.5880291195094784e-07,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,4,A,1.5073070833682022e-10,1.530732863495943e-10,-1.530732863495943e-10,-2.342578012774089e-12,1.3765612437013882e-06,2.5104018961333465e-07,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,5,A,1.4541319405026687e-10,1.484820400896411e-10,-1.484820400896411e-10,-3.068846039374225e-12,1.6276014333147228e-06,2.435105457470114e-07,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,6,A,1.4019724839137932e-10,1.4402863921280784e-10,-1.4402863921280784e-10,-3.831390821428517e-12,1.8711119790617342e-06,2.3620696830900485e-07,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,7,A,1.3509325432538863e-10,1.3970893755301196e-10,-1.3970893755301196e-10,-4.61568322762333e-12,2.107318947370739e-06,2.291226575869396e-07,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,8,A,1.3010917673179673e-10,1.3551891440986013e-10,-1.3551891440986013e-10,-5.4097376780634006e-12,2.3364416049576787e-06,2.222510196321706e-07,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,9,A,1.2525092199040306e-10,1.3145467067660612e-10,-1.3145467067660612e-10,-6.2037486862030646e-12,2.5586926245898493e-06,2.1558565990963404e-07,True,C_decay_0_97,46
