window_start,window_end,mean_abs_actual_Ra,mean_abs_C_memory,mean_abs_delta_C_memory,mean_abs_Q_raw,max_g1_balance_error_abs
1,6,1.2372931837974968e-10,1.1177070178310707e-06,2.0291608214278934e-07,1.1177070178310708e-09,5.686866711302065e-25
8,13,6.902197637343833e-11,2.239207444132928e-06,1.1319604125243859e-07,2.2392074441329276e-09,4.097128971551715e-24
16,21,3.542337557674945e-11,2.9279786179087406e-06,5.809433594586971e-08,2.927978617908741e-09,6.378338004608112e-24
24,29,1.8179938614160808e-11,3.2814689072949998e-06,2.981509932722105e-08,3.281468907294999e-09,2.2466354683910943e-23
32,37,9.33028085364434e-12,3.4628867098024954e-06,1.5301660599977267e-08,3.462886709802495e-09,1.794755747041325e-23
40,45,4.7884692271049926e-12,3.5559936597704835e-06,7.853089532449365e-09,3.5559936597704834e-09,1.5817405834375815e-23
