harmonic_order_n,phase_cell_width_L,measured_acceleration_abs_difference,R2_error_abs_difference
1,6.283185307179586,0.0,0.0
2,3.141592653589793,0.0,0.0
3,2.0943951023931953,0.0,0.0
4,1.5707963267948966,0.0,0.0
6,1.0471975511965976,0.0,0.0
8,0.7853981633974483,0.0,0.0
12,0.5235987755982988,0.0,0.0
16,0.39269908169872414,0.0,0.0
24,0.2617993877991494,0.0,0.0
32,0.19634954084936207,0.0,0.0
48,0.1308996938995747,0.0,0.0
64,0.09817477042468103,0.0,0.0
96,0.06544984694978735,0.0,0.0
