x,y,case_count,loglog_slope,loglog_intercept,log_rmse,scattering_protocol,relation
phase_cell_width_L,measured_acceleration,13,-1.9999708997597263,-11.481261257616142,3.9169540278573023e-05,pass_through,measured_acceleration_vs_phase_cell_width
phase_cell_width_L,omega_n_step,13,-1.000000000000001,-5.740624322568766,2.9016500690179637e-15,pass_through,omega_n_vs_phase_cell_width
phase_cell_width_L,measured_acceleration,13,-1.9999708997597263,-11.481261257616142,3.9169540278573023e-05,fermionic_reflection_pi,measured_acceleration_vs_phase_cell_width
phase_cell_width_L,omega_n_step,13,-1.000000000000001,-5.740624322568766,2.9016500690179637e-15,fermionic_reflection_pi,omega_n_vs_phase_cell_width
