t,H,Q2_re,Q2_im,generator_norm
0,np.float64(504.4106466540571),np.float64(-44.66204805969018),np.float64(122.94939111718631),np.float64(20.412360502315266)
1,np.float64(504.4106466540577),np.float64(-44.66204805969032),np.float64(122.94939111718611),np.float64(21.258614998962027)
2,np.float64(504.4106466540574),np.float64(-44.66204805969083),np.float64(122.94939111718574),np.float64(21.37495446200662)
3,np.float64(504.41064665405844),np.float64(-44.6620480596909),np.float64(122.94939111718651),np.float64(21.147046356566037)
4,np.float64(504.41064665405787),np.float64(-44.66204805969147),np.float64(122.94939111718656),np.float64(21.35760445266625)
5,np.float64(504.410646654057),np.float64(-44.66204805969165),np.float64(122.94939111718602),np.float64(21.78788878363192)
6,np.float64(504.4106466540575),np.float64(-44.66204805969196),np.float64(122.94939111718593),np.float64(22.169916741032463)
7,np.float64(504.4106466540566),np.float64(-44.66204805969175),np.float64(122.94939111718557),np.float64(22.289688296334656)
8,np.float64(504.4106466540558),np.float64(-44.66204805969151),np.float64(122.9493911171856),np.float64(22.389230145371045)
9,np.float64(504.41064665405486),np.float64(-44.662048059691756),np.float64(122.94939111718534),np.float64(22.429405671006936)
10,np.float64(504.41064665405554),np.float64(-44.662048059692346),np.float64(122.94939111718517),np.float64(22.416487880624228)
11,np.float64(504.4106466540545),np.float64(-44.66204805969257),np.float64(122.94939111718476),np.float64(22.38944759348313)
12,np.float64(504.41064665405395),np.float64(-44.66204805969233),np.float64(122.94939111718466),np.float64(22.393132523760464)
13,np.float64(504.41064665405474),np.float64(-44.66204805969194),np.float64(122.94939111718494),np.float64(22.407363727626972)
14,np.float64(504.4106466540556),np.float64(-44.66204805969206),np.float64(122.94939111718523),np.float64(22.407787769568838)
15,np.float64(504.4106466540554),np.float64(-44.662048059692104),np.float64(122.94939111718504),np.float64(22.45194958675137)
16,np.float64(504.4106466540542),np.float64(-44.66204805969177),np.float64(122.94939111718504),np.float64(22.490828178806723)
17,np.float64(504.4106466540541),np.float64(-44.66204805969172),np.float64(122.94939111718504),np.float64(22.53012582140264)
18,np.float64(504.410646654055),np.float64(-44.662048059692125),np.float64(122.94939111718497),np.float64(22.60803370502014)
19,np.float64(504.41064665405366),np.float64(-44.66204805969158),np.float64(122.94939111718493),np.float64(22.628048255109544)
20,np.float64(504.4106466540537),np.float64(-44.662048059690775),np.float64(122.949391117185),np.float64(22.577975415038942)
21,np.float64(504.4106466540518),np.float64(-44.66204805969153),np.float64(122.94939111718418),np.float64(22.500927822366602)
22,np.float64(504.41064665405173),np.float64(-44.662048059691834),np.float64(122.9493911171841),np.float64(22.477289106641926)
23,np.float64(504.4106466540521),np.float64(-44.66204805969151),np.float64(122.94939111718425),np.float64(22.563759960001722)
24,np.float64(504.41064665405185),np.float64(-44.662048059692125),np.float64(122.94939111718442),np.float64(22.662287974033738)
