t,H,Q2_re,Q2_im,generator_norm,antisym_residual
0,np.float64(119.57668583507912),np.float64(-25.384260859804904),np.float64(-1.3842608598048747),np.float64(19.208995121321948),np.float64(4.440892098500626e-16)
1,np.float64(119.57668583507916),np.float64(-25.384260859804982),np.float64(-1.3842608598046404),np.float64(21.187143991814754),np.float64(8.881784197001252e-16)
2,np.float64(119.57668583507913),np.float64(-25.38426085980502),np.float64(-1.3842608598044222),np.float64(22.25611440585939),np.float64(8.881784197001252e-16)
3,np.float64(119.57668583507908),np.float64(-25.38426085980504),np.float64(-1.3842608598042188),np.float64(26.039321822347002),np.float64(8.881784197001252e-16)
4,np.float64(119.57668583507953),np.float64(-25.38426085980504),np.float64(-1.3842608598040096),np.float64(30.775270469203534),np.float64(1.7763568394002505e-15)
5,np.float64(119.57668583507999),np.float64(-25.384260859805067),np.float64(-1.3842608598041717),np.float64(37.9002994940632),np.float64(1.7763568394002505e-15)
6,np.float64(119.57668583508001),np.float64(-25.384260859805064),np.float64(-1.384260859804165),np.float64(43.318910941710605),np.float64(1.7763568394002505e-15)
7,np.float64(119.5766858350801),np.float64(-25.384260859805174),np.float64(-1.3842608598040265),np.float64(50.23092751171152),np.float64(3.552713678800501e-15)
8,np.float64(119.57668583507981),np.float64(-25.38426085980515),np.float64(-1.38426085980395),np.float64(52.142916640837264),np.float64(3.552713678800501e-15)
9,np.float64(119.57668583507997),np.float64(-25.384260859805106),np.float64(-1.3842608598039927),np.float64(53.99013975735588),np.float64(3.552713678800501e-15)
10,np.float64(119.57668583508041),np.float64(-25.38426085980513),np.float64(-1.3842608598039714),np.float64(55.90889765464388),np.float64(1.7763568394002505e-15)
11,np.float64(119.57668583508038),np.float64(-25.38426085980502),np.float64(-1.384260859803998),np.float64(56.51322508341932),np.float64(3.552713678800501e-15)
12,np.float64(119.57668583508033),np.float64(-25.384260859804925),np.float64(-1.38426085980403),np.float64(56.97114449026592),np.float64(3.552713678800501e-15)
13,np.float64(119.57668583508018),np.float64(-25.384260859804858),np.float64(-1.3842608598040478),np.float64(57.142329080179024),np.float64(3.552713678800501e-15)
14,np.float64(119.5766858350801),np.float64(-25.38426085980486),np.float64(-1.3842608598040322),np.float64(57.34790908320821),np.float64(3.552713678800501e-15)
15,np.float64(119.5766858350799),np.float64(-25.38426085980484),np.float64(-1.3842608598040727),np.float64(57.45496857751914),np.float64(4.440892098500626e-16)
16,np.float64(119.57668583507973),np.float64(-25.38426085980488),np.float64(-1.3842608598039448),np.float64(57.528183283221765),np.float64(3.552713678800501e-15)
17,np.float64(119.57668583507956),np.float64(-25.384260859804897),np.float64(-1.3842608598039519),np.float64(57.62155998166534),np.float64(3.552713678800501e-15)
18,np.float64(119.57668583507976),np.float64(-25.3842608598049),np.float64(-1.3842608598039972),np.float64(57.67162475280569),np.float64(3.552713678800501e-15)
19,np.float64(119.5766858350799),np.float64(-25.384260859804908),np.float64(-1.3842608598039163),np.float64(57.72566003223779),np.float64(1.7763568394002505e-15)
20,np.float64(119.57668583507999),np.float64(-25.38426085980495),np.float64(-1.384260859803927),np.float64(57.774188860123616),np.float64(1.7763568394002505e-15)
21,np.float64(119.57668583507947),np.float64(-25.384260859804876),np.float64(-1.3842608598036037),np.float64(57.79804152026611),np.float64(3.552713678800501e-15)
22,np.float64(119.57668583507936),np.float64(-25.384260859804872),np.float64(-1.3842608598035309),np.float64(57.820986817296834),np.float64(3.552713678800501e-15)
23,np.float64(119.57668583507922),np.float64(-25.384260859804755),np.float64(-1.3842608598036001),np.float64(57.844135847104646),np.float64(1.7763568394002505e-15)
24,np.float64(119.57668583507945),np.float64(-25.384260859804677),np.float64(-1.3842608598035415),np.float64(57.85930619453098),np.float64(7.105427357601002e-15)
25,np.float64(119.57668583507939),np.float64(-25.384260859804755),np.float64(-1.3842608598036321),np.float64(57.870751105896915),np.float64(7.105427357601002e-15)
26,np.float64(119.57668583507903),np.float64(-25.38426085980462),np.float64(-1.384260859803625),np.float64(57.880461482686),np.float64(7.105427357601002e-15)
27,np.float64(119.57668583507927),np.float64(-25.38426085980466),np.float64(-1.3842608598035984),np.float64(57.89065117116079),np.float64(3.552713678800501e-15)
28,np.float64(119.57668583507926),np.float64(-25.384260859804613),np.float64(-1.384260859803593),np.float64(57.89893861375153),np.float64(3.552713678800501e-15)
29,np.float64(119.57668583507945),np.float64(-25.384260859804733),np.float64(-1.3842608598035575),np.float64(57.903639711798064),np.float64(3.552713678800501e-15)
30,np.float64(119.57668583507932),np.float64(-25.384260859804737),np.float64(-1.3842608598035313),np.float64(57.90883648593034),np.float64(7.105427357601002e-15)
31,np.float64(119.57668583507902),np.float64(-25.38426085980467),np.float64(-1.384260859803529),np.float64(57.91528775782019),np.float64(1.7763568394002505e-15)
32,np.float64(119.57668583507896),np.float64(-25.384260859804645),np.float64(-1.3842608598035717),np.float64(57.9188970692291),np.float64(3.552713678800501e-15)
33,np.float64(119.57668583507895),np.float64(-25.384260859804694),np.float64(-1.3842608598032484),np.float64(57.92114851955141),np.float64(2.220446049250313e-16)
