case,R_input_text,R,center_R,baseline_R,delta_R,abs_delta_R,log10_abs_delta_R,fixed_step,baseline_condition,center_condition_at_baseline_step,fixed_step_condition,fixed_step_error,fixed_step_depth_log10,baseline_fixed_step_error,center_fixed_step_error,normalized_inverse_depth,center_global_min_prefix_error,center_global_best_step,center_global_best_condition,global_min_prefix_error,global_best_step,global_best_condition,tail_best_gray_error,tail_best_condition
delta_m1em05,0.68659390255614805,0.686593902556148,0.686603902556148,0.686603902556148,-9.999999999999997e-06,9.999999999999997e-06,-5.0,2685,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,3.440362255431339e-07,6.463395825669247,1.815841732512915e-08,1.815841732512915e-08,0.05278053872513643,1.815841732512915e-08,2685,phi0_s0.01_g0,3.4885908995963484e-08,1913,phi0_s0.01_g0,3.442054452502255e-05,phi0_s0.01_g0
delta_m1em06,0.68660290255614798,0.686602902556148,0.686603902556148,0.686603902556148,-1e-06,1e-06,-6.0,2685,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,5.007776695893235e-08,7.3003550451937045,1.815841732512915e-08,1.815841732512915e-08,0.36260437371379717,1.815841732512915e-08,2685,phi0_s0.01_g0,1.1458166464462687e-08,3605,phi0_s0.01_g0,3.606872058653997e-05,phi1_s0.01_g0
delta_m1em07,0.68660380255614806,0.6866038025561481,0.686603902556148,0.686603902556148,-1e-07,1e-07,-7.0,2685,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,1.760581531123767e-08,7.754343858297704,1.815841732512915e-08,1.815841732512915e-08,1.0313874707943096,1.815841732512915e-08,2685,phi0_s0.01_g0,1.760581531123767e-08,2685,phi0_s0.01_g0,3.624218324496644e-05,phi0_s0.01_g0
delta_m1em08,0.68660389255614795,0.686603892556148,0.686603902556148,0.686603902556148,-1e-08,1e-08,-8.0,2685,phi0_s0.01_g0,phi0_s0.01_g0,phi1_s0.01_g0,1.805130177407757e-08,7.743491473375343,1.815841732512915e-08,1.815841732512915e-08,1.0059339516003993,1.815841732512915e-08,2685,phi0_s0.01_g0,1.805130177407757e-08,2685,phi1_s0.01_g0,3.625853433696247e-05,phi1_s0.01_g0
delta_m1em09,0.68660390155614803,0.686603901556148,0.686603902556148,0.686603902556148,-9.999999999999996e-10,9.999999999999996e-10,-9.0,2685,phi0_s0.01_g0,phi0_s0.01_g0,phi1_s0.01_g0,1.814718691067111e-08,7.741190687644919,1.815841732512915e-08,1.815841732512915e-08,1.0006188515340322,1.815841732512915e-08,2685,phi0_s0.01_g0,1.814718691067111e-08,2685,phi1_s0.01_g0,3.625938433470012e-05,phi1_s0.01_g0
center,0.68660390255614798,0.686603902556148,0.686603902556148,0.686603902556148,0.0,0.0,,2685,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,1.815841732512915e-08,7.740922006966724,1.815841732512915e-08,1.815841732512915e-08,1.0,1.815841732512915e-08,2685,phi0_s0.01_g0,1.815841732512915e-08,2685,phi0_s0.01_g0,3.625948243065652e-05,phi0_s0.01_g0
delta_p1em09,0.68660390355614798,0.686603903556148,0.686603902556148,0.686603902556148,9.999999999999996e-10,9.999999999999996e-10,-9.0,2685,phi0_s0.01_g0,phi0_s0.01_g0,phi1_s0.01_g0,1.816976520407527e-08,7.740650684757641,1.815841732512915e-08,1.815841732512915e-08,0.9993754526369129,1.815841732512915e-08,2685,phi0_s0.01_g0,1.816976520407527e-08,2685,phi1_s0.01_g0,3.6259581251986124e-05,phi0_s0.01_g0
delta_p1em08,0.68660391255614805,0.686603912556148,0.686603902556148,0.686603902556148,1e-08,1e-08,-8.0,2685,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,1.82770594702499e-08,7.738093675044707,1.815841732512915e-08,1.815841732512915e-08,0.9935086852831077,1.815841732512915e-08,2685,phi0_s0.01_g0,1.82770594702499e-08,2685,phi0_s0.01_g0,3.626050350109603e-05,phi0_s0.01_g0
delta_p1em07,0.68660400255614795,0.686604002556148,0.686603902556148,0.686603902556148,1e-07,1e-07,-7.0,2685,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,1.9863396347610074e-08,7.701946491544787,1.815841732512915e-08,1.815841732512915e-08,0.9141647786388725,1.815841732512915e-08,2685,phi0_s0.01_g0,1.9863396347610074e-08,2685,phi0_s0.01_g0,3.62729772114586e-05,phi0_s0.01_g0
delta_p1em06,0.68660490255614803,0.686604902556148,0.686603902556148,0.686603902556148,1e-06,1e-06,-6.0,2685,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,2.4300119077051114e-08,7.614391598237922,1.815841732512915e-08,1.815841732512915e-08,0.747256310454785,1.815841732512915e-08,2685,phi0_s0.01_g0,2.4300119077051114e-08,2685,phi0_s0.01_g0,3.643261357187187e-05,phi0_s0.01_g0
delta_p1em05,0.68661390255614796,0.686613902556148,0.686603902556148,0.686603902556148,9.999999999999997e-06,9.999999999999997e-06,-5.0,2685,phi0_s0.01_g0,phi0_s0.01_g0,phi1_s0.01_g0,4.114334764481638e-07,6.385700374660682,1.815841732512915e-08,1.815841732512915e-08,0.04413451594140497,1.815841732512915e-08,2685,phi0_s0.01_g0,7.875022007867043e-08,3383,phi0_s0.01_g0,3.80760201906876e-05,phi0_s0.01_g0
