N,series,denominator,onset_gt_0.05,initial,step1,final,max
14,N,14,303,4.580861686846833e-34,1.794334473115592e-30,0.9093390793601884,0.9936055270749058
14,N+1,15,337,4.580861686846833e-34,1.7710171063742943e-30,0.8961366528441435,0.9958078526172247
14,N+2,16,379,4.580861686846833e-34,1.8005718144509293e-30,0.9636523978859518,0.9983012297659536
14,124,124,-1,4.580861686846833e-34,1.78008396608227e-30,2.1832272585418607e-27,2.1832272585418607e-27
15,N-2,13,265,6.386058671771922e-35,1.516693802387245e-30,0.915711997487055,0.9787164085201454
15,N-1,14,307,6.386058671771922e-35,1.5161748583803784e-30,0.9255605781496756,0.995869809013548
15,N,15,342,6.386058671771922e-35,1.5569115853171184e-30,0.989913275174458,0.989913275174458
15,N+1,16,381,6.386058671771922e-35,1.4878137477163419e-30,0.9354503888746581,0.9926351145636225
15,N+2,17,432,6.386058671771922e-35,1.5238720014105591e-30,0.1756894328958213,0.20643473458503525
15,124,124,-1,6.386058671771922e-35,1.5381427966958807e-30,1.6647377771646475e-27,1.6647377771646475e-27
16,N-2,14,292,2.4319701257522426e-32,1.61070684227747e-30,0.9324732684037829,0.9884326234106664
16,N-1,15,339,2.4319701257522426e-32,1.5600061519972304e-30,0.9100944151734321,0.9834023084859818
16,N,16,372,2.4319701257522426e-32,1.643591275614715e-30,0.8741423480273577,0.9982254010715115
16,N+1,17,403,2.4319701257522426e-32,1.602588630472699e-30,0.790426972220818,0.9930695499460537
16,N+2,18,447,2.4319701257522426e-32,1.7246292984703488e-30,0.18686520640638984,0.19478971122373934
16,124,124,-1,2.4319701257522426e-32,1.6445807290547554e-30,2.5104641243126875e-27,2.5104641243126875e-27
17,N-2,15,305,1.6521509447461604e-32,1.4980790059769745e-30,0.8928143921509348,0.992891988840283
17,N-1,16,361,1.6521509447461604e-32,1.4911778998813058e-30,0.9371222797120301,0.9930734730277284
17,N,17,400,1.6521509447461604e-32,1.5030497527876363e-30,0.9402270259837842,0.9745107100574689
17,N+1,18,441,1.6521509447461604e-32,1.5087333169146826e-30,0.18837188750611877,0.23785965350723748
17,N+2,19,474,1.6521509447461604e-32,1.467584263741841e-30,0.15788760248187964,0.1649370433554638
17,124,124,-1,1.6521509447461604e-32,1.4811576487948785e-30,1.547297246426523e-27,1.547297246426523e-27
