t,H,Q2_re,Q2_im,generator_norm,antisym_residual
0,np.float64(1510.464415960153),np.float64(-76.18732539916255),np.float64(130.90525493520545),np.float64(75.03452474399134),np.float64(4.440892098500626e-16)
1,np.float64(1510.464415960159),np.float64(-76.187325399164),np.float64(130.90525493520585),np.float64(75.6438704569236),np.float64(4.440892098500626e-16)
2,np.float64(1510.464415960161),np.float64(-76.18732539916476),np.float64(130.90525493520158),np.float64(113.07357849737157),np.float64(1.7763568394002505e-15)
3,np.float64(1510.4644159601592),np.float64(-76.18732539916158),np.float64(130.90525493520454),np.float64(164.20708526099446),np.float64(3.552713678800501e-15)
4,np.float64(1510.464415960163),np.float64(-76.187325399163),np.float64(130.90525493520366),np.float64(211.31070292853002),np.float64(3.552713678800501e-15)
5,np.float64(1510.4644159601723),np.float64(-76.18732539916452),np.float64(130.9052549352065),np.float64(331.407301588279),np.float64(1.4210854715202004e-14)
6,np.float64(1510.4644159601717),np.float64(-76.18732539916296),np.float64(130.90525493520474),np.float64(433.8471212128272),np.float64(7.105427357601002e-15)
7,np.float64(1510.464415960168),np.float64(-76.18732539916434),np.float64(130.90525493520323),np.float64(543.4064883773483),np.float64(2.842170943040401e-14)
8,np.float64(1510.4644159601721),np.float64(-76.1873253991611),np.float64(130.90525493520784),np.float64(610.4361456091958),np.float64(2.842170943040401e-14)
9,np.float64(1510.4644159601696),np.float64(-76.18732539916039),np.float64(130.9052549352085),np.float64(659.2921128247921),np.float64(2.842170943040401e-14)
10,np.float64(1510.4644159601662),np.float64(-76.18732539915908),np.float64(130.90525493520812),np.float64(682.1608424521438),np.float64(1.4210854715202004e-14)
11,np.float64(1510.4644159601626),np.float64(-76.18732539915929),np.float64(130.90525493520744),np.float64(695.7502704046352),np.float64(5.684341886080802e-14)
12,np.float64(1510.4644159601564),np.float64(-76.1873253991601),np.float64(130.90525493520676),np.float64(707.1351912906256),np.float64(2.842170943040401e-14)
13,np.float64(1510.4644159601514),np.float64(-76.1873253991622),np.float64(130.90525493520624),np.float64(711.0917087892569),np.float64(5.684341886080802e-14)
14,np.float64(1510.464415960144),np.float64(-76.1873253991578),np.float64(130.90525493520485),np.float64(712.677332708234),np.float64(5.684341886080802e-14)
15,np.float64(1510.4644159601423),np.float64(-76.18732539915311),np.float64(130.9052549352063),np.float64(715.1557063245518),np.float64(5.684341886080802e-14)
16,np.float64(1510.464415960142),np.float64(-76.18732539915273),np.float64(130.9052549352062),np.float64(716.9942156690968),np.float64(1.4210854715202004e-14)
17,np.float64(1510.4644159601394),np.float64(-76.18732539915166),np.float64(130.90525493520676),np.float64(719.2449601181403),np.float64(5.684341886080802e-14)
18,np.float64(1510.4644159601357),np.float64(-76.1873253991516),np.float64(130.90525493520542),np.float64(722.3959759211759),np.float64(5.684341886080802e-14)
19,np.float64(1510.4644159601412),np.float64(-76.1873253991561),np.float64(130.905254935205),np.float64(725.397864743422),np.float64(5.684341886080802e-14)
20,np.float64(1510.4644159601403),np.float64(-76.18732539915334),np.float64(130.90525493520428),np.float64(727.180145284866),np.float64(2.842170943040401e-14)
21,np.float64(1510.4644159601485),np.float64(-76.1873253991522),np.float64(130.90525493520468),np.float64(728.1797636291845),np.float64(5.684341886080802e-14)
22,np.float64(1510.464415960152),np.float64(-76.18732539915814),np.float64(130.90525493520443),np.float64(729.3908380751711),np.float64(5.684341886080802e-14)
23,np.float64(1510.4644159601532),np.float64(-76.18732539916235),np.float64(130.90525493520025),np.float64(730.8383332257465),np.float64(5.684341886080802e-14)
24,np.float64(1510.4644159601546),np.float64(-76.1873253991649),np.float64(130.90525493519888),np.float64(731.611728040735),np.float64(2.842170943040401e-14)
