delta_f,inverse_relative_error
0.0,0.0
0.09817477042468103,1.0349998886732086e-16
0.19634954084936207,2.245451400812502e-16
0.2945243112740431,2.0929803316272875e-16
0.39269908169872414,1.013327365314571e-16
0.4908738521234052,1.6123115586832018e-16
0.5890486225480862,1.665455914471777e-16
0.6872233929727672,1.5599768712638033e-16
0.7853981633974483,1.054267496347349e-16
0.8835729338221293,1.0171184335523204e-16
0.9817477042468103,1.7760927416000974e-16
1.0799224746714913,1.3203493984455542e-16
1.1780972450961724,1.7907437438590385e-16
1.2762720155208536,1.8134419858548827e-16
1.3744467859455345,1.2896941245394298e-16
1.4726215563702154,1.6425766556472568e-16
1.5707963267948966,9.034876153800622e-17
1.6689710972195777,1.4852859235503123e-16
1.7671458676442586,1.2233589297429257e-16
1.8653206380689396,1.0799390694947797e-16
1.9634954084936207,2.164595777050093e-16
2.061670178918302,1.3342692509287163e-16
2.1598449493429825,1.0951827848276426e-16
2.2580197197676637,1.7675261601644526e-16
2.356194490192345,1.265521673187731e-16
2.454369260617026,1.574325980993383e-16
2.552544031041707,1.7558922769843259e-16
2.650718801466388,9.258008066890134e-17
2.748893571891069,1.0035573508516984e-16
2.84706834231575,2.0563384448653628e-16
2.945243112740431,2.0255416363612746e-16
3.043417883165112,1.1312824106052512e-16
3.141592653589793,1.7356580571430174e-25
