model,time,left_prob,right_prob,left_mean_rho,right_mean_rho,left_current,right_current,node_abs,node_current
single_free_packet,0.0,0.9999999989529194,9.284114911873461e-10,-12.0000000128773,0.3364110910829541,2.396371646486413,2.2287527487070243e-09,5.5117523755267815e-05,7.292189562078254e-09
odd_node_halfline_read,0.0,0.49999999999999994,0.49999999999999994,-12.00000000089823,12.000000000898229,1.1981858211752563,-1.1981858211752565,1.3010489597142002e-17,-2.4295686094817936e-21
single_free_packet,0.25,0.9999999935561914,5.7468656580905405e-09,-11.400000075480602,0.35170154974264195,2.396371633240094,1.4056376536074471e-08,0.0001335729899770559,4.361079817411249e-08
odd_node_halfline_read,0.25,0.4999999999999999,0.5,-11.400000005589254,11.40000000558925,1.1981858043743956,-1.1981858043743956,5.8154249736019015e-18,-2.8372012895200873e-21
single_free_packet,0.5,0.9999999627203399,3.3447724980482056e-08,-10.8000004149652,0.36907915863393004,2.396371556318531,8.316553005356379e-08,0.00031320527295941976,2.436084878693745e-07
odd_node_halfline_read,0.5,0.4999999999999999,0.49999999999999994,-10.800000032917325,10.800000032917325,1.1981857099120357,-1.1981857099120354,2.473223420393874e-17,6.181994878593498e-22
single_free_packet,0.75,0.9999997990877827,1.8137114867442685e-07,-10.20000211982856,0.38883535603860575,2.39637114239455,4.574158041967489e-07,0.0007072844987887839,1.259255366060568e-06
odd_node_halfline_read,0.75,0.5,0.49999999999999994,-10.200000181825393,10.200000181825393,1.198185216427879,-1.198185216427879,1.3042866252048836e-18,3.3650424361102098e-21
single_free_packet,1.0,0.9999989994737181,9.088680816755487e-07,-9.600009978891734,0.4113132033738213,2.3963690957664534,2.3198767705920644e-06,0.0015318126306436072,5.9739339066199846e-06
odd_node_halfline_read,1.0,0.49999999999999994,0.5,-9.600000934413174,9.60000093441317,1.1981828413954378,-1.1981828413954378,1.7205465656165142e-17,-6.478038460162801e-20
single_free_packet,1.25,0.9999954277904051,4.179594939849239e-06,-9.000042976223119,0.4369180011742692,2.3963598655975407,1.0774627515840628e-05,0.0031703209887332107,2.582463899588576e-05
odd_node_halfline_read,1.25,0.49999999999999994,0.49999999999999994,-9.000004436840973,9.000004436840976,1.1981723889273903,-1.1981723889273903,2.1448308646207326e-17,-2.611330132804226e-19
single_free_packet,1.5,0.9999809349927595,1.7538314983305152e-05,-8.400168324408542,0.4661302196098057,2.396322128981741,4.5569632222390085e-05,0.006251665521130628,0.00010112988300219294
odd_node_halfline_read,1.5,0.5,0.49999999999999994,-8.400019355375965,8.400019355375967,1.1981305854472168,-1.1981305854472168,1.1995020155908709e-17,2.1313156567781368e-19
single_free_packet,1.75,0.9999277767129797,6.685904994661559e-05,-7.800596782253021,0.49952119739062606,2.3961829479779877,0.00017475122941256805,0.011718552346243334,0.00035711469099861814
odd_node_halfline_read,1.75,0.49999999999999994,0.5,-7.8000772394964555,7.800077239496455,1.1979794070815555,-1.1979794070815553,1.3906557107971346e-17,5.5450075521020955e-19
single_free_packet,2.0,0.999752170127844,0.00023085563637127208,-7.2019089959047795,0.5377720942634134,2.395721520187581,0.0006058530354049655,0.02084563350183074,0.0011334598920073177
odd_node_halfline_read,2.0,0.4999999999999999,0.49999999999999994,-7.200281119718018,7.200281119718017,1.1974868581404472,-1.197486858140447,2.0643725451642617e-17,-1.1249821592453342e-18
single_free_packet,2.25,0.9992309407900263,0.0007207846923916108,-6.605499298052708,0.5816965669372376,2.394349580864512,0.0018960044584692695,0.03515434041625755,0.003227230132129741
odd_node_halfline_read,2.25,0.5,0.4999999999999999,-6.600931630520406,6.600931630520407,1.1960445888326339,-1.1960445888326339,1.6736444076830707e-17,8.113032710682865e-19
single_free_packet,2.5,0.9978424615082333,0.002034241038871704,-6.01426218673045,0.6322675329149189,2.3906952044819745,0.005354678888296615,0.05618197926487403,0.008237200121519437
odd_node_halfline_read,2.5,0.49999999999999994,0.5,-6.002810260677514,6.0028102606775136,1.1922534188220086,-1.1922534188220086,1.3769835310918006e-17,1.8475224514617296e-18
single_free_packet,2.75,0.9945228730867005,0.005194202271933641,-5.433346494364638,0.6906481232846038,2.3819737756654953,0.013661282236922674,0.08510505754050272,0.018856732098561924
odd_node_halfline_read,2.75,0.5,0.49999999999999994,-5.407722921248231,5.407722921248231,1.183307375217285,-1.183307375217285,3.148930851271293e-18,-7.031069129439345e-19
single_free_packet,3.0,0.9873919950749053,0.012023881206693246,-4.870524420077565,0.7582264033311311,2.363302426740318,0.031554518762505576,0.12228477906545863,0.03877640952814958
odd_node_halfline_read,3.0,0.5,0.49999999999999994,-4.819374000421958,4.819374000421958,1.164336419303714,-1.164336419303714,2.323951603042712e-17,-9.88694546028035e-18
single_free_packet,3.25,0.9736003451627402,0.025311961224196034,-4.335636626614166,0.8366525210826535,2.327367505528066,0.0661991332928322,0.16686808111331183,0.07180826058545742
odd_node_halfline_read,3.25,0.49999999999999994,0.49999999999999994,-4.244500832747151,4.244500832747151,1.1281088477699472,-1.1281088477699472,1.561628865260237e-17,3.5140204708210034e-18
single_free_packet,3.5,0.9495138647164637,0.04865346817395989,-3.838958539398561,0.9278754613994539,2.2650056306892368,0.1266725291074731,0.2166016574386297,0.12015332360467726
odd_node_halfline_read,3.5,0.49999999999999994,0.4999999999999999,-3.6939543348183963,3.693954334818397,1.0656286776337724,-1.0656286776337722,2.8012837592391265e-17,2.1619346104967126e-17
single_free_packet,3.75,0.9113898992648191,0.08580503775605852,-3.389040600359656,1.034174375850126,2.167055308487979,0.22219175268130187,0.26797315586740494,0.18238944846685945
odd_node_halfline_read,3.75,0.49999999999999994,0.4999999999999999,-3.183177582205895,3.183177582205895,0.9679556909405911,-0.9679556909405911,1.6309419132377888e-17,-8.481892603466724e-18
single_free_packet,4.0,0.856469591846923,0.13961270544530874,-2.99099486225366,1.1581764594768773,2.0272066904875983,0.35930863868588936,0.31669099974403103,0.25232178755915474
odd_node_halfline_read,4.0,0.5000000000000001,0.49999999999999994,-2.7315087589452887,2.73150875894529,0.8289693650398245,-0.8289693650398244,8.976746318060445e-18,7.364602995177327e-18
single_free_packet,4.25,0.7841218250670606,0.21086072730913893,-2.6459151875795293,1.3028497499904383,1.8448333041012719,0.5390491725436213,0.3583945579515612,0.3197228122911751
odd_node_halfline_read,4.25,0.4999999999999999,0.49999999999999994,-2.36005723933859,2.3600572393385897,0.6480952286916041,-0.6480952286916041,1.2912600091674125e-17,1.3391488518534309e-17
single_free_packet,4.5,0.6965278192225521,0.2975489113431936,-2.3514208773797654,1.471455747625685,1.6264833908441654,0.755316225467433,0.3894042854372749,0.3730440368235341
odd_node_halfline_read,4.5,0.5000000000000001,0.5000000000000001,-2.088490752941314,2.088490752941314,0.4317324205426126,-0.4317324205426127,1.3560473806968912e-17,1.8007250571048947e-17
single_free_packet,4.75,0.5985370860929664,0.3949823038593228,-2.102812445995433,1.6674449148504162,1.385174308851136,0.9954553185358295,0.40731267746216876,0.4029957532941324
odd_node_halfline_read,4.75,0.5,0.49999999999999994,-1.9316207334043556,1.9316207334043558,0.19257125494743857,-0.19257125494743857,1.6330318716145766e-17,2.1806105970430627e-17
single_free_packet,5.0,0.4966962658478874,0.49669626584788745,-1.8942803524698286,1.894280352469829,1.1376466741970384,1.242891355950299,0.41127993944291596,0.4053406426286218
odd_node_halfline_read,5.0,0.5,0.49999999999999994,-1.8968482191568867,1.896848219156887,-0.05304783413041098,0.05304783413041092,7.343944275773154e-18,-8.451950317176835e-18
single_free_packet,5.25,0.39782464887752267,0.5958627113856003,-1.7198378371697363,2.1551841710519266,0.9006600577241248,1.480800619323763,0.40199947420868115,0.3817208819745174
odd_node_halfline_read,5.25,0.5,0.49999999999999994,-1.983220145996004,1.9832201459960044,-0.2887050784308167,0.28870507843081666,2.795581190279169e-17,3.754976213206219e-17
single_free_packet,5.5,0.3076657103949496,0.6866522217496054,-1.5738957841284635,2.4528192164295834,0.6877082554170959,1.6954433224560645,0.38139341512327973,0.3384338208475342
odd_node_halfline_read,5.5,0.5,0.49999999999999994,-2.1822290056734968,2.182229005673497,-0.5010877176294357,0.5010877176294357,2.8514546122262933e-18,-7.374957863685889e-19
single_free_packet,5.75,0.2300289796414953,0.7651267493333311,-1.451538568933921,2.7889443648146504,0.5071317141134504,1.878145573338608,0.3521552757583654,0.2840156556277449
odd_node_halfline_read,5.75,0.5,0.49999999999999994,-2.4799014647665367,2.479901464766537,-0.68185046666255,0.6818504666625501,2.6117112320092324e-18,1.1404715115350333e-18
single_free_packet,6.0,0.16656655102211235,0.8295015061482297,-1.3486008693891316,3.1641073296020696,0.3618659547649539,2.0256469652482596,0.31726603417202864,0.22678346206218913
odd_node_halfline_read,6.0,0.5,0.4999999999999999,-2.8594207833236025,2.8594207833236016,-0.8279063231940862,0.8279063231940862,1.5618346779623845e-17,4.106587929459672e-18
single_free_packet,6.25,0.11707354158081905,0.8798730889037799,-1.2616335017234936,3.5774521825022014,0.25043600119010845,2.1391716142552166,0.27958229485121244,0.17315925900012813
odd_node_halfline_read,6.25,0.49999999999999994,0.49999999999999994,-3.303567556105953,3.3035675561059534,-0.9405054262841757,0.940505426284176,7.740297376454464e-18,1.001548829101393e-18
