step,tol,triplet_cluster_count,cluster_sizes_desc
0,0.01,2,11;10
0,0.001,2,11;10
0,0.0001,2,11;10
0,1e-06,2,11;10
0,1e-08,2,11;10
0,1e-10,2,11;10
1,0.01,2,11;10
1,0.001,2,11;10
1,0.0001,2,11;10
1,1e-06,2,11;10
1,1e-08,2,11;10
1,1e-10,2,11;10
10,0.01,2,11;10
10,0.001,2,11;10
10,0.0001,2,11;10
10,1e-06,2,11;10
10,1e-08,2,11;10
10,1e-10,2,11;10
50,0.01,2,11;10
50,0.001,2,11;10
50,0.0001,2,11;10
50,1e-06,2,11;10
50,1e-08,2,11;10
50,1e-10,2,11;10
100,0.01,2,11;10
100,0.001,2,11;10
100,0.0001,2,11;10
100,1e-06,2,11;10
100,1e-08,2,11;10
100,1e-10,2,11;10
150,0.01,2,11;10
150,0.001,2,11;10
150,0.0001,2,11;10
150,1e-06,2,11;10
150,1e-08,2,11;10
150,1e-10,16,4;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1
200,0.01,2,11;10
200,0.001,2,11;10
200,0.0001,2,11;10
200,1e-06,2,11;10
200,1e-08,16,5;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1
200,1e-10,21,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
300,0.01,2,11;10
300,0.001,5,10;6;3;1;1
300,0.0001,15,5;2;2;1;1;1;1;1;1;1;1;1;1;1;1
300,1e-06,21,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
300,1e-08,21,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
300,1e-10,21,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
500,0.01,19,2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
500,0.001,21,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
500,0.0001,21,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
500,1e-06,21,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
500,1e-08,21,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
500,1e-10,21,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
750,0.01,18,2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
