case,N,M,rank,final_H_perp,r2_min,r2_max,classes_tol1e-6,classes_tol1e-2,coarse_pattern
N=6,6,15,5,0.7854770048061023,0.0666655528319038,0.06666775573432604,15,9,2x6 + 1x3 at tol1e-2
N=7,7,21,6,0.22681274361601544,0.04761904761904803,0.04761904761904835,21,19,all distinct at tol1e-2
