abs_delta_theta_over_pi,count
0.0006484979734768684,1
0.0026586638536021862,1
0.0047059073200593025,1
0.00473293955220992,1
0.011968642384819244,1
0.012617140358295972,1
0.016447759124528817,1
0.016746964382303844,1
0.017690942017477004,1
0.019726693171714733,1
0.02034960587107919,1
0.021180698676738455,1
0.022396849337536308,1
0.025055513191138492,1
0.02512540675324442,1
0.027285066000499753,1
0.036473657554018504,1
0.04021469847584447,1
0.04157316587777324,1
0.044947638028054175,1
0.046306105429982876,1
0.05693275195786363,1
0.05932101099306789,1
0.06139539715258292,1
0.06163865927792293,1
0.06311312484013912,1
0.06376162281361583,1
0.07249382547392398,1
0.07573026519843522,1
0.07665944512957837,1
0.07932960129539994,1
0.08109892048359489,1
0.08136535244963759,1
0.08198826514900212,1
0.08446246785874321,1
0.08511096583221994,1
0.0856313878847224,1
0.08652080390582727,1
0.08660607699356765,1
0.09092590361048605,1
0.09340640951188214,1
0.0981123168319415,1
0.0990562944671146,1
0.1017149583207168,1
0.10332782331598366,1
0.1039763212894603,1
0.1076728679927899,1
0.10806076286819329,1
0.10870926084166987,1
0.11580325884941851,1
0.11594496367427948,1
0.11821096961098582,1
0.11846192270302071,1
0.12067790322648926,1
0.12450852199272182,1
0.12515701996619877,1
0.1273995611645045,1
0.13031495903284654,1
0.1329736228864487,1
0.13495793399328965,1
0.13712566235101795,1
0.14822409067235892,1
0.14963392874596623,1
0.1502824267194431,1
0.15066456490392566,1
0.1546846271650044,1
0.15537047222398503,1
0.15812521335864638,1
0.16225106910426235,1
0.1667303083683173,1
0.1700938557434656,1
0.17074235371694235,1
0.17221593471357552,1
0.1775319806040537,1
0.1843323131223681,1
0.18843878914820344,1
0.18903822044242763,1
0.19317172870041324,1
0.19427894498635756,1
0.19734134146681992,1
0.2067291624599045,1
0.20938782631350683,1
0.2096194878249419,1
0.21141387951644142,1
0.21161737912286802,1
0.21230322418184866,1
0.21378910059134862,1
0.21400563815807214,1
0.2140725433700436,1
0.21632328644292725,1
0.2185220401435584,1
0.2315369457066434,1
0.23176348538752062,1
0.23202991735356324,1
0.23385547855708147,1
0.23401422846040426,1
0.23474489457818634,1
0.23646939270757983,1
0.23667289231400646,1
0.23922413384224125,1
0.24877688173586718,1
0.25119277622706043,1
0.25184127420053726,1
0.25666235245988783,1
0.2587367386194028,1
0.25882201170714314,1
0.2709383901159358,1
0.2731101115844166,1
0.27407017703292585,1
0.275644297435995,1
0.2778430511366263,1
0.2788031165851356,1
0.28394741846038757,1
0.2933352394534723,1
0.29340214466544345,1
0.2952508757096643,1
0.2959939033070742,1
0.2970452674011638,1
0.299703931254766,1
0.30039517758491624,1
0.305128117137126,1
0.3131288378371582,1
0.3149543990406763,1
0.317394873272243,1
0.3180577496124707,1
0.3203762824629087,1
0.3218498634595419,1
0.3221007805923023,1
0.32249836143301863,1
0.3298758022194621,1
0.3344670038178377,1
0.3397027853463533,1
0.3453428156129704,1
0.34974791531762917,1
0.3551690975165208,1
0.35990203706873053,1
0.36649487969993305,1
0.3669878513468529,1
0.3695390928750878,1
0.37219775672869,1
0.3748733220708736,1
0.37634979619325926,1
0.37903353255016586,1
0.38117087445260966,1
0.38150773525990705,1
0.3818193724260865,1
0.38215623323338377,1
0.38416639911350925,1
0.38481489708698596,1
0.38622157287164777,1
0.389888698746167,1
0.3913210811954024,1
0.3916202864531775,1
0.39378801481090575,1
0.3945946060662262,1
0.39605402074761203,1
0.39876022572188063,1
0.4014752029465037,1
0.40185734113098626,1
0.40250583910446297,1
0.40656324845104547,1
0.40696082929176197,1
0.40721174642452235,1
0.4080680455777063,1
0.40845594045310957,1
0.4091044384265864,1
0.41134697962489214,1
0.4128009851299159,1
0.4155071901041845,1
0.42080170582994797,1
0.42107308081140565,1
0.42630886233992094,1
0.42779473874942076,1
0.4325276783016306,1
0.43626871922345656,1
0.44315432482951145,1
0.44526935807352275,1
0.44786023214957066,1
0.44792802192712494,1
0.44808677183044787,1
0.45152735802408983,1
0.4530156836057605,1
0.4634960004089091,1
0.464144498382386,1
0.46555117416704767,1
0.46561896394460195,1
0.4662818402848297,1
0.46820983802064986,1
0.4682797315827558,1
0.4703248712646613,1
0.4712540511958046,1
0.47274237677747505,1
0.4729856389028151,1
0.4832226935806238,1
0.4838711915541007,1
0.4847274907072844,1
0.48548405654936727,1
0.4880010155781085,1
0.48814272040296947,1
0.48943339802734376,1
0.4894604302594943,1
0.49021699610157704,1
0.4906765809202921,1
0.4925922171764841,1
0.49287565995517924,1
0.4933352447738943,1
0.49356690628532934,1
0.4941663375795535,1
0.49938184406359565,1
0.4999696579629276,1
