stage,step,chi_A,chi_B,tau_A,tau_B,q_A,q_B,m_A,m_B,A_A,A_B,ab_collision_count,wall_reflection_count
step,470,-0.1999999999999999,0.1999999999999999,0.27000000000000035,0.27000000000000035,1.0,-1.0,1,2,1.0,1.0,1,2
step,480,-0.1899999999999999,0.1899999999999999,0.28000000000000036,0.28000000000000036,1.0,-1.0,1,2,1.0,1.0,1,2
step,490,-0.17999999999999988,0.17999999999999988,0.29000000000000037,0.29000000000000037,1.0,-1.0,1,2,1.0,1.0,1,2
step,500,-0.16999999999999987,0.16999999999999987,0.3000000000000004,0.3000000000000004,1.0,-1.0,1,2,1.0,1.0,1,2
step,510,-0.15999999999999986,0.15999999999999986,0.3100000000000004,0.3100000000000004,1.0,-1.0,1,2,1.0,1.0,1,2
step,520,-0.14999999999999986,0.14999999999999986,0.3200000000000004,0.3200000000000004,1.0,-1.0,1,2,1.0,1.0,1,2
step,530,-0.13999999999999985,0.13999999999999985,0.3300000000000004,0.3300000000000004,1.0,-1.0,1,2,1.0,1.0,1,2
step,540,-0.12999999999999984,0.12999999999999984,0.3400000000000004,0.3400000000000004,1.0,-1.0,1,2,1.0,1.0,1,2
step,550,-0.11999999999999983,0.11999999999999983,0.3500000000000004,0.3500000000000004,1.0,-1.0,1,2,1.0,1.0,1,2
step,560,-0.10999999999999982,0.10999999999999982,0.36000000000000043,0.36000000000000043,1.0,-1.0,1,2,1.0,1.0,1,2
step,570,-0.09999999999999981,0.09999999999999981,0.37000000000000044,0.37000000000000044,1.0,-1.0,1,2,1.0,1.0,1,2
step,580,-0.0899999999999998,0.0899999999999998,0.38000000000000045,0.38000000000000045,1.0,-1.0,1,2,1.0,1.0,1,2
step,590,-0.0799999999999998,0.0799999999999998,0.39000000000000046,0.39000000000000046,1.0,-1.0,1,2,1.0,1.0,1,2
step,600,-0.06999999999999978,0.06999999999999978,0.40000000000000047,0.40000000000000047,1.0,-1.0,1,2,1.0,1.0,1,2
step,610,-0.059999999999999776,0.059999999999999776,0.4100000000000005,0.4100000000000005,1.0,-1.0,1,2,1.0,1.0,1,2
step,620,-0.04999999999999977,0.04999999999999977,0.4200000000000005,0.4200000000000005,1.0,-1.0,1,2,1.0,1.0,1,2
step,630,-0.03999999999999976,0.03999999999999976,0.4300000000000005,0.4300000000000005,1.0,-1.0,1,2,1.0,1.0,1,2
step,640,-0.02999999999999975,0.02999999999999975,0.4400000000000005,0.4400000000000005,1.0,-1.0,1,2,1.0,1.0,1,2
step,650,-0.01999999999999974,0.01999999999999974,0.4500000000000005,0.4500000000000005,1.0,-1.0,1,2,1.0,1.0,1,2
ab_collision,655,-0.014999999999999736,0.014999999999999736,0.4550000000000005,0.4550000000000005,-1.0,1.0,1,2,1.0,1.0,2,2
step,660,-0.01999999999999974,0.01999999999999974,0.4600000000000005,0.4600000000000005,-1.0,1.0,1,2,1.0,1.0,2,2
step,670,-0.02999999999999975,0.02999999999999975,0.47000000000000053,0.47000000000000053,-1.0,1.0,1,2,1.0,1.0,2,2
step,680,-0.03999999999999976,0.03999999999999976,0.48000000000000054,0.48000000000000054,-1.0,1.0,1,2,1.0,1.0,2,2
step,690,-0.04999999999999977,0.04999999999999977,0.49000000000000055,0.49000000000000055,-1.0,1.0,1,2,1.0,1.0,2,2
step,700,-0.059999999999999776,0.059999999999999776,0.5000000000000006,0.5000000000000006,-1.0,1.0,1,2,1.0,1.0,2,2
step,710,-0.06999999999999978,0.06999999999999978,0.5100000000000006,0.5100000000000006,-1.0,1.0,1,2,1.0,1.0,2,2
step,720,-0.0799999999999998,0.0799999999999998,0.5200000000000006,0.5200000000000006,-1.0,1.0,1,2,1.0,1.0,2,2
step,730,-0.0899999999999998,0.0899999999999998,0.5300000000000006,0.5300000000000006,-1.0,1.0,1,2,1.0,1.0,2,2
step,740,-0.09999999999999981,0.09999999999999981,0.5400000000000006,0.5400000000000006,-1.0,1.0,1,2,1.0,1.0,2,2
step,750,-0.10999999999999982,0.10999999999999982,0.5500000000000006,0.5500000000000006,-1.0,1.0,1,2,1.0,1.0,2,2
step,760,-0.11999999999999983,0.11999999999999983,0.5600000000000006,0.5600000000000006,-1.0,1.0,1,2,1.0,1.0,2,2
step,770,-0.12999999999999984,0.12999999999999984,0.5700000000000006,0.5700000000000006,-1.0,1.0,1,2,1.0,1.0,2,2
step,780,-0.13999999999999985,0.13999999999999985,0.5800000000000006,0.5800000000000006,-1.0,1.0,1,2,1.0,1.0,2,2
step,790,-0.14999999999999986,0.14999999999999986,0.5900000000000006,0.5900000000000006,-1.0,1.0,1,2,1.0,1.0,2,2
step,800,-0.15999999999999986,0.15999999999999986,0.6000000000000006,0.6000000000000006,-1.0,1.0,1,2,1.0,1.0,2,2
step,810,-0.16999999999999987,0.16999999999999987,0.6100000000000007,0.6100000000000007,-1.0,1.0,1,2,1.0,1.0,2,2
step,820,-0.17999999999999988,0.17999999999999988,0.6200000000000007,0.6200000000000007,-1.0,1.0,1,2,1.0,1.0,2,2
step,830,-0.1899999999999999,0.1899999999999999,0.6300000000000007,0.6300000000000007,-1.0,1.0,1,2,1.0,1.0,2,2
step,840,-0.1999999999999999,0.1999999999999999,0.6400000000000007,0.6400000000000007,-1.0,1.0,1,2,1.0,1.0,2,2
step,850,-0.2099999999999999,0.2099999999999999,0.6500000000000007,0.6500000000000007,-1.0,1.0,1,2,1.0,1.0,2,2
step,860,-0.21999999999999992,0.21999999999999992,0.6600000000000007,0.6600000000000007,-1.0,1.0,1,2,1.0,1.0,2,2
step,870,-0.22999999999999993,0.22999999999999993,0.6700000000000007,0.6700000000000007,-1.0,1.0,1,2,1.0,1.0,2,2
step,880,-0.23999999999999994,0.23999999999999994,0.6800000000000007,0.6800000000000007,-1.0,1.0,1,2,1.0,1.0,2,2
step,890,-0.24999999999999994,0.24999999999999994,0.6900000000000007,0.6900000000000007,-1.0,1.0,1,2,1.0,1.0,2,2
wall_reflection,891,-0.24900000000000005,0.24900000000000005,0.6910000000000007,0.6910000000000007,1.0,-1.0,1,2,1.0,1.0,2,4
step,900,-0.24000000000000005,0.24000000000000005,0.7000000000000007,0.7000000000000007,1.0,-1.0,1,2,1.0,1.0,2,4
step,910,-0.23000000000000004,0.23000000000000004,0.7100000000000007,0.7100000000000007,1.0,-1.0,1,2,1.0,1.0,2,4
step,920,-0.22000000000000003,0.22000000000000003,0.7200000000000008,0.7200000000000008,1.0,-1.0,1,2,1.0,1.0,2,4
step,930,-0.21000000000000002,0.21000000000000002,0.7300000000000008,0.7300000000000008,1.0,-1.0,1,2,1.0,1.0,2,4
step,940,-0.2,0.2,0.7400000000000008,0.7400000000000008,1.0,-1.0,1,2,1.0,1.0,2,4
step,950,-0.19,0.19,0.7500000000000008,0.7500000000000008,1.0,-1.0,1,2,1.0,1.0,2,4
step,960,-0.18,0.18,0.7600000000000008,0.7600000000000008,1.0,-1.0,1,2,1.0,1.0,2,4
step,970,-0.16999999999999998,0.16999999999999998,0.7700000000000008,0.7700000000000008,1.0,-1.0,1,2,1.0,1.0,2,4
step,980,-0.15999999999999998,0.15999999999999998,0.7800000000000008,0.7800000000000008,1.0,-1.0,1,2,1.0,1.0,2,4
step,990,-0.14999999999999997,0.14999999999999997,0.7900000000000008,0.7900000000000008,1.0,-1.0,1,2,1.0,1.0,2,4
step,1000,-0.13999999999999996,0.13999999999999996,0.8000000000000008,0.8000000000000008,1.0,-1.0,1,2,1.0,1.0,2,4
step,1010,-0.12999999999999995,0.12999999999999995,0.8100000000000008,0.8100000000000008,1.0,-1.0,1,2,1.0,1.0,2,4
step,1020,-0.11999999999999994,0.11999999999999994,0.8200000000000008,0.8200000000000008,1.0,-1.0,1,2,1.0,1.0,2,4
step,1030,-0.10999999999999993,0.10999999999999993,0.8300000000000008,0.8300000000000008,1.0,-1.0,1,2,1.0,1.0,2,4
step,1040,-0.09999999999999992,0.09999999999999992,0.8400000000000009,0.8400000000000009,1.0,-1.0,1,2,1.0,1.0,2,4
step,1050,-0.08999999999999991,0.08999999999999991,0.8500000000000009,0.8500000000000009,1.0,-1.0,1,2,1.0,1.0,2,4
step,1060,-0.0799999999999999,0.0799999999999999,0.8600000000000009,0.8600000000000009,1.0,-1.0,1,2,1.0,1.0,2,4
step,1070,-0.0699999999999999,0.0699999999999999,0.8700000000000009,0.8700000000000009,1.0,-1.0,1,2,1.0,1.0,2,4
step,1080,-0.05999999999999989,0.05999999999999989,0.8800000000000009,0.8800000000000009,1.0,-1.0,1,2,1.0,1.0,2,4
step,1090,-0.04999999999999988,0.04999999999999988,0.8900000000000009,0.8900000000000009,1.0,-1.0,1,2,1.0,1.0,2,4
step,1100,-0.03999999999999987,0.03999999999999987,0.9000000000000009,0.9000000000000009,1.0,-1.0,1,2,1.0,1.0,2,4
step,1110,-0.02999999999999986,0.02999999999999986,0.9100000000000009,0.9100000000000009,1.0,-1.0,1,2,1.0,1.0,2,4
step,1120,-0.01999999999999985,0.01999999999999985,0.9200000000000009,0.9200000000000009,1.0,-1.0,1,2,1.0,1.0,2,4
ab_collision,1125,-0.014999999999999847,0.014999999999999847,0.9250000000000009,0.9250000000000009,-1.0,1.0,1,2,1.0,1.0,3,4
step,1130,-0.01999999999999985,0.01999999999999985,0.9300000000000009,0.9300000000000009,-1.0,1.0,1,2,1.0,1.0,3,4
step,1140,-0.02999999999999986,0.02999999999999986,0.940000000000001,0.940000000000001,-1.0,1.0,1,2,1.0,1.0,3,4
step,1150,-0.03999999999999987,0.03999999999999987,0.950000000000001,0.950000000000001,-1.0,1.0,1,2,1.0,1.0,3,4
step,1160,-0.04999999999999988,0.04999999999999988,0.960000000000001,0.960000000000001,-1.0,1.0,1,2,1.0,1.0,3,4
step,1170,-0.05999999999999989,0.05999999999999989,0.970000000000001,0.970000000000001,-1.0,1.0,1,2,1.0,1.0,3,4
step,1180,-0.0699999999999999,0.0699999999999999,0.980000000000001,0.980000000000001,-1.0,1.0,1,2,1.0,1.0,3,4
step,1190,-0.0799999999999999,0.0799999999999999,0.990000000000001,0.990000000000001,-1.0,1.0,1,2,1.0,1.0,3,4
step,1200,-0.08999999999999991,0.08999999999999991,1.0000000000000009,1.0000000000000009,-1.0,1.0,1,2,1.0,1.0,3,4
step,1210,-0.09999999999999992,0.09999999999999992,1.0099999999999998,1.0099999999999998,-1.0,1.0,1,2,1.0,1.0,3,4
step,1220,-0.10999999999999993,0.10999999999999993,1.0199999999999987,1.0199999999999987,-1.0,1.0,1,2,1.0,1.0,3,4
step,1230,-0.11999999999999994,0.11999999999999994,1.0299999999999976,1.0299999999999976,-1.0,1.0,1,2,1.0,1.0,3,4
step,1240,-0.12999999999999995,0.12999999999999995,1.0399999999999965,1.0399999999999965,-1.0,1.0,1,2,1.0,1.0,3,4
step,1250,-0.13999999999999996,0.13999999999999996,1.0499999999999954,1.0499999999999954,-1.0,1.0,1,2,1.0,1.0,3,4
step,1260,-0.14999999999999997,0.14999999999999997,1.0599999999999943,1.0599999999999943,-1.0,1.0,1,2,1.0,1.0,3,4
step,1270,-0.15999999999999998,0.15999999999999998,1.0699999999999932,1.0699999999999932,-1.0,1.0,1,2,1.0,1.0,3,4
step,1280,-0.16999999999999998,0.16999999999999998,1.079999999999992,1.079999999999992,-1.0,1.0,1,2,1.0,1.0,3,4
step,1290,-0.18,0.18,1.089999999999991,1.089999999999991,-1.0,1.0,1,2,1.0,1.0,3,4
step,1300,-0.19,0.19,1.0999999999999899,1.0999999999999899,-1.0,1.0,1,2,1.0,1.0,3,4
step,1310,-0.2,0.2,1.1099999999999888,1.1099999999999888,-1.0,1.0,1,2,1.0,1.0,3,4
step,1320,-0.21000000000000002,0.21000000000000002,1.1199999999999877,1.1199999999999877,-1.0,1.0,1,2,1.0,1.0,3,4
step,1330,-0.22000000000000003,0.22000000000000003,1.1299999999999866,1.1299999999999866,-1.0,1.0,1,2,1.0,1.0,3,4
step,1340,-0.23000000000000004,0.23000000000000004,1.1399999999999855,1.1399999999999855,-1.0,1.0,1,2,1.0,1.0,3,4
step,1350,-0.24000000000000005,0.24000000000000005,1.1499999999999844,1.1499999999999844,-1.0,1.0,1,2,1.0,1.0,3,4
wall_reflection,1360,-0.24999999999999994,0.24999999999999994,1.1599999999999833,1.1599999999999833,1.0,-1.0,1,2,1.0,1.0,3,6
step,1360,-0.24999999999999994,0.24999999999999994,1.1599999999999833,1.1599999999999833,1.0,-1.0,1,2,1.0,1.0,3,6
step,1370,-0.23999999999999994,0.23999999999999994,1.1699999999999822,1.1699999999999822,1.0,-1.0,1,2,1.0,1.0,3,6
step,1380,-0.22999999999999993,0.22999999999999993,1.179999999999981,1.179999999999981,1.0,-1.0,1,2,1.0,1.0,3,6
step,1390,-0.21999999999999992,0.21999999999999992,1.18999999999998,1.18999999999998,1.0,-1.0,1,2,1.0,1.0,3,6
step,1400,-0.2099999999999999,0.2099999999999999,1.1999999999999789,1.1999999999999789,1.0,-1.0,1,2,1.0,1.0,3,6
step,1410,-0.1999999999999999,0.1999999999999999,1.2099999999999778,1.2099999999999778,1.0,-1.0,1,2,1.0,1.0,3,6
step,1420,-0.1899999999999999,0.1899999999999999,1.2199999999999767,1.2199999999999767,1.0,-1.0,1,2,1.0,1.0,3,6
step,1430,-0.17999999999999988,0.17999999999999988,1.2299999999999756,1.2299999999999756,1.0,-1.0,1,2,1.0,1.0,3,6
step,1440,-0.16999999999999987,0.16999999999999987,1.2399999999999745,1.2399999999999745,1.0,-1.0,1,2,1.0,1.0,3,6
step,1450,-0.15999999999999986,0.15999999999999986,1.2499999999999734,1.2499999999999734,1.0,-1.0,1,2,1.0,1.0,3,6
step,1460,-0.14999999999999986,0.14999999999999986,1.2599999999999723,1.2599999999999723,1.0,-1.0,1,2,1.0,1.0,3,6
step,1470,-0.13999999999999985,0.13999999999999985,1.2699999999999712,1.2699999999999712,1.0,-1.0,1,2,1.0,1.0,3,6
step,1480,-0.12999999999999984,0.12999999999999984,1.27999999999997,1.27999999999997,1.0,-1.0,1,2,1.0,1.0,3,6
step,1490,-0.11999999999999983,0.11999999999999983,1.289999999999969,1.289999999999969,1.0,-1.0,1,2,1.0,1.0,3,6
step,1500,-0.10999999999999982,0.10999999999999982,1.2999999999999678,1.2999999999999678,1.0,-1.0,1,2,1.0,1.0,3,6
step,1510,-0.09999999999999981,0.09999999999999981,1.3099999999999667,1.3099999999999667,1.0,-1.0,1,2,1.0,1.0,3,6
step,1520,-0.0899999999999998,0.0899999999999998,1.3199999999999656,1.3199999999999656,1.0,-1.0,1,2,1.0,1.0,3,6
step,1530,-0.0799999999999998,0.0799999999999998,1.3299999999999645,1.3299999999999645,1.0,-1.0,1,2,1.0,1.0,3,6
step,1540,-0.06999999999999978,0.06999999999999978,1.3399999999999634,1.3399999999999634,1.0,-1.0,1,2,1.0,1.0,3,6
step,1550,-0.059999999999999776,0.059999999999999776,1.3499999999999623,1.3499999999999623,1.0,-1.0,1,2,1.0,1.0,3,6
step,1560,-0.04999999999999977,0.04999999999999977,1.3599999999999612,1.3599999999999612,1.0,-1.0,1,2,1.0,1.0,3,6
step,1570,-0.03999999999999976,0.03999999999999976,1.3699999999999601,1.3699999999999601,1.0,-1.0,1,2,1.0,1.0,3,6
step,1580,-0.02999999999999975,0.02999999999999975,1.379999999999959,1.379999999999959,1.0,-1.0,1,2,1.0,1.0,3,6
step,1590,-0.01999999999999974,0.01999999999999974,1.389999999999958,1.389999999999958,1.0,-1.0,1,2,1.0,1.0,3,6
ab_collision,1595,-0.014999999999999736,0.014999999999999736,1.3949999999999574,1.3949999999999574,-1.0,1.0,1,2,1.0,1.0,4,6
step,1600,-0.01999999999999974,0.01999999999999974,1.3999999999999568,1.3999999999999568,-1.0,1.0,1,2,1.0,1.0,4,6
step,1610,-0.02999999999999975,0.02999999999999975,1.4099999999999557,1.4099999999999557,-1.0,1.0,1,2,1.0,1.0,4,6
step,1620,-0.03999999999999976,0.03999999999999976,1.4199999999999546,1.4199999999999546,-1.0,1.0,1,2,1.0,1.0,4,6
step,1630,-0.04999999999999977,0.04999999999999977,1.4299999999999535,1.4299999999999535,-1.0,1.0,1,2,1.0,1.0,4,6
step,1640,-0.059999999999999776,0.059999999999999776,1.4399999999999524,1.4399999999999524,-1.0,1.0,1,2,1.0,1.0,4,6
step,1650,-0.06999999999999978,0.06999999999999978,1.4499999999999513,1.4499999999999513,-1.0,1.0,1,2,1.0,1.0,4,6
step,1660,-0.0799999999999998,0.0799999999999998,1.4599999999999502,1.4599999999999502,-1.0,1.0,1,2,1.0,1.0,4,6
step,1670,-0.0899999999999998,0.0899999999999998,1.4699999999999491,1.4699999999999491,-1.0,1.0,1,2,1.0,1.0,4,6
step,1680,-0.09999999999999981,0.09999999999999981,1.479999999999948,1.479999999999948,-1.0,1.0,1,2,1.0,1.0,4,6
step,1690,-0.10999999999999982,0.10999999999999982,1.489999999999947,1.489999999999947,-1.0,1.0,1,2,1.0,1.0,4,6
step,1700,-0.11999999999999983,0.11999999999999983,1.4999999999999458,1.4999999999999458,-1.0,1.0,1,2,1.0,1.0,4,6
step,1710,-0.12999999999999984,0.12999999999999984,1.5099999999999447,1.5099999999999447,-1.0,1.0,1,2,1.0,1.0,4,6
step,1720,-0.13999999999999985,0.13999999999999985,1.5199999999999436,1.5199999999999436,-1.0,1.0,1,2,1.0,1.0,4,6
step,1730,-0.14999999999999986,0.14999999999999986,1.5299999999999425,1.5299999999999425,-1.0,1.0,1,2,1.0,1.0,4,6
step,1740,-0.15999999999999986,0.15999999999999986,1.5399999999999414,1.5399999999999414,-1.0,1.0,1,2,1.0,1.0,4,6
step,1750,-0.16999999999999987,0.16999999999999987,1.5499999999999403,1.5499999999999403,-1.0,1.0,1,2,1.0,1.0,4,6
step,1760,-0.17999999999999988,0.17999999999999988,1.5599999999999392,1.5599999999999392,-1.0,1.0,1,2,1.0,1.0,4,6
step,1770,-0.1899999999999999,0.1899999999999999,1.5699999999999381,1.5699999999999381,-1.0,1.0,1,2,1.0,1.0,4,6
step,1780,-0.1999999999999999,0.1999999999999999,1.579999999999937,1.579999999999937,-1.0,1.0,1,2,1.0,1.0,4,6
step,1790,-0.2099999999999999,0.2099999999999999,1.589999999999936,1.589999999999936,-1.0,1.0,1,2,1.0,1.0,4,6
step,1800,-0.21999999999999992,0.21999999999999992,1.5999999999999348,1.5999999999999348,-1.0,1.0,1,2,1.0,1.0,4,6
step,1810,-0.22999999999999993,0.22999999999999993,1.6099999999999337,1.6099999999999337,-1.0,1.0,1,2,1.0,1.0,4,6
step,1820,-0.23999999999999994,0.23999999999999994,1.6199999999999326,1.6199999999999326,-1.0,1.0,1,2,1.0,1.0,4,6
step,1830,-0.24999999999999994,0.24999999999999994,1.6299999999999315,1.6299999999999315,-1.0,1.0,1,2,1.0,1.0,4,6
wall_reflection,1831,-0.24900000000000005,0.24900000000000005,1.6309999999999314,1.6309999999999314,1.0,-1.0,1,2,1.0,1.0,4,8
step,1840,-0.24000000000000005,0.24000000000000005,1.6399999999999304,1.6399999999999304,1.0,-1.0,1,2,1.0,1.0,4,8
step,1850,-0.23000000000000004,0.23000000000000004,1.6499999999999293,1.6499999999999293,1.0,-1.0,1,2,1.0,1.0,4,8
step,1860,-0.22000000000000003,0.22000000000000003,1.6599999999999282,1.6599999999999282,1.0,-1.0,1,2,1.0,1.0,4,8
step,1870,-0.21000000000000002,0.21000000000000002,1.669999999999927,1.669999999999927,1.0,-1.0,1,2,1.0,1.0,4,8
step,1880,-0.2,0.2,1.679999999999926,1.679999999999926,1.0,-1.0,1,2,1.0,1.0,4,8
step,1890,-0.19,0.19,1.689999999999925,1.689999999999925,1.0,-1.0,1,2,1.0,1.0,4,8
step,1900,-0.18,0.18,1.6999999999999238,1.6999999999999238,1.0,-1.0,1,2,1.0,1.0,4,8
step,1910,-0.16999999999999998,0.16999999999999998,1.7099999999999227,1.7099999999999227,1.0,-1.0,1,2,1.0,1.0,4,8
step,1920,-0.15999999999999998,0.15999999999999998,1.7199999999999216,1.7199999999999216,1.0,-1.0,1,2,1.0,1.0,4,8
step,1930,-0.14999999999999997,0.14999999999999997,1.7299999999999205,1.7299999999999205,1.0,-1.0,1,2,1.0,1.0,4,8
step,1940,-0.13999999999999996,0.13999999999999996,1.7399999999999194,1.7399999999999194,1.0,-1.0,1,2,1.0,1.0,4,8
step,1950,-0.12999999999999995,0.12999999999999995,1.7499999999999183,1.7499999999999183,1.0,-1.0,1,2,1.0,1.0,4,8
step,1960,-0.11999999999999994,0.11999999999999994,1.7599999999999172,1.7599999999999172,1.0,-1.0,1,2,1.0,1.0,4,8
step,1970,-0.10999999999999993,0.10999999999999993,1.769999999999916,1.769999999999916,1.0,-1.0,1,2,1.0,1.0,4,8
step,1980,-0.09999999999999992,0.09999999999999992,1.779999999999915,1.779999999999915,1.0,-1.0,1,2,1.0,1.0,4,8
step,1990,-0.08999999999999991,0.08999999999999991,1.7899999999999139,1.7899999999999139,1.0,-1.0,1,2,1.0,1.0,4,8
step,2000,-0.0799999999999999,0.0799999999999999,1.7999999999999128,1.7999999999999128,1.0,-1.0,1,2,1.0,1.0,4,8
step,2010,-0.0699999999999999,0.0699999999999999,1.8099999999999117,1.8099999999999117,1.0,-1.0,1,2,1.0,1.0,4,8
step,2020,-0.05999999999999989,0.05999999999999989,1.8199999999999106,1.8199999999999106,1.0,-1.0,1,2,1.0,1.0,4,8
