edge_index,i,j,class,theta_deg,a_Re,b_Im,abs_z,abs_z_sq
0,0,1,0,0.0,0.29514591494904874,0.0,0.29514591494904874,0.08711111111111111
1,0,2,1,45.0,0.10434983894999018,0.10434983894999017,0.14757295747452437,0.021777777777777778
2,0,3,2,90.0,1.8072475001188473e-17,0.29514591494904874,0.29514591494904874,0.08711111111111111
3,0,4,3,135.0,-0.10434983894999017,0.10434983894999018,0.14757295747452437,0.021777777777777778
4,0,5,3,135.0,-0.10434983894999017,0.10434983894999018,0.14757295747452437,0.021777777777777778
5,0,6,2,90.0,1.8072475001188473e-17,0.29514591494904874,0.29514591494904874,0.08711111111111111
6,0,7,1,45.0,0.10434983894999018,0.10434983894999017,0.14757295747452437,0.021777777777777778
7,0,8,0,0.0,0.29514591494904874,0.0,0.29514591494904874,0.08711111111111111
8,1,2,0,0.0,0.29514591494904874,0.0,0.29514591494904874,0.08711111111111111
9,1,3,1,45.0,0.10434983894999018,0.10434983894999017,0.14757295747452437,0.021777777777777778
10,1,4,2,90.0,1.8072475001188473e-17,0.29514591494904874,0.29514591494904874,0.08711111111111111
11,1,5,3,135.0,-0.10434983894999017,0.10434983894999018,0.14757295747452437,0.021777777777777778
12,1,6,3,135.0,-0.10434983894999017,0.10434983894999018,0.14757295747452437,0.021777777777777778
13,1,7,2,90.0,1.8072475001188473e-17,0.29514591494904874,0.29514591494904874,0.08711111111111111
14,1,8,1,45.0,0.10434983894999018,0.10434983894999017,0.14757295747452437,0.021777777777777778
15,2,3,0,0.0,0.29514591494904874,0.0,0.29514591494904874,0.08711111111111111
16,2,4,1,45.0,0.10434983894999018,0.10434983894999017,0.14757295747452437,0.021777777777777778
17,2,5,2,90.0,1.8072475001188473e-17,0.29514591494904874,0.29514591494904874,0.08711111111111111
18,2,6,3,135.0,-0.10434983894999017,0.10434983894999018,0.14757295747452437,0.021777777777777778
19,2,7,3,135.0,-0.10434983894999017,0.10434983894999018,0.14757295747452437,0.021777777777777778
20,2,8,2,90.0,1.8072475001188473e-17,0.29514591494904874,0.29514591494904874,0.08711111111111111
21,3,4,0,0.0,0.29514591494904874,0.0,0.29514591494904874,0.08711111111111111
22,3,5,1,45.0,0.10434983894999018,0.10434983894999017,0.14757295747452437,0.021777777777777778
23,3,6,2,90.0,1.8072475001188473e-17,0.29514591494904874,0.29514591494904874,0.08711111111111111
24,3,7,3,135.0,-0.10434983894999017,0.10434983894999018,0.14757295747452437,0.021777777777777778
25,3,8,3,135.0,-0.10434983894999017,0.10434983894999018,0.14757295747452437,0.021777777777777778
26,4,5,0,0.0,0.29514591494904874,0.0,0.29514591494904874,0.08711111111111111
27,4,6,1,45.0,0.10434983894999018,0.10434983894999017,0.14757295747452437,0.021777777777777778
28,4,7,2,90.0,1.8072475001188473e-17,0.29514591494904874,0.29514591494904874,0.08711111111111111
29,4,8,3,135.0,-0.10434983894999017,0.10434983894999018,0.14757295747452437,0.021777777777777778
30,5,6,0,0.0,0.29514591494904874,0.0,0.29514591494904874,0.08711111111111111
31,5,7,1,45.0,0.10434983894999018,0.10434983894999017,0.14757295747452437,0.021777777777777778
32,5,8,2,90.0,1.8072475001188473e-17,0.29514591494904874,0.29514591494904874,0.08711111111111111
33,6,7,0,0.0,0.29514591494904874,0.0,0.29514591494904874,0.08711111111111111
34,6,8,1,45.0,0.10434983894999018,0.10434983894999017,0.14757295747452437,0.021777777777777778
35,7,8,0,0.0,0.29514591494904874,0.0,0.29514591494904874,0.08711111111111111
