resolution,base_wavelength_multiple,base_wavelength,harmonic_wavelength_multiple,harmonic_wavelength,harmonic_order,parity
4,2,2lambda0,1,1lambda0,2,偶数
4,4,4lambda0,1,1lambda0,4,偶数
4,4,4lambda0,2,2lambda0,2,偶数
