wave_id,resolution,base_wave,harmonics,phase_composition,reflection_fraction,reflection_value,theta_over_pi,finite_order_lock,real_rotation_period,closure_address,conjugate_address,charge_magnitude,particle_antiparticle,conjugate_direction_count,winding_cover_spin
N4-W0001,4,1lambda0(0deg),なし,base:0deg,0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,内部倍音なし（スピン型未分類）
N4-W0002,4,1lambda0(180deg),なし,base:180deg,0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,内部倍音なし（スピン型未分類）
N4-W0003,4,2lambda0(0deg),なし,base:0deg,0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,内部倍音なし（スピン型未分類）
N4-W0004,4,2lambda0(0deg),1lambda0(0deg);order=2,"base:0deg, order2:0deg",0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,偶数巻数のみ: 1:1被覆（整数スピン型）
N4-W0005,4,2lambda0(0deg),1lambda0(180deg);order=2,"base:0deg, order2:180deg",0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,偶数巻数のみ: 1:1被覆（整数スピン型）
N4-W0006,4,2lambda0(180deg),なし,base:180deg,0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,内部倍音なし（スピン型未分類）
N4-W0007,4,2lambda0(180deg),1lambda0(0deg);order=2,"base:180deg, order2:0deg",0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,偶数巻数のみ: 1:1被覆（整数スピン型）
N4-W0008,4,2lambda0(180deg),1lambda0(180deg);order=2,"base:180deg, order2:180deg",0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,偶数巻数のみ: 1:1被覆（整数スピン型）
N4-W0009,4,4lambda0(0deg),なし,base:0deg,0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,内部倍音なし（スピン型未分類）
N4-W0010,4,4lambda0(0deg),2lambda0(0deg);order=2,"base:0deg, order2:0deg",0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,偶数巻数のみ: 1:1被覆（整数スピン型）
N4-W0011,4,4lambda0(0deg),2lambda0(180deg);order=2,"base:0deg, order2:180deg",0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,偶数巻数のみ: 1:1被覆（整数スピン型）
N4-W0012,4,4lambda0(0deg),1lambda0(0deg);order=4,"base:0deg, order4:0deg",0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,偶数巻数のみ: 1:1被覆（整数スピン型）
N4-W0013,4,4lambda0(0deg),1lambda0(0deg);order=4+2lambda0(0deg);order=2,"base:0deg, order4:0deg, order2:0deg",0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,偶数巻数のみ: 1:1被覆（整数スピン型）
N4-W0014,4,4lambda0(0deg),1lambda0(0deg);order=4+2lambda0(180deg);order=2,"base:0deg, order4:0deg, order2:180deg",0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,偶数巻数のみ: 1:1被覆（整数スピン型）
N4-W0015,4,4lambda0(0deg),1lambda0(180deg);order=4,"base:0deg, order4:180deg",0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,偶数巻数のみ: 1:1被覆（整数スピン型）
N4-W0016,4,4lambda0(0deg),1lambda0(180deg);order=4+2lambda0(0deg);order=2,"base:0deg, order4:180deg, order2:0deg",0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,偶数巻数のみ: 1:1被覆（整数スピン型）
N4-W0017,4,4lambda0(0deg),1lambda0(180deg);order=4+2lambda0(180deg);order=2,"base:0deg, order4:180deg, order2:180deg",0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,偶数巻数のみ: 1:1被覆（整数スピン型）
N4-W0018,4,4lambda0(180deg),なし,base:180deg,0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,内部倍音なし（スピン型未分類）
N4-W0019,4,4lambda0(180deg),2lambda0(0deg);order=2,"base:180deg, order2:0deg",0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,偶数巻数のみ: 1:1被覆（整数スピン型）
