epsilon,phi,phi_over_pi,s0,stability_gain,noise_amp,seed,phase,S_mean,S_amp,S_max_abs,S_final,S_drift,Q_max_error,Q_tail_max_error
0.0,0.0,0.0,0.0,-0.01,0.0,0,gray_eigen,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16
0.0,0.0,0.0,0.0,-0.01,1e-08,0,gray_eigen,2.0014294774745942e-08,4.1473696274496596e-07,4.695536848786652e-07,4.049925200755312e-08,1.997197227651157e-08,6.661338147750939e-16,6.661338147750939e-16
0.0,0.0,0.0,0.0,-0.01,1e-08,1,gray_eigen,-5.746500079536761e-09,4.474136760523882e-07,4.5659949055032435e-07,1.7024575893476168e-07,3.7592298830597655e-08,6.661338147750939e-16,6.661338147750939e-16
0.0,0.0,0.0,0.0,-0.01,1e-08,2,gray_eigen,3.8741741948154147e-08,3.769739101711077e-07,4.146306812335965e-07,-7.44652642326038e-08,9.567098586856403e-08,6.661338147750939e-16,6.661338147750939e-16
0.0,0.0,0.0,0.0,-0.002,0.0,0,gray_eigen,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16
0.0,0.0,0.0,0.0,-0.002,1e-08,0,gray_eigen,9.985937947759239e-08,7.478967192220409e-07,8.729774072513408e-07,8.726341516052115e-08,4.055959801686402e-07,6.661338147750939e-16,6.661338147750939e-16
0.0,0.0,0.0,0.0,-0.002,1e-08,1,gray_eigen,-1.3242992390184282e-07,5.130121818186506e-07,5.596042046418505e-07,4.2549658391122236e-07,3.615115862424963e-08,6.661338147750939e-16,6.661338147750939e-16
0.0,0.0,0.0,0.0,-0.002,1e-08,2,gray_eigen,2.529564933176607e-07,5.875004269184636e-07,6.990161928732698e-07,-1.1200319033344286e-07,1.3035634883191915e-07,6.661338147750939e-16,6.661338147750939e-16
0.0,0.0,0.0,0.0,0.0,0.0,0,gray_eigen,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16
0.0,0.0,0.0,0.0,0.0,1e-08,0,gray_eigen,9.336779816025503e-07,9.039302900915038e-07,1.7675465949218432e-06,1.3385323893166934e-06,9.160585104314799e-07,6.661338147750939e-16,6.661338147750939e-16
0.0,0.0,0.0,0.0,0.0,1e-08,1,gray_eigen,1.2877322667471009e-07,5.376886395846991e-07,5.721698949634479e-07,4.7315150808469047e-07,3.0597805494588336e-07,6.661338147750939e-16,6.661338147750939e-16
0.0,0.0,0.0,0.0,0.0,1e-08,2,gray_eigen,1.3565518796947778e-06,8.303173892887374e-07,2.1120986053446704e-06,1.4145981532820435e-06,6.535083526297772e-07,6.661338147750939e-16,6.661338147750939e-16
0.0,0.0,0.0,0.0,0.002,0.0,0,gray_eigen,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16
