class_id,count,a2n,b2n,abn,edges
0,2,0.1484593244237593,0.8515406755762407,-0.3555547122671843,"1-2,3-4"
1,2,0.983694343894965,0.01630565610503496,-0.1266482596959757,"1-3,2-4"
2,2,0.36783160839379037,0.6321683916062095,0.4822152177816743,"1-4,2-3"
