case,N,M,simplex_rank,final_r2_min,final_r2_max,final_phase_distance_classes_tol1e-8,class_sizes,phase_thirds_error
N=3,3,3,2,0.0633212854057963,0.0684893743646783,3,1+1+1,0.01333853509276911
N=4,4,6,3,0.1111087848784338,0.1111136807253539,3,2+2+2,6.375247994183653e-06
