frequency_ratio,amplitude_ratio,phase_shift_deg,amp_freq_product,readout_mode,per_step_leak,max_abs_A_chi_tau,rank_chi_tau,max_epsilon_c_abs,locked_like,c1_like,c1_surface_like,decay_rate_envelope,chi_min,chi_max,tau_min,tau_max,tau_is_step_used,external_c_used,absolute_background_axis_used,f_A_or_f_B_used
0.5,0.5,0.0,0.25,readout_off,0.0,0.040608407584809894,2,2.999464551638256,False,False,False,0.0,-0.17453292519943295,0.17453292519943295,-0.08726646259971647,0.08726646259971647,False,False,False,False
0.5,0.5,0.0,0.25,readout_normal,5e-05,0.040220498221762484,2,3.0034366366793215,False,False,False,-0.00010000250008332545,-0.1741145379846754,0.17453292519943295,-0.08664038500100406,0.0870572689923377,False,False,False,False
0.5,0.5,0.0,0.25,readout_strong,0.0002,0.039079632483968466,2,3.015372393959397,False,False,False,-0.0004000400053340893,-0.17286525994757326,0.17453292519943295,-0.08478879045175966,0.08643262997378663,False,False,False,False
0.5,0.5,15.0,0.25,readout_off,0.0,0.03922470965064079,2,2.999464551638256,False,False,False,0.0,-0.17453292519943295,0.17453292519943295,-0.08726646259971647,0.08726646259971647,False,False,False,False
0.5,0.5,15.0,0.25,readout_normal,5e-05,0.03883279169039932,2,3.003979023590233,False,False,False,-0.00010000250008332545,-0.1741145379846754,0.17453292519943295,-0.08667504895393889,0.08709209973639488,False,False,False,False
0.5,0.5,15.0,0.25,readout_strong,0.0002,0.037681070657882815,2,3.017541250342312,False,False,False,-0.0004000400053340893,-0.17286525994757326,0.17453292519943295,-0.08492457469378274,0.08657104672775283,False,False,False,False
0.5,0.5,30.0,0.25,readout_off,0.0,0.03516791257567806,2,2.9994645516382543,False,False,False,0.0,-0.17453292519943295,0.17453292519943295,-0.08726646259971647,0.08726646259971647,False,False,False,False
0.5,0.5,30.0,0.25,readout_normal,5e-05,0.03479869457955799,2,3.003977501823626,False,False,False,-0.00010000250008332545,-0.1741145379846754,0.17453292519943295,-0.08670972677557517,0.08712694441588496,False,False,False,False
0.5,0.5,30.0,0.25,readout_strong,0.0002,0.033714606137375966,2,3.0175166731785907,False,False,False,-0.0004000400053340893,-0.17286525994757326,0.17453292519943295,-0.08506057638625279,0.08670968514797844,False,False,False,False
0.5,0.5,45.0,0.25,readout_off,0.0,0.02871448037640631,2,2.9994645516382525,False,False,False,0.0,-0.17453292519943295,0.17453292519943295,-0.08726646259971647,0.08726646259971647,False,False,False,False
0.5,0.5,45.0,0.25,readout_normal,5e-05,0.02862432106442353,2,3.0034331248791757,False,False,False,-0.00010000250008332545,-0.1741145379846754,0.17453292519943295,-0.08674441847146164,0.08716180303638339,False,False,False,False
0.5,0.5,45.0,0.25,readout_strong,0.0002,0.02835568875474362,2,3.0153156949597557,False,False,False,-0.0004000400053340893,-0.17286525994757326,0.17453292519943295,-0.08519679587740386,0.0868485455894489,False,False,False,False
0.5,0.5,60.0,0.25,readout_off,0.0,0.03516791257567804,2,2.9994645516382543,False,False,False,0.0,-0.17453292519943295,0.17453292519943295,-0.08726646259971647,0.08726646259971647,False,False,False,False
0.5,0.5,60.0,0.25,readout_normal,5e-05,0.03503301155034112,2,3.0024059722349605,False,False,False,-0.00010000250008332545,-0.1741145379846754,0.17453292519943295,-0.08677912404714921,0.08719667560346783,False,False,False,False
0.5,0.5,60.0,0.25,readout_strong,0.0002,0.034631959011999225,2,3.0111799589232797,False,False,False,-0.0004000400053340893,-0.17286525994757326,0.17453292519943295,-0.0853332335160277,0.08698762840771813,False,False,False,False
0.5,0.5,75.0,0.25,readout_off,0.0,0.03922470965064077,2,2.999464551638256,False,False,False,0.0,-0.17453292519943295,0.17453292519943295,-0.08726646259971647,0.08726646259971647,False,False,False,False
0.5,0.5,75.0,0.25,readout_normal,5e-05,0.039054260193891945,2,3.0024111518657595,False,False,False,-0.00010000250008332545,-0.1741145379846754,0.17453292519943295,-0.0868138435081911,0.08723156212271814,False,False,False,False
0.5,0.5,75.0,0.25,readout_strong,0.0002,0.038548118494605384,2,3.0112634081542637,False,False,False,-0.0004000400053340893,-0.17286525994757326,0.17453292519943295,-0.08546988965147456,0.08712693395890946,False,False,False,False
0.5,0.5,90.0,0.25,readout_off,0.0,0.040608407584809894,2,2.999464551638256,False,False,False,0.0,-0.17453292519943295,0.17453292519943295,-0.08726646259971647,0.08726646259971647,False,False,False,False
