t,H,Q2_re,Q2_im,generator_norm
0,np.float64(45.54749628098899),np.float64(14.173108780270852),np.float64(-4.245869835682913),np.float64(6.343683338663227)
1,np.float64(45.54749628098902),np.float64(14.173108780270859),np.float64(-4.24586983568292),np.float64(6.06562592793278)
2,np.float64(45.54749628098894),np.float64(14.173108780270852),np.float64(-4.245869835682942),np.float64(6.470669231736441)
3,np.float64(45.54749628098907),np.float64(14.173108780270885),np.float64(-4.245869835682955),np.float64(6.407815765410065)
4,np.float64(45.54749628098913),np.float64(14.173108780270876),np.float64(-4.245869835682955),np.float64(6.583881938487556)
5,np.float64(45.54749628098925),np.float64(14.173108780270908),np.float64(-4.245869835682999),np.float64(6.6258269153972735)
6,np.float64(45.547496280989286),np.float64(14.173108780270919),np.float64(-4.245869835682997),np.float64(6.635816846913249)
7,np.float64(45.547496280989364),np.float64(14.173108780270947),np.float64(-4.245869835683023),np.float64(6.778653372497188)
8,np.float64(45.5474962809894),np.float64(14.17310878027094),np.float64(-4.2458698356830356),np.float64(6.739993698431851)
9,np.float64(45.54749628098934),np.float64(14.173108780270933),np.float64(-4.245869835683006),np.float64(6.815952357805657)
10,np.float64(45.54749628098924),np.float64(14.173108780270926),np.float64(-4.245869835682996),np.float64(6.735831132699155)
11,np.float64(45.54749628098936),np.float64(14.173108780270933),np.float64(-4.245869835683055),np.float64(6.727388864222545)
12,np.float64(45.547496280989364),np.float64(14.173108780270926),np.float64(-4.245869835683081),np.float64(6.868021082063329)
13,np.float64(45.54749628098946),np.float64(14.173108780270958),np.float64(-4.245869835683072),np.float64(6.780793201449612)
14,np.float64(45.54749628098935),np.float64(14.173108780270937),np.float64(-4.245869835683053),np.float64(6.846795165607588)
15,np.float64(45.547496280989336),np.float64(14.173108780270965),np.float64(-4.245869835683073),np.float64(6.781847585921533)
16,np.float64(45.54749628098932),np.float64(14.173108780270969),np.float64(-4.245869835683094),np.float64(6.849134100401969)
17,np.float64(45.54749628098937),np.float64(14.173108780270962),np.float64(-4.245869835683134),np.float64(6.816831381614962)
18,np.float64(45.54749628098924),np.float64(14.173108780270946),np.float64(-4.245869835683104),np.float64(6.799178116685268)
19,np.float64(45.547496280989385),np.float64(14.173108780270985),np.float64(-4.245869835683104),np.float64(6.874986500623257)
20,np.float64(45.54749628098944),np.float64(14.173108780270997),np.float64(-4.245869835683119),np.float64(6.783555949880627)
21,np.float64(45.54749628098935),np.float64(14.173108780270995),np.float64(-4.24586983568309),np.float64(6.9113306974014375)
22,np.float64(45.54749628098919),np.float64(14.173108780270983),np.float64(-4.245869835683062),np.float64(6.790559105148735)
23,np.float64(45.54749628098919),np.float64(14.173108780270992),np.float64(-4.245869835683045),np.float64(6.863889901209495)
24,np.float64(45.54749628098915),np.float64(14.173108780271017),np.float64(-4.24586983568299),np.float64(6.83777904852169)
25,np.float64(45.547496280989186),np.float64(14.17310878027098),np.float64(-4.245869835683017),np.float64(6.796523728045674)
26,np.float64(45.54749628098921),np.float64(14.173108780270994),np.float64(-4.245869835683065),np.float64(6.87334687604135)
27,np.float64(45.547496280989115),np.float64(14.173108780270972),np.float64(-4.245869835683035),np.float64(6.828954955983365)
28,np.float64(45.547496280989165),np.float64(14.173108780270988),np.float64(-4.245869835683015),np.float64(6.897973331713942)
29,np.float64(45.547496280989094),np.float64(14.173108780270995),np.float64(-4.245869835683033),np.float64(6.806718243831966)
30,np.float64(45.547496280989066),np.float64(14.173108780270976),np.float64(-4.245869835683029),np.float64(6.85854323636714)
31,np.float64(45.547496280989044),np.float64(14.17310878027093),np.float64(-4.24586983568304),np.float64(6.817129118240332)
32,np.float64(45.547496280989044),np.float64(14.17310878027091),np.float64(-4.245869835683074),np.float64(6.852630333128025)
33,np.float64(45.54749628098911),np.float64(14.173108780270937),np.float64(-4.245869835683083),np.float64(6.8505812998337685)
34,np.float64(45.54749628098922),np.float64(14.173108780270963),np.float64(-4.24586983568312),np.float64(6.842428538388074)
35,np.float64(45.54749628098931),np.float64(14.173108780270992),np.float64(-4.2458698356831315),np.float64(6.885544077314588)
36,np.float64(45.54749628098936),np.float64(14.173108780270965),np.float64(-4.2458698356831475),np.float64(6.781862173626812)
37,np.float64(45.54749628098948),np.float64(14.173108780271013),np.float64(-4.245869835683122),np.float64(6.872098610711948)
38,np.float64(45.547496280989414),np.float64(14.173108780270981),np.float64(-4.2458698356831395),np.float64(6.829271603083034)
39,np.float64(45.54749628098942),np.float64(14.173108780270974),np.float64(-4.245869835683139),np.float64(6.873020728504137)
40,np.float64(45.54749628098936),np.float64(14.173108780270947),np.float64(-4.24586983568314),np.float64(6.85839123711814)
41,np.float64(45.54749628098941),np.float64(14.173108780270962),np.float64(-4.245869835683147),np.float64(6.829506036079329)
42,np.float64(45.547496280989385),np.float64(14.173108780270969),np.float64(-4.245869835683149),np.float64(6.862869501696018)
43,np.float64(45.54749628098946),np.float64(14.173108780270976),np.float64(-4.245869835683177),np.float64(6.809489315883253)
44,np.float64(45.54749628098928),np.float64(14.173108780270956),np.float64(-4.245869835683107),np.float64(6.8719901896300755)
45,np.float64(45.547496280989385),np.float64(14.173108780270976),np.float64(-4.245869835683109),np.float64(6.836617901961092)
46,np.float64(45.547496280989364),np.float64(14.173108780270924),np.float64(-4.245869835683178),np.float64(6.886676507151027)
47,np.float64(45.54749628098941),np.float64(14.173108780270958),np.float64(-4.245869835683186),np.float64(6.827070080247759)
