N,M,decomposition,block_id,block_size,closure_residual,edges
3,3,round_robin_matching,0,1,1.0,2-3
3,3,round_robin_matching,1,1,1.0,1-3
3,3,round_robin_matching,2,1,1.0,1-2
3,3,walecki_hamilton_cycle,0,3,5.346038374275909e-14,"1-3,1-2,2-3"
4,6,round_robin_matching,0,2,0.9999999999999999,"1-4,2-3"
4,6,round_robin_matching,1,2,1.0000000000000002,"1-3,2-4"
4,6,round_robin_matching,2,2,1.0000000000000002,"1-2,3-4"
5,10,round_robin_matching,0,2,1.0,"2-5,3-4"
5,10,round_robin_matching,1,2,1.0,"1-5,2-3"
5,10,round_robin_matching,2,2,0.08658395947735205,"1-4,3-5"
5,10,round_robin_matching,3,2,0.996244556157394,"1-3,2-4"
5,10,round_robin_matching,4,2,1.0000000000000002,"1-2,4-5"
5,10,walecki_hamilton_cycle,0,5,0.21724850436547935,"1-5,1-4,2-4,2-3,3-5"
5,10,walecki_hamilton_cycle,1,5,0.21724850440971705,"2-5,1-2,1-3,3-4,4-5"
6,15,round_robin_matching,0,3,0.35273453911834984,"1-6,2-5,3-4"
6,15,round_robin_matching,1,3,0.5314223038067803,"1-5,4-6,2-3"
6,15,round_robin_matching,2,3,0.3527345486522706,"1-4,3-5,2-6"
6,15,round_robin_matching,3,3,0.9955359842422955,"1-3,2-4,5-6"
6,15,round_robin_matching,4,3,0.9819841985022326,"1-2,3-6,4-5"
7,21,round_robin_matching,0,3,0.4028285963239209,"2-7,3-6,4-5"
7,21,round_robin_matching,1,3,0.9946699840864345,"1-7,2-5,3-4"
7,21,round_robin_matching,2,3,0.1546655755916062,"1-6,5-7,2-3"
7,21,round_robin_matching,3,3,0.9930259644882748,"1-5,4-6,3-7"
7,21,round_robin_matching,4,3,0.1444572735718348,"1-4,3-5,2-6"
7,21,round_robin_matching,5,3,0.47027929053137085,"1-3,2-4,6-7"
7,21,round_robin_matching,6,3,0.5256053903890411,"1-2,4-7,5-6"
7,21,walecki_hamilton_cycle,0,7,0.5383632879079443,"1-7,1-6,2-6,2-5,3-5,3-4,4-7"
7,21,walecki_hamilton_cycle,1,7,0.5324475189662871,"2-7,1-2,1-3,3-6,4-6,4-5,5-7"
7,21,walecki_hamilton_cycle,2,7,0.5669031217885546,"3-7,2-3,2-4,1-4,1-5,5-6,6-7"
8,28,round_robin_matching,0,4,0.9744928009163505,"1-8,2-7,3-6,4-5"
8,28,round_robin_matching,1,4,0.10994513391569824,"1-7,6-8,2-5,3-4"
8,28,round_robin_matching,2,4,0.5785598928024204,"1-6,5-7,4-8,2-3"
8,28,round_robin_matching,3,4,0.6126717842552458,"1-5,4-6,3-7,2-8"
8,28,round_robin_matching,4,4,0.30943229745630096,"1-4,3-5,2-6,7-8"
8,28,round_robin_matching,5,4,0.9912506665406666,"1-3,2-4,5-8,6-7"
8,28,round_robin_matching,6,4,0.1391450078031879,"1-2,3-8,4-7,5-6"
9,36,round_robin_matching,0,4,0.4922446324093609,"2-9,3-8,4-7,5-6"
9,36,round_robin_matching,1,4,0.7840744910818453,"1-9,2-7,3-6,4-5"
9,36,round_robin_matching,2,4,0.4701102656087138,"1-8,7-9,2-5,3-4"
9,36,round_robin_matching,3,4,0.19195947238390473,"1-7,6-8,5-9,2-3"
9,36,round_robin_matching,4,4,0.2008902661686779,"1-6,5-7,4-8,3-9"
9,36,round_robin_matching,5,4,0.724271316503707,"1-5,4-6,3-7,2-8"
9,36,round_robin_matching,6,4,0.46394426912682096,"1-4,3-5,2-6,8-9"
9,36,round_robin_matching,7,4,0.521465845633146,"1-3,2-4,6-9,7-8"
9,36,round_robin_matching,8,4,0.742292298173543,"1-2,4-9,5-8,6-7"
9,36,walecki_hamilton_cycle,0,9,0.5925426684808515,"1-9,1-8,2-8,2-7,3-7,3-6,4-6,4-5,5-9"
9,36,walecki_hamilton_cycle,1,9,0.2688948968231017,"2-9,1-2,1-3,3-8,4-8,4-7,5-7,5-6,6-9"
9,36,walecki_hamilton_cycle,2,9,0.35510705778415436,"3-9,2-3,2-4,1-4,1-5,5-8,6-8,6-7,7-9"
9,36,walecki_hamilton_cycle,3,9,0.30714422191916163,"4-9,3-4,3-5,2-5,2-6,1-6,1-7,7-8,8-9"
10,45,round_robin_matching,0,5,0.35809679044847564,"1-10,2-9,3-8,4-7,5-6"
10,45,round_robin_matching,1,5,0.4635702846347014,"1-9,8-10,2-7,3-6,4-5"
10,45,round_robin_matching,2,5,0.5545937681940922,"1-8,7-9,6-10,2-5,3-4"
10,45,round_robin_matching,3,5,0.7540922242353923,"1-7,6-8,5-9,4-10,2-3"
10,45,round_robin_matching,4,5,0.9198783721856565,"1-6,5-7,4-8,3-9,2-10"
10,45,round_robin_matching,5,5,0.2545410576960385,"1-5,4-6,3-7,2-8,9-10"
10,45,round_robin_matching,6,5,0.3920749675025167,"1-4,3-5,2-6,7-10,8-9"
10,45,round_robin_matching,7,5,0.24049341819998032,"1-3,2-4,5-10,6-9,7-8"
10,45,round_robin_matching,8,5,0.2359488768603142,"1-2,3-10,4-9,5-8,6-7"
11,55,round_robin_matching,0,5,0.20593853053494657,"2-11,3-10,4-9,5-8,6-7"
11,55,round_robin_matching,1,5,0.34834140790114515,"1-11,2-9,3-8,4-7,5-6"
11,55,round_robin_matching,2,5,0.2502767753329695,"1-10,9-11,2-7,3-6,4-5"
11,55,round_robin_matching,3,5,0.2657193388419734,"1-9,8-10,7-11,2-5,3-4"
11,55,round_robin_matching,4,5,0.2438396496691327,"1-8,7-9,6-10,5-11,2-3"
11,55,round_robin_matching,5,5,0.30746393668918903,"1-7,6-8,5-9,4-10,3-11"
11,55,round_robin_matching,6,5,0.6588797046087519,"1-6,5-7,4-8,3-9,2-10"
11,55,round_robin_matching,7,5,0.3765422938116093,"1-5,4-6,3-7,2-8,10-11"
11,55,round_robin_matching,8,5,0.24733671766306906,"1-4,3-5,2-6,8-11,9-10"
11,55,round_robin_matching,9,5,0.5616945305159955,"1-3,2-4,6-11,7-10,8-9"
11,55,round_robin_matching,10,5,0.29274232897436575,"1-2,4-11,5-10,6-9,7-8"
11,55,walecki_hamilton_cycle,0,11,0.3317863763285833,"1-11,1-10,2-10,2-9,3-9,3-8,4-8,4-7,5-7,5-6,6-11"
11,55,walecki_hamilton_cycle,1,11,0.09005843802993926,"2-11,1-2,1-3,3-10,4-10,4-9,5-9,5-8,6-8,6-7,7-11"
11,55,walecki_hamilton_cycle,2,11,0.0509122614200026,"3-11,2-3,2-4,1-4,1-5,5-10,6-10,6-9,7-9,7-8,8-11"
11,55,walecki_hamilton_cycle,3,11,0.2737851427722304,"4-11,3-4,3-5,2-5,2-6,1-6,1-7,7-10,8-10,8-9,9-11"
11,55,walecki_hamilton_cycle,4,11,0.1892584251361921,"5-11,4-5,4-6,3-6,3-7,2-7,2-8,1-8,1-9,9-10,10-11"
12,66,round_robin_matching,0,6,0.10109731525101495,"1-12,2-11,3-10,4-9,5-8,6-7"
12,66,round_robin_matching,1,6,0.5006465286028706,"1-11,10-12,2-9,3-8,4-7,5-6"
12,66,round_robin_matching,2,6,0.2734982290931883,"1-10,9-11,8-12,2-7,3-6,4-5"
12,66,round_robin_matching,3,6,0.07755179258419041,"1-9,8-10,7-11,6-12,2-5,3-4"
12,66,round_robin_matching,4,6,0.2629776600983268,"1-8,7-9,6-10,5-11,4-12,2-3"
12,66,round_robin_matching,5,6,0.574160445613296,"1-7,6-8,5-9,4-10,3-11,2-12"
12,66,round_robin_matching,6,6,0.1882974182878644,"1-6,5-7,4-8,3-9,2-10,11-12"
12,66,round_robin_matching,7,6,0.5675736504373836,"1-5,4-6,3-7,2-8,9-12,10-11"
12,66,round_robin_matching,8,6,0.24411267912741658,"1-4,3-5,2-6,7-12,8-11,9-10"
12,66,round_robin_matching,9,6,0.25326212983964586,"1-3,2-4,5-12,6-11,7-10,8-9"
12,66,round_robin_matching,10,6,0.35072304338383997,"1-2,3-12,4-11,5-10,6-9,7-8"
13,78,round_robin_matching,0,6,0.9930361066194986,"2-13,3-12,4-11,5-10,6-9,7-8"
13,78,round_robin_matching,1,6,0.07997331261213157,"1-13,2-11,3-10,4-9,5-8,6-7"
13,78,round_robin_matching,2,6,0.5212120889662487,"1-12,11-13,2-9,3-8,4-7,5-6"
13,78,round_robin_matching,3,6,0.407329596847776,"1-11,10-12,9-13,2-7,3-6,4-5"
13,78,round_robin_matching,4,6,0.8086639378090333,"1-10,9-11,8-12,7-13,2-5,3-4"
13,78,round_robin_matching,5,6,0.37233805318904395,"1-9,8-10,7-11,6-12,5-13,2-3"
