N,M,total_closure_residual,best_pair_residual,pair_hits_lt1e-6,pair_exact_cover_count_capped100,best_triple_residual,triple_hits_lt1e-6,triple_exact_cover_count_capped100,roundrobin_min,roundrobin_mean,roundrobin_max,hamilton_min,hamilton_mean,hamilton_max
3,3,5.346038374275909e-14,0.46328563737091627,0,0,5.346038374275909e-14,1,1,1.0,1.0,1.0,5.346038374275909e-14,5.346038374275909e-14,5.346038374275909e-14
4,6,1.6545006431568726e-14,0.49998429809381817,0,0,1.0654689665355145e-14,8,4,0.9999999999999999,1.0,1.0000000000000002,,,
5,10,2.683486577255867e-15,1.879825521094725e-10,13,12,0.33333333207545784,0,0,0.08658395947735205,0.8165657031269491,1.0000000000000002,0.21724850436547935,0.21724850438759818,0.21724850440971705
6,15,7.191733892303982e-14,0.06101426207246768,0,0,0.04067618881703801,0,0,0.35273453911834984,0.6428823148643857,0.9955359842422955,,,
7,21,1.0172862537425292e-13,0.20291662675831845,0,0,6.5144817383637774e-06,0,0,0.1444572735718348,0.5265045821403548,0.9946699840864345,0.5324475189662871,0.5459046428875953,0.5669031217885546
8,28,5.643949578388624e-15,0.001592501950399425,0,0,0.002284289616995813,0,0,0.10994513391569824,0.530785369098553,0.9912506665406666,,,
9,36,5.662125706552126e-15,0.0016567100038429293,0,0,0.005034938259218999,0,0,0.19195947238390473,0.5101392063433021,0.7840744910818453,0.2688948968231017,0.3809222112518173,0.5925426684808515
10,45,6.133312731841076e-14,0.001988566329826462,0,0,0.009853019262672888,0,0,0.2359488768603142,0.4636988622174631,0.9198783721856565,,,
11,55,7.055927153092373e-14,0.0013380677397409704,0,0,0.0013996453814294173,0,0,0.20593853053494657,0.34170683768574067,0.6588797046087519,0.0509122614200026,0.18716012873738955,0.3317863763285833
12,66,1.2378880453961823e-13,0.0001094920912709846,0,0,0.011259568001417,0,0,0.07755179258419041,0.3085364447562762,0.574160445613296,,,
13,78,1.641152107097458e-14,0.00016548329840120792,0,0,0.010357863968252425,0,0,0.05770650550391505,0.40182508445251486,0.9930361066194986,0.06470561240603238,0.2601228875288953,0.5196838440512674
14,91,3.5554078599297145e-14,0.00037254864422722094,0,0,0.006073952885767382,0,0,0.151768972466883,0.36402484712985955,0.6645013060209745,,,
15,105,2.1589571802502545e-14,0.0001675732271243835,0,0,0.002208680703940522,0,0,0.10294873910632654,0.4017594413510789,0.6975863872503305,0.038100723245314716,0.11294041198817804,0.2617445432243425
16,120,5.034458921836294e-14,0.00033019949863795464,0,0,0.00212034079760825,0,0,0.015098596316429545,0.3545983616631466,0.656881828469534,,,
