N,M,subset_size,cover_id,block_count,max_block_residual,mean_block_residual,blocks
3,3,3,0,1,5.346038374275909e-14,5.346038374275909e-14,1-2+1-3+2-3
4,6,3,0,2,2.400350256755773e-14,1.7329096116456436e-14,1-2+2-3+2-4 | 1-3+1-4+3-4
4,6,3,1,2,2.2035064777680722e-14,1.6592675908954442e-14,1-2+1-4+2-4 | 1-3+2-3+3-4
4,6,3,2,2,1.7503428642480834e-14,1.7503365202166914e-14,1-2+1-3+2-3 | 1-4+2-4+3-4
4,6,3,3,2,1.8201855206031278e-14,1.667436713484518e-14,1-2+1-3+1-4 | 2-3+2-4+3-4
5,10,2,0,5,1.2332429078455712e-08,6.278261232360013e-09,1-2+1-5 | 2-4+4-5 | 1-3+1-4 | 2-3+2-5 | 3-4+3-5
5,10,2,1,5,1.7001632281828327e-08,8.143678846658377e-09,1-2+1-5 | 2-4+4-5 | 1-3+1-4 | 2-3+3-4 | 2-5+3-5
5,10,2,2,5,8.058788074273427e-09,4.565101568695881e-09,1-2+1-5 | 2-4+4-5 | 1-3+2-3 | 1-4+2-5 | 3-4+3-5
5,10,2,3,5,1.2716240323428182e-08,6.327091261055658e-09,1-2+1-5 | 2-4+4-5 | 1-3+2-3 | 1-4+3-4 | 2-5+3-5
5,10,2,4,5,1.7006725624446512e-08,8.143344444034367e-09,1-2+1-5 | 2-4+4-5 | 1-3+3-5 | 1-4+2-5 | 2-3+3-4
5,10,2,5,5,1.7006725624446512e-08,8.039916522095782e-09,1-2+1-5 | 2-4+4-5 | 1-3+3-5 | 1-4+3-4 | 2-3+2-5
5,10,2,6,5,1.344746266862433e-08,1.0316624623277061e-08,1-2+2-4 | 1-5+4-5 | 1-3+1-4 | 2-3+2-5 | 3-4+3-5
5,10,2,7,5,1.7001632281828327e-08,1.2182042237575425e-08,1-2+2-4 | 1-5+4-5 | 1-3+1-4 | 2-3+3-4 | 2-5+3-5
5,10,2,8,5,1.344746266862433e-08,8.603464959612928e-09,1-2+2-4 | 1-5+4-5 | 1-3+2-3 | 1-4+2-5 | 3-4+3-5
5,10,2,9,5,1.344746266862433e-08,1.0365454651972706e-08,1-2+2-4 | 1-5+4-5 | 1-3+2-3 | 1-4+3-4 | 2-5+3-5
5,10,2,10,5,1.7006725624446512e-08,1.2181707834951414e-08,1-2+2-4 | 1-5+4-5 | 1-3+3-5 | 1-4+2-5 | 2-3+3-4
5,10,2,11,5,1.7006725624446512e-08,1.2078279913012829e-08,1-2+2-4 | 1-5+4-5 | 1-3+3-5 | 1-4+3-4 | 2-3+2-5
