stage,particle,p_mean,p_std,E_mean,E_std,R_mean,R_std,t_mean,t_std,gauge_count
initial,A,0.999999999999998,7.685538434122802e-15,0.999999999999998,7.685538434122802e-15,0.9999999999999999,2.220446049250313e-16,-0.2,0.0002500000000000002,8
pre_collision,A,0.999999999999998,7.685538434122802e-15,0.999999999999998,7.685538434122802e-15,0.9999999999999999,2.220446049250313e-16,-0.015999999999999848,0.0002500000000000002,8
collision_cell,A,0.999999999999998,7.685538434122802e-15,0.999999999999998,7.685538434122802e-15,0.9999999999999999,2.220446049250313e-16,-0.014999999999999847,0.0002500000000000002,8
collision_map,A,-0.9999999999999977,8.64005702460376e-15,0.999999999999998,7.685538434122802e-15,0.9999999999999999,2.220446049250313e-16,-0.014999999999999847,0.0002500000000000002,8
post_collision,A,-0.9999999999999977,8.64005702460376e-15,0.999999999999998,7.685538434122802e-15,0.9999999999999999,2.220446049250313e-16,-0.013999999999999846,0.0002500000000000002,8
final,A,-0.9999999999999977,8.64005702460376e-15,0.999999999999998,7.685538434122802e-15,0.9999999999999999,2.220446049250313e-16,0.20000000000000032,0.0002500000000000002,8
initial,B,-0.9999999999999977,8.64005702460376e-15,0.999999999999998,7.685538434122802e-15,0.9999999999999999,2.220446049250313e-16,-0.2,0.0002500000000000002,8
pre_collision,B,-0.9999999999999977,8.64005702460376e-15,0.999999999999998,7.685538434122802e-15,0.9999999999999999,2.220446049250313e-16,-0.015999999999999848,0.0002500000000000002,8
collision_cell,B,-0.9999999999999977,8.64005702460376e-15,0.999999999999998,7.685538434122802e-15,0.9999999999999999,2.220446049250313e-16,-0.014999999999999847,0.0002500000000000002,8
collision_map,B,0.999999999999998,7.685538434122802e-15,0.999999999999998,7.685538434122802e-15,0.9999999999999999,2.220446049250313e-16,-0.014999999999999847,0.0002500000000000002,8
post_collision,B,0.999999999999998,7.685538434122802e-15,0.999999999999998,7.685538434122802e-15,0.9999999999999999,2.220446049250313e-16,-0.013999999999999846,0.0002500000000000002,8
final,B,0.999999999999998,7.685538434122802e-15,0.999999999999998,7.685538434122802e-15,0.9999999999999999,2.220446049250313e-16,0.20000000000000032,0.0002500000000000002,8
