step,time,seed,epsilon,baseline_norm,perturbed_norm,total_difference,transverse_difference,normalized_transverse_amplification,local_transverse_growth_rate,renormalization_factor,active_subspace_dimension,projection_closure_error,norm_error,conservation_error
5011,5011,0,1e-08,1.0000000000e+00,1.0000000000e+00,9.9999998813e-09,9.9999997632e-09,9.9999997632e-01,nan,nan,4,0.0000000000e+00,1.1102230246e-16,0.0000000000e+00
5061,5061,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.7536814715e-08,1.7527135030e-08,1.7527135030e+00,nan,nan,4,0.0000000000e+00,1.1102230246e-16,0.0000000000e+00
5111,5111,0,1e-08,1.0000000000e+00,1.0000000000e+00,2.9766625957e-08,2.9745122849e-08,2.9745122849e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5161,5161,0,1e-08,1.0000000000e+00,1.0000000000e+00,4.2326249271e-08,4.2312638867e-08,4.2312638867e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5211,5211,0,1e-08,1.0000000000e+00,1.0000000000e+00,5.4561864406e-08,5.4531435491e-08,5.4531435491e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5261,5261,0,1e-08,1.0000000000e+00,1.0000000000e+00,6.6539448527e-08,6.6507193273e-08,6.6507193273e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5311,5311,0,1e-08,1.0000000000e+00,1.0000000000e+00,7.8152910965e-08,7.8111990548e-08,7.8111990548e+00,nan,nan,4,0.0000000000e+00,1.1102230246e-16,0.0000000000e+00
5361,5361,0,1e-08,1.0000000000e+00,1.0000000000e+00,8.9343748249e-08,8.9279924936e-08,8.9279924936e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5411,5411,0,1e-08,1.0000000000e+00,1.0000000000e+00,9.9938458575e-08,9.9875387735e-08,9.9875387735e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5461,5461,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.0988486443e-07,1.0979365464e-07,1.0979365464e+01,nan,nan,4,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5511,5511,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.1910713888e-07,1.1900945293e-07,1.1900945293e+01,4.9532356667e-03,1.1900945293e+01,4,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5511,5511,0,1e-08,1.0000000000e+00,1.0000000000e+00,9.9999999998e-09,9.9999999995e-09,9.9999999995e-01,nan,nan,4,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5561,5561,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.0728777745e-08,1.0718585683e-08,1.0718585683e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00
5611,5611,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.1416817392e-08,1.1401382195e-08,1.1401382195e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00
5661,5661,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.2066904095e-08,1.2027121205e-08,1.2027121205e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00
5711,5711,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.2663410315e-08,1.2614908950e-08,1.2614908950e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5761,5761,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.3207706040e-08,1.3147595628e-08,1.3147595628e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5811,5811,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.3700381082e-08,1.3615998207e-08,1.3615998207e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5861,5861,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.4161332838e-08,1.4071453075e-08,1.4071453075e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00
