step,time,crossing_flag,splitting_fraction,direction_1_occupation,direction_2_occupation,direction_3_occupation,direction_4_occupation,other_rotating_occupation,kernel_occupation,occupation_sum,plane_1_occupation,plane_2_occupation,norm_error,conservation_error,projection_closure_error
0,0,0,4.4408920985e-16,5.0000000000e-01,5.0000000000e-01,1.2868973610e-31,7.4645019752e-32,7.5947141175e-30,4.4408920985e-16,1.0000000000e+00,1.0000000000e+00,2.0333475586e-31,4.4408920985e-16,4.4408920985e-16,0.0000000000e+00
25,25,0,2.2204460493e-16,5.0000000000e-01,5.0000000000e-01,1.8750131715e-30,1.7561097550e-30,7.6782118943e-30,2.2204460493e-16,1.0000000000e+00,1.0000000000e+00,3.6311229265e-30,4.4408920985e-16,4.4408920985e-16,0.0000000000e+00
50,50,0,-2.2204460493e-16,5.0000000000e-01,5.0000000000e-01,3.1719223590e-30,7.8294312812e-30,7.5136873389e-30,-2.2204460493e-16,1.0000000000e+00,1.0000000000e+00,1.1001353640e-29,6.6613381478e-16,6.6613381478e-16,0.0000000000e+00
75,75,0,4.4408920985e-16,5.0000000000e-01,5.0000000000e-01,1.1203221755e-29,1.8949412473e-29,6.7680432484e-30,4.4408920985e-16,1.0000000000e+00,1.0000000000e+00,3.0152634228e-29,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00
100,100,0,-1.5543122345e-15,5.0000000000e-01,5.0000000000e-01,3.2546298829e-29,5.3872522417e-29,7.4083803484e-30,-1.5543122345e-15,1.0000000000e+00,1.0000000000e+00,8.6418821246e-29,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00
125,125,0,2.2204460493e-16,5.0000000000e-01,5.0000000000e-01,7.3906129958e-29,1.7080476842e-28,1.0218172218e-29,2.2204460492e-16,1.0000000000e+00,1.0000000000e+00,2.4471089838e-28,4.4408920985e-16,4.4408920985e-16,0.0000000000e+00
150,150,0,2.2204460493e-16,5.0000000000e-01,5.0000000000e-01,1.7408168105e-28,4.6437948584e-28,1.9123461856e-29,2.2204460492e-16,1.0000000000e+00,1.0000000000e+00,6.3846116689e-28,4.4408920985e-16,4.4408920985e-16,0.0000000000e+00
175,175,0,-1.1102230246e-15,5.0000000000e-01,5.0000000000e-01,4.5546725612e-28,1.1510577331e-27,2.4586316945e-29,-1.1102230246e-15,1.0000000000e+00,1.0000000000e+00,1.6065249892e-27,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00
200,200,0,9.9920072216e-16,5.0000000000e-01,5.0000000000e-01,1.1890210162e-27,2.8203405389e-27,3.2449611821e-29,9.9920072216e-16,1.0000000000e+00,1.0000000000e+00,4.0093615551e-27,4.4408920985e-16,4.4408920985e-16,0.0000000000e+00
225,225,0,-4.4408920985e-16,5.0000000000e-01,5.0000000000e-01,2.9772020575e-27,7.0495968786e-27,5.0394691947e-29,-4.4408920986e-16,1.0000000000e+00,1.0000000000e+00,1.0026798936e-26,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00
250,250,0,0.0000000000e+00,5.0000000000e-01,5.0000000000e-01,7.2782134951e-27,1.7543053803e-26,1.2156958286e-28,-2.4942836881e-26,1.0000000000e+00,1.0000000000e+00,2.4821267298e-26,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00
275,275,0,1.3322676296e-15,5.0000000000e-01,5.0000000000e-01,1.7826614821e-26,4.2962892283e-26,2.7437303232e-28,1.3322676295e-15,1.0000000000e+00,1.0000000000e+00,6.0789507103e-26,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00
300,300,0,-4.4408920985e-16,5.0000000000e-01,5.0000000000e-01,4.3826013488e-26,1.0417031427e-25,5.5843448423e-28,-4.4408921000e-16,1.0000000000e+00,1.0000000000e+00,1.4799632776e-25,4.4408920985e-16,4.4408920985e-16,0.0000000000e+00
325,325,0,5.5511151231e-16,5.0000000000e-01,5.0000000000e-01,1.0725583460e-25,2.5249773116e-25,1.1949526826e-27,5.5511151195e-16,1.0000000000e+00,1.0000000000e+00,3.5975356577e-25,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00
350,350,0,-8.8817841970e-16,5.0000000000e-01,5.0000000000e-01,2.6095913344e-25,6.1308025592e-25,2.8272036061e-27,-8.8817842058e-16,1.0000000000e+00,1.0000000000e+00,8.7403938936e-25,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00
375,375,0,0.0000000000e+00,5.0000000000e-01,5.0000000000e-01,6.3356815581e-25,1.4877740778e-24,7.0246981343e-27,-2.1283669317e-24,1.0000000000e+00,1.0000000000e+00,2.1213422336e-24,4.4408920985e-16,4.4408920985e-16,0.0000000000e+00
400,400,0,4.4408920985e-16,5.0000000000e-01,5.0000000000e-01,1.5389473361e-24,3.6053972946e-24,1.7167740931e-26,4.4408920469e-16,1.0000000000e+00,1.0000000000e+00,5.1443446307e-24,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
425,425,0,-1.5543122345e-15,5.0000000000e-01,5.0000000000e-01,3.7394563839e-24,8.7341935349e-24,4.1531056398e-26,-1.5543122470e-15,1.0000000000e+00,1.0000000000e+00,1.2473649919e-23,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
450,450,0,1.5543122345e-15,5.0000000000e-01,5.0000000000e-01,9.0851979136e-24,2.1171637276e-23,1.0059556216e-25,1.5543122041e-15,1.0000000000e+00,1.0000000000e+00,3.0256835190e-23,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
475,475,0,-4.4408920985e-16,5.0000000000e-01,5.0000000000e-01,2.2070450986e-23,5.1351986398e-23,2.4655034493e-25,-4.4408928352e-16,1.0000000000e+00,1.0000000000e+00,7.3422437384e-23,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
500,500,0,-8.8817841970e-16,5.0000000000e-01,5.0000000000e-01,5.3630299334e-23,1.2459935312e-22,6.0691381644e-25,-8.8817859854e-16,1.0000000000e+00,1.0000000000e+00,1.7822965245e-22,4.4408920985e-16,4.4408920985e-16,0.0000000000e+00
525,525,0,1.2212453271e-15,5.0000000000e-01,5.0000000000e-01,1.3038719084e-22,3.0241049540e-22,1.4887417903e-24,1.2212448928e-15,1.0000000000e+00,1.0000000000e+00,4.3279768623e-22,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00
