t,H,Q2_re,Q2_im,generator_norm,antisym_residual
0,np.float64(115.02943725152286),np.float64(-20.901383498964652),np.float64(16.966398875129215),np.float64(18.490314669954564),np.float64(4.440892098500626e-16)
1,np.float64(115.02943725152276),np.float64(-20.901383498964595),np.float64(16.966398875129187),np.float64(21.99173450899781),np.float64(4.440892098500626e-16)
2,np.float64(115.02943725152298),np.float64(-20.901383498964762),np.float64(16.9663988751292),np.float64(27.081826033113998),np.float64(8.881784197001252e-16)
3,np.float64(115.02943725152305),np.float64(-20.901383498964986),np.float64(16.96639887512906),np.float64(40.34583451106012),np.float64(1.7763568394002505e-15)
4,np.float64(115.02943725152312),np.float64(-20.901383498965004),np.float64(16.96639887512905),np.float64(45.95893938190396),np.float64(1.7763568394002505e-15)
5,np.float64(115.02943725152275),np.float64(-20.901383498964552),np.float64(16.96639887512961),np.float64(49.24680706740966),np.float64(3.552713678800501e-15)
6,np.float64(115.0294372515228),np.float64(-20.901383498964694),np.float64(16.966398875129617),np.float64(50.62021402136775),np.float64(1.7763568394002505e-15)
7,np.float64(115.02943725152284),np.float64(-20.901383498964705),np.float64(16.966398875129613),np.float64(51.80866426589511),np.float64(3.552713678800501e-15)
8,np.float64(115.029437251523),np.float64(-20.901383498964993),np.float64(16.96639887512947),np.float64(53.17622547614695),np.float64(3.552713678800501e-15)
9,np.float64(115.02943725152294),np.float64(-20.901383498964954),np.float64(16.966398875129496),np.float64(53.5527568751617),np.float64(3.552713678800501e-15)
10,np.float64(115.02943725152309),np.float64(-20.901383498964954),np.float64(16.966398875129517),np.float64(53.840278123189016),np.float64(3.552713678800501e-15)
11,np.float64(115.02943725152298),np.float64(-20.901383498965),np.float64(16.966398875129332),np.float64(54.061546717238016),np.float64(3.552713678800501e-15)
12,np.float64(115.02943725152306),np.float64(-20.901383498964968),np.float64(16.96639887512933),np.float64(54.23081560450379),np.float64(3.552713678800501e-15)
13,np.float64(115.029437251523),np.float64(-20.90138349896493),np.float64(16.96639887512926),np.float64(54.38065582359181),np.float64(8.881784197001252e-16)
14,np.float64(115.02943725152302),np.float64(-20.901383498965117),np.float64(16.96639887512906),np.float64(54.52035635795194),np.float64(3.552713678800501e-15)
15,np.float64(115.02943725152295),np.float64(-20.901383498965),np.float64(16.966398875129016),np.float64(54.63701359313489),np.float64(3.552713678800501e-15)
16,np.float64(115.0294372515229),np.float64(-20.901383498965046),np.float64(16.966398875128988),np.float64(54.73327247600517),np.float64(3.552713678800501e-15)
17,np.float64(115.02943725152306),np.float64(-20.901383498965178),np.float64(16.96639887512884),np.float64(54.805359265846214),np.float64(8.881784197001252e-16)
18,np.float64(115.02943725152294),np.float64(-20.901383498965078),np.float64(16.96639887512883),np.float64(54.84556604573421),np.float64(3.552713678800501e-15)
19,np.float64(115.02943725152289),np.float64(-20.901383498965064),np.float64(16.966398875128732),np.float64(54.86800852138595),np.float64(8.881784197001252e-16)
20,np.float64(115.02943725152272),np.float64(-20.90138349896513),np.float64(16.966398875128675),np.float64(54.88925003913555),np.float64(8.881784197001252e-16)
21,np.float64(115.02943725152261),np.float64(-20.90138349896501),np.float64(16.966398875128718),np.float64(54.91051637493952),np.float64(3.552713678800501e-15)
22,np.float64(115.02943725152275),np.float64(-20.901383498964925),np.float64(16.966398875128828),np.float64(54.92791952090726),np.float64(8.881784197001252e-16)
23,np.float64(115.02943725152295),np.float64(-20.901383498964822),np.float64(16.966398875128924),np.float64(54.942951937761165),np.float64(8.881784197001252e-16)
24,np.float64(115.029437251523),np.float64(-20.901383498964897),np.float64(16.96639887512884),np.float64(54.95919971389336),np.float64(3.552713678800501e-15)
25,np.float64(115.02943725152286),np.float64(-20.90138349896484),np.float64(16.966398875128927),np.float64(54.973053055984266),np.float64(3.552713678800501e-15)
26,np.float64(115.02943725152282),np.float64(-20.9013834989647),np.float64(16.96639887512915),np.float64(54.982890209809874),np.float64(1.3322676295501878e-15)
27,np.float64(115.02943725152295),np.float64(-20.901383498964606),np.float64(16.966398875129133),np.float64(54.99172721133413),np.float64(3.552713678800501e-15)
28,np.float64(115.02943725152315),np.float64(-20.901383498964506),np.float64(16.966398875129276),np.float64(55.00309307231087),np.float64(4.440892098500626e-16)
29,np.float64(115.02943725152323),np.float64(-20.90138349896457),np.float64(16.966398875129155),np.float64(55.017504432208334),np.float64(3.552713678800501e-15)
30,np.float64(115.0294372515232),np.float64(-20.901383498964684),np.float64(16.966398875129116),np.float64(55.02973566744783),np.float64(3.552713678800501e-15)
31,np.float64(115.02943725152319),np.float64(-20.901383498964616),np.float64(16.966398875129244),np.float64(55.03615349600381),np.float64(3.552713678800501e-15)
32,np.float64(115.02943725152312),np.float64(-20.901383498964446),np.float64(16.9663988751293),np.float64(55.04221877839274),np.float64(3.552713678800501e-15)
33,np.float64(115.02943725152326),np.float64(-20.901383498964442),np.float64(16.966398875129407),np.float64(55.05142877469258),np.float64(3.552713678800501e-15)
34,np.float64(115.02943725152346),np.float64(-20.90138349896482),np.float64(16.96639887512924),np.float64(55.06161701129978),np.float64(8.881784197001252e-16)
35,np.float64(115.02943725152355),np.float64(-20.901383498964677),np.float64(16.9663988751295),np.float64(55.06906066686674),np.float64(4.440892098500626e-16)
36,np.float64(115.02943725152329),np.float64(-20.901383498964627),np.float64(16.966398875129517),np.float64(55.07320043051483),np.float64(3.552713678800501e-15)
37,np.float64(115.02943725152326),np.float64(-20.901383498964726),np.float64(16.96639887512946),np.float64(55.07858423058141),np.float64(3.552713678800501e-15)
38,np.float64(115.02943725152332),np.float64(-20.901383498964634),np.float64(16.966398875129737),np.float64(55.085001979473205),np.float64(3.552713678800501e-15)
39,np.float64(115.0294372515232),np.float64(-20.901383498964652),np.float64(16.966398875129798),np.float64(55.0904760290574),np.float64(1.3322676295501878e-15)
40,np.float64(115.02943725152333),np.float64(-20.901383498964755),np.float64(16.966398875129773),np.float64(55.09416470017839),np.float64(8.881784197001252e-16)
41,np.float64(115.0294372515234),np.float64(-20.901383498964734),np.float64(16.96639887512973),np.float64(55.0980347542137),np.float64(3.552713678800501e-15)
42,np.float64(115.02943725152332),np.float64(-20.90138349896474),np.float64(16.966398875129762),np.float64(55.10285293540253),np.float64(3.552713678800501e-15)
43,np.float64(115.0294372515234),np.float64(-20.901383498964826),np.float64(16.966398875129727),np.float64(55.10680469757609),np.float64(3.552713678800501e-15)
44,np.float64(115.02943725152323),np.float64(-20.901383498964844),np.float64(16.966398875129535),np.float64(55.10939805658386),np.float64(3.552713678800501e-15)
45,np.float64(115.02943725152343),np.float64(-20.901383498964766),np.float64(16.96639887512968),np.float64(55.11241053902969),np.float64(3.552713678800501e-15)
46,np.float64(115.02943725152346),np.float64(-20.90138349896477),np.float64(16.96639887512959),np.float64(55.116886305285114),np.float64(7.771561172376096e-16)
47,np.float64(115.02943725152353),np.float64(-20.901383498964837),np.float64(16.966398875129677),np.float64(55.1209973286226),np.float64(4.440892098500626e-16)
48,np.float64(115.02943725152352),np.float64(-20.901383498964872),np.float64(16.96639887512967),np.float64(55.12333478148684),np.float64(3.552713678800501e-15)
49,np.float64(115.02943725152375),np.float64(-20.90138349896486),np.float64(16.966398875129727),np.float64(55.12534916691552),np.float64(8.881784197001252e-16)
50,np.float64(115.02943725152383),np.float64(-20.901383498964904),np.float64(16.96639887512974),np.float64(55.129286531626995),np.float64(3.552713678800501e-15)
51,np.float64(115.02943725152372),np.float64(-20.901383498964773),np.float64(16.966398875129645),np.float64(55.13386755600756),np.float64(4.440892098500626e-16)
52,np.float64(115.02943725152359),np.float64(-20.901383498964982),np.float64(16.966398875129393),np.float64(55.13685754291454),np.float64(3.552713678800501e-15)
53,np.float64(115.02943725152372),np.float64(-20.901383498964996),np.float64(16.966398875129364),np.float64(55.138403354694795),np.float64(3.552713678800501e-15)
54,np.float64(115.02943725152363),np.float64(-20.901383498964965),np.float64(16.966398875129368),np.float64(55.141324688789126),np.float64(5.551115123125783e-16)
55,np.float64(115.0294372515234),np.float64(-20.90138349896497),np.float64(16.966398875129258),np.float64(55.145654334989004),np.float64(4.440892098500626e-16)
56,np.float64(115.02943725152339),np.float64(-20.90138349896492),np.float64(16.966398875129254),np.float64(55.148998065377704),np.float64(3.552713678800501e-15)
57,np.float64(115.02943725152329),np.float64(-20.90138349896487),np.float64(16.96639887512918),np.float64(55.150519917737036),np.float64(3.552713678800501e-15)
58,np.float64(115.0294372515232),np.float64(-20.901383498964755),np.float64(16.966398875129233),np.float64(55.15254108247327),np.float64(3.552713678800501e-15)
59,np.float64(115.02943725152306),np.float64(-20.90138349896474),np.float64(16.966398875129215),np.float64(55.15620182254602),np.float64(8.881784197001252e-16)
60,np.float64(115.0294372515227),np.float64(-20.901383498964712),np.float64(16.966398875129133),np.float64(55.15947368387303),np.float64(3.552713678800501e-15)
