step,max_abs_phase_increment_over_pi,mean_abs_phase_increment_over_pi,max_rat_err_q_le_256,median_rat_err_q_le_256,smallest_global_q_tol_1e10,best_denominators,dtheta_edge_0_over_pi,dtheta_edge_1_over_pi,dtheta_edge_2_over_pi,dtheta_edge_3_over_pi,dtheta_edge_4_over_pi,dtheta_edge_5_over_pi,dtheta_edge_6_over_pi,dtheta_edge_7_over_pi,dtheta_edge_8_over_pi,dtheta_edge_9_over_pi
1,0.051860686379877285,0.05186068637987634,8.834528025435107e-06,8.834528024442845e-06,,135,0.05186068637987629,0.05186068637987629,0.05186068637987629,0.05186068637987629,0.05186068637987643,0.0518606863798753,0.051860686379877285,0.051860686379877285,0.05186068637987545,0.05186068637987643
2,0.05186068637987643,0.05186068637987632,8.834528024581623e-06,8.834528024442845e-06,,135,0.05186068637987629,0.05186068637987629,0.05186068637987629,0.05186068637987629,0.05186068637987643,0.05186068637987629,0.05186068637987643,0.05186068637987643,0.051860686379876154,0.05186068637987629
3,0.051860686379877,0.0518606863798763,8.834528025150612e-06,8.834528024442845e-06,,135,0.05186068637987629,0.05186068637987629,0.05186068637987629,0.05186068637987629,0.05186068637987629,0.051860686379876855,0.051860686379875585,0.051860686379875724,0.051860686379877,0.05186068637987629
4,0.05186068637987785,0.05186068637987632,8.834528025997157e-06,8.834528024442845e-06,,135,0.05186068637987629,0.05186068637987629,0.05186068637987629,0.05186068637987629,0.05186068637987629,0.05186068637987785,0.05186068637987488,0.05186068637987488,0.05186068637987785,0.05186068637987629
5,0.051860686379878694,0.05186068637987633,8.834528026843702e-06,8.834528024442845e-06,,135,0.05186068637987643,0.05186068637987629,0.05186068637987629,0.05186068637987629,0.05186068637987629,0.051860686379878555,0.05186068637987403,0.05186068637987417,0.051860686379878694,0.05186068637987629
6,0.0518606863798794,0.05186068637987633,8.83452802755147e-06,8.834528024442845e-06,,135,0.05186068637987643,0.05186068637987629,0.05186068637987629,0.05186068637987629,0.05186068637987629,0.0518606863798794,0.051860686379873185,0.05186068637987346,0.0518606863798794,0.05186068637987629
7,0.05186068637988025,0.051860686379876356,8.834528028398014e-06,8.834528024442845e-06,,135,0.05186068637987658,0.05186068637987629,0.05186068637987629,0.05186068637987629,0.05186068637987629,0.05186068637988011,0.05186068637987248,0.051860686379872616,0.05186068637988025,0.05186068637987629
8,0.0518606863798811,0.05186068637987632,8.834528029251498e-06,8.834528024442845e-06,,135,0.05186068637987658,0.051860686379876154,0.05186068637987629,0.05186068637987629,0.05186068637987629,0.051860686379880956,0.051860686379871485,0.05186068637987177,0.0518606863798811,0.05186068637987629
9,0.05186068637988195,0.05186068637987633,8.834528030098043e-06,8.834528024442845e-06,,135,0.05186068637987658,0.051860686379876154,0.05186068637987629,0.05186068637987629,0.05186068637987629,0.051860686379881664,0.05186068637987078,0.05186068637987106,0.05186068637988195,0.05186068637987629
10,0.051860686379882934,0.05186068637987634,8.834528031083366e-06,8.834528024442845e-06,,135,0.05186068637987658,0.051860686379876154,0.05186068637987629,0.05186068637987629,0.05186068637987629,0.051860686379882656,0.05186068637986979,0.051860686379870076,0.051860686379882934,0.05186068637987629
11,0.05186068637988379,0.05186068637987632,8.83452803193685e-06,8.834528024442845e-06,,135,0.05186068637987658,0.051860686379876154,0.05186068637987629,0.05186068637987629,0.05186068637987629,0.0518606863798835,0.0518606863798688,0.05186068637986922,0.05186068637988379,0.05186068637987629
12,0.05186068637988477,0.05186068637987631,8.834528032922173e-06,8.834528024442845e-06,,135,0.051860686379876716,0.05186068637987601,0.05186068637987629,0.05186068637987629,0.05186068637987629,0.05186068637988449,0.051860686379867814,0.05186068637986809,0.05186068637988477,0.05186068637987629
13,0.051860686379885904,0.05186068637987633,8.834528034053213e-06,8.834528024442845e-06,,135,0.05186068637987658,0.05186068637987601,0.05186068637987629,0.05186068637987629,0.05186068637987629,0.05186068637988548,0.05186068637986682,0.051860686379867245,0.051860686379885904,0.05186068637987643
14,0.051860686379887035,0.05186068637987631,8.834528035184253e-06,8.834528024442845e-06,,135,0.051860686379876716,0.05186068637987587,0.05186068637987629,0.05186068637987629,0.05186068637987629,0.05186068637988647,0.05186068637986555,0.051860686379866114,0.051860686379887035,0.05186068637987643
15,0.051860686379888166,0.0518606863798763,8.834528036315292e-06,8.834528024512234e-06,,135,0.051860686379876716,0.051860686379875724,0.05186068637987643,0.05186068637987629,0.05186068637987629,0.051860686379887604,0.05186068637986442,0.05186068637986498,0.051860686379888166,0.05186068637987643
16,0.051860686379889435,0.05186068637987633,8.83452803758511e-06,8.834528024512234e-06,,135,0.051860686379876855,0.051860686379875724,0.05186068637987643,0.05186068637987629,0.05186068637987629,0.05186068637988901,0.051860686379863144,0.05186068637986371,0.051860686379889435,0.05186068637987643
17,0.05186068637989071,0.05186068637987632,8.834528038861866e-06,8.834528024581623e-06,,135,0.051860686379876855,0.051860686379875724,0.05186068637987643,0.05186068637987643,0.05186068637987629,0.05186068637989014,0.051860686379861874,0.0518606863798623,0.05186068637989071,0.05186068637987643
18,0.05186068637989227,0.051860686379876286,8.834528040416179e-06,8.834528024512234e-06,,135,0.051860686379876855,0.051860686379875585,0.05186068637987629,0.05186068637987643,0.05186068637987629,0.05186068637989156,0.05186068637986032,0.05186068637986088,0.05186068637989227,0.05186068637987643
19,0.05186068637989396,0.05186068637987636,8.834528042109269e-06,8.834528024581623e-06,,135,0.051860686379877,0.051860686379875585,0.05186068637987643,0.05186068637987643,0.05186068637987629,0.05186068637989326,0.051860686379858766,0.05186068637985947,0.05186068637989396,0.05186068637987643
20,0.05186068637989566,0.05186068637987631,8.834528043809298e-06,8.834528024512234e-06,,135,0.051860686379877,0.05186068637987545,0.05186068637987643,0.05186068637987629,0.05186068637987629,0.05186068637989481,0.051860686379857066,0.051860686379857635,0.05186068637989566,0.05186068637987643
21,0.0518606863798975,0.05186068637987632,8.834528045648105e-06,8.834528024442845e-06,,135,0.051860686379877,0.05186068637987545,0.05186068637987629,0.05186068637987629,0.05186068637987629,0.051860686379896645,0.051860686379855234,0.05186068637985608,0.0518606863798975,0.05186068637987643
22,0.051860686379899476,0.0518606863798763,8.83452804762569e-06,8.834528024442845e-06,,135,0.051860686379877285,0.0518606863798753,0.05186068637987629,0.05186068637987629,0.05186068637987629,0.05186068637989863,0.05186068637985311,0.05186068637985396,0.051860686379899476,0.05186068637987629
23,0.05186068637990174,0.05186068637987633,8.834528049887769e-06,8.834528024442845e-06,,135,0.051860686379877285,0.0518606863798753,0.05186068637987629,0.05186068637987629,0.05186068637987629,0.051860686379900746,0.05186068637985099,0.05186068637985198,0.05186068637990174,0.05186068637987643
24,0.051860686379904,0.05186068637987631,8.834528052149848e-06,8.834528024442845e-06,,135,0.051860686379877424,0.05186068637987516,0.05186068637987629,0.05186068637987629,0.05186068637987629,0.05186068637990301,0.051860686379848586,0.05186068637984972,0.051860686379904,0.05186068637987629
25,0.051860686379906686,0.05186068637987634,8.8345280548352e-06,8.834528024442845e-06,,135,0.05186068637987756,0.05186068637987516,0.05186068637987629,0.05186068637987629,0.05186068637987629,0.051860686379905555,0.05186068637984604,0.05186068637984717,0.051860686379906686,0.05186068637987629
26,0.05186068637990951,0.05186068637987632,8.83452805765933e-06,8.834528024442845e-06,,135,0.05186068637987756,0.05186068637987502,0.05186068637987629,0.05186068637987629,0.05186068637987629,0.05186068637990824,0.051860686379843215,0.051860686379844485,0.05186068637990951,0.05186068637987629
