group,edges,count,mean_r2,mean_a2,mean_b2,mean_ab,mean_z2_re,mean_z2_im,mean_z2_phase_over_pi
A_plus,"1-2,1-3,4-5",3,0.10000100150460212,0.04987693784290931,0.050124063661692815,-0.050000190693019815,-0.00024712581878350015,-0.10000038138603963,-0.500786621311116
A_minus,"1-4,1-5,2-3",3,0.09999923715106666,0.050164012108650353,0.049835225042416297,0.04999915890300231,0.0003287870662340639,0.09999831780600461,0.4989534244294978
B_plus,"2-4,3-5",2,0.10000083668778662,0.047677341462879205,0.052323495224907424,-0.04994642219530364,-0.004646153762028218,-0.09989284439060728,-0.5147943690605772
B_minus,"2-5,3-4",2,0.09999880532871341,0.052261233609781826,0.04773757171893159,0.04994796988032941,0.0045236618908502425,0.09989593976065882,0.4855955780747225
