step,H_total,abs_ZtZ,phase_pair_max_rat_err_q_le_256,phase_pair_median_rat_err_q_le_256,phase_pair_frac_err_lt_1e10,phase_pair_smallest_global_q_tol_1e10
0,1.0,1.0796189313543554e-15,1.840480975673555e-13,8.876233081878127e-14,1.0,2.0
1,1.0000000000000002,1.0241247841758408e-15,1.82069085765556e-13,8.765210779415611e-14,1.0,2.0
2,1.0000000000000002,9.910525108980593e-16,1.8178636979387033e-13,8.765210779415611e-14,1.0,2.0
3,1.0000000000000002,9.906072393248138e-16,1.8319994965229858e-13,8.820721930646869e-14,1.0,2.0
4,1.0,9.42725736113227e-16,1.8602710936915502e-13,8.953948693601887e-14,1.0,2.0
5,1.0000000000000002,9.192920085319403e-16,1.9083328088781102e-13,9.159339953157541e-14,1.0,2.0
6,1.0,9.45653059500457e-16,1.9705303226489521e-13,9.459100169806334e-14,1.0,2.0
7,1.0,9.926354351494972e-16,2.049690794720933e-13,9.836575998178887e-14,1.0,2.0
8,1.0000000000000002,1.1269533208477956e-15,2.1458142250940527e-13,1.0291767438275201e-13,1.0,2.0
9,1.0000000000000002,1.074837138093835e-15,2.258900613768311e-13,1.0830225605218402e-13,1.0,2.0
10,1.0000000000000002,1.0859170550470828e-15,2.388949960743708e-13,1.1463052729254741e-13,1.0,2.0
11,1.0000000000000004,1.0506319077441632e-15,2.5387894257371006e-13,1.2173595465014841e-13,1.0,2.0
12,1.0000000000000002,1.0420387180753783e-15,2.709832588606916e-13,1.2989609388114332e-13,1.0,2.0
13,1.0000000000000002,1.1028332352769703e-15,2.900665869494727e-13,1.390255790764164e-13,1.0,2.0
14,1.0,1.0712585187150882e-15,3.11411642811739e-13,1.492694856608523e-13,1.0,2.0
15,1.0000000000000002,1.0991547423733788e-15,3.351597844333333e-13,1.6064927166326015e-13,1.0,2.0
16,1.0000000000000002,1.0924979554254832e-15,3.614523698000983e-13,1.7313928069029316e-13,1.0,2.0
17,1.0,1.0029802280038213e-15,3.90430756897877e-13,1.870872942629762e-13,1.0,2.0
18,1.0000000000000002,1.0677383963762378e-15,4.2237766169835503e-13,2.024246357269225e-13,1.0,2.0
19,1.0000000000000002,1.0247951214763318e-15,4.577171581590607e-13,2.1924623604221842e-13,1.0,2.0
20,1.0,1.0127028831791459e-15,4.963078882941515e-13,2.3780977187470853e-13,1.0,2.0
21,1.0000000000000002,1.0909495714777676e-15,5.387152840469983e-13,2.581268532253489e-13,1.0,2.0
22,1.0000000000000002,1.1090144244491257e-15,5.850807034034443e-13,2.804978471715458e-13,1.0,2.0
23,1.0,1.135130465400828e-15,6.358282203210177e-13,3.0481173141083673e-13,1.0,2.0
24,1.0,1.107118690425424e-15,6.915232667430899e-13,3.3162361745553426e-13,1.0,2.0
25,1.0,1.1506085717424449e-15,7.520244846838182e-13,3.607669718519446e-13,1.0,2.0
26,1.0,1.1535764865300755e-15,8.181800220582593e-13,3.924083280537616e-13,1.0,2.0
27,1.0,1.096111982511561e-15,8.908380267814703e-13,4.27158308724529e-13,1.0,2.0
28,1.0,1.1487730472152918e-15,9.697157828817656e-13,4.649058915617843e-13,1.0,2.0
29,1.0,1.1482744070404712e-15,1.0562268702175731e-12,5.063172103803026e-13,1.0,2.0
30,1.0000000000000002,1.1237525858153807e-15,1.1503712887888934e-12,5.517253320874715e-13,1.0,2.0
31,1.0000000000000002,1.1158723035136384e-15,1.2529971865107829e-12,6.010747455320598e-13,1.0,2.0
32,1.0,1.0705482643655471e-15,1.3652354272699843e-12,6.548650510751486e-13,1.0,2.0
33,1.0,1.1176600511206989e-15,1.4876514430098689e-12,7.135958490778194e-13,1.0,2.0
34,1.0,1.1059422177491548e-15,1.6208106656738082e-12,7.777667399011534e-13,1.0,2.0
35,1.0,1.1280780082708857e-15,1.7664093910919159e-12,8.475997681500758e-13,1.0,2.0
36,1.0000000000000002,1.1979120900386682e-15,1.925013051207563e-12,9.23650045336899e-13,1.0,2.0
37,1.0000000000000004,1.1542640075847466e-15,2.0980352258791786e-12,1.0064726829739357e-12,1.0,2.0
38,1.0000000000000002,1.2044175254898992e-15,2.2866067789935042e-12,1.0970668817833484e-12,1.0,2.0
39,1.0000000000000002,1.186927360348957e-15,2.492141290408969e-12,1.1958767309749874e-12,1.0,2.0
40,1.0000000000000002,1.2034207255786098e-15,2.716335055955686e-12,1.3033463197587025e-12,1.0,2.0
41,1.0000000000000002,1.2475310517749258e-15,2.96088437146377e-12,1.4209189380665066e-12,1.0,2.0
42,1.0000000000000002,1.2456415651473178e-15,3.227485532763334e-12,1.5489831639570184e-12,1.0,2.0
43,1.0000000000000004,1.2070866878441316e-15,3.5179761936703353e-12,1.6883161535474756e-12,1.0,2.0
44,1.0000000000000002,1.2552966160080817e-15,3.834759439944102e-12,1.840638752526047e-12,1.0,2.0
