step,a2<b2;ab<0,a2<b2;ab>0,a2>b2;ab<0,a2>b2;ab>0
0,0,4,6,0
1,0,4,6,0
2,0,4,6,0
3,0,4,6,0
4,0,4,6,0
5,4,0,0,6
6,4,0,0,6
7,4,0,0,6
8,4,0,0,6
9,4,0,0,6
10,0,6,4,0
11,0,6,4,0
12,0,6,4,0
13,0,6,4,0
14,6,0,0,4
15,6,0,0,4
16,6,0,0,4
17,6,0,0,4
18,6,0,0,4
19,0,4,6,0
20,0,4,6,0
21,0,4,6,0
22,0,4,6,0
23,0,4,6,0
24,4,0,0,6
25,4,0,0,6
26,4,0,0,6
27,4,0,0,6
28,4,0,0,6
29,0,6,4,0
30,0,6,4,0
31,0,6,4,0
32,0,6,4,0
33,0,6,4,0
34,6,0,0,4
35,6,0,0,4
36,6,0,0,4
37,6,0,0,4
38,0,4,6,0
39,0,4,6,0
40,0,4,6,0
41,0,4,6,0
42,0,4,6,0
43,4,0,0,6
44,4,0,0,6
45,4,0,0,6
46,4,0,0,6
47,4,0,0,6
48,0,6,4,0
49,0,6,4,0
50,0,6,4,0
51,0,6,4,0
52,0,6,4,0
53,6,0,0,4
54,6,0,0,4
55,6,0,0,4
56,6,0,0,4
57,6,0,0,4
58,0,4,6,0
59,0,4,6,0
60,0,4,6,0
61,0,4,6,0
62,0,4,6,0
63,4,0,0,6
64,4,0,0,6
65,4,0,0,6
66,4,0,0,6
67,0,6,4,0
68,0,6,4,0
69,0,6,4,0
70,0,6,4,0
71,0,6,4,0
72,6,0,0,4
73,6,0,0,4
74,6,0,0,4
75,6,0,0,4
76,6,0,0,4
77,0,4,6,0
78,0,4,6,0
79,0,4,6,0
80,0,4,6,0
81,0,4,6,0
82,4,0,0,6
83,4,0,0,6
84,4,0,0,6
85,4,0,0,6
86,4,0,0,6
87,0,6,4,0
88,0,6,4,0
89,0,6,4,0
90,0,6,4,0
91,6,0,0,4
92,6,0,0,4
93,6,0,0,4
94,6,0,0,4
95,6,0,0,4
96,0,4,6,0
97,0,4,6,0
98,0,4,6,0
99,0,4,6,0
100,0,4,6,0
101,4,0,0,6
102,4,0,0,6
103,4,0,0,6
104,4,0,0,6
105,4,0,0,6
106,0,6,4,0
107,0,6,4,0
108,0,6,4,0
109,0,6,4,0
110,0,6,4,0
111,6,0,0,4
112,6,0,0,4
113,6,0,0,4
114,6,0,0,4
115,6,0,0,4
116,0,4,6,0
117,0,4,6,0
118,0,4,6,0
119,0,4,6,0
120,4,0,0,6
121,4,0,0,6
122,4,0,0,6
123,4,0,0,6
124,4,0,0,6
125,0,6,4,0
126,0,6,4,0
127,0,6,4,0
128,0,6,4,0
129,0,6,4,0
130,6,0,0,4
131,6,0,0,4
132,6,0,0,4
133,6,0,0,4
134,6,0,0,4
135,0,4,6,0
136,0,4,6,0
137,0,4,6,0
138,0,4,6,0
139,0,4,6,0
140,4,0,0,6
141,4,0,0,6
142,4,0,0,6
143,4,0,0,6
144,4,0,0,6
145,0,6,4,0
146,0,6,4,0
147,0,6,4,0
148,0,6,4,0
149,6,0,0,4
150,6,0,0,4
151,6,0,0,4
152,6,0,0,4
153,6,0,0,4
154,0,4,6,0
155,0,4,6,0
156,0,4,6,0
157,0,4,6,0
158,0,4,6,0
159,4,0,0,6
160,4,0,0,6
161,4,0,0,6
162,4,0,0,6
163,4,0,0,6
164,0,6,4,0
165,0,6,4,0
166,0,6,4,0
167,0,6,4,0
168,0,6,4,0
169,6,0,0,4
170,6,0,0,4
171,6,0,0,4
172,6,0,0,4
173,0,4,6,0
174,0,4,6,0
175,0,4,6,0
176,0,4,6,0
177,0,4,6,0
178,4,0,0,6
179,4,0,0,6
180,4,0,0,6
