N,M,k,residual,star_span_trivial,star_span_error,edges
4,6,3,6.020849091717407e-15,True,4.650319404498811e-16,"1-2,1-3,1-4"
4,6,3,5.195040086148256e-15,True,2.5438405243138006e-16,"1-2,1-3,2-3"
4,6,3,5.3497206998673045e-15,True,5.661048867003676e-16,"1-2,1-4,2-4"
4,6,3,4.459091088870946e-15,True,9.461354227335467e-16,"1-2,2-3,2-4"
4,6,3,3.931604473195639e-15,True,2.9373740229761033e-16,"1-3,1-4,3-4"
4,6,3,3.4844027277881014e-15,True,7.704541235042752e-16,"1-3,2-3,3-4"
4,6,3,3.050210218221991e-15,True,3.15563848905497e-16,"1-4,2-4,3-4"
4,6,3,2.5078510375201642e-15,True,6.544668208791957e-16,"2-3,2-4,3-4"
