N,M,k,best_residual,edges,runtime_s
6,15,6,0.12672405919041566,"1-6,2-4,2-5,3-4,3-6,5-6",0.040776968002319336
7,21,6,3.1526397885268124e-15,"1-7,2-7,3-7,4-7,5-7,6-7",0.10760688781738281
8,28,6,0.0005054135616039663,"1-5,2-4,3-5,3-7,4-5,5-7",0.15624380111694336
9,36,6,3.381609611975128e-05,"1-6,2-6,4-6,5-6,6-8,6-9",0.36592698097229004
10,45,5,0.0004054250434613646,"1-5,2-6,4-10,5-7,6-10",0.05577278137207031
10,45,6,8.467346502716195e-05,"1-3,2-6,3-8,4-5,4-10,8-10",0.7232258319854736
11,55,5,0.0011602408274253373,"2-3,3-5,3-8,5-9,6-9",0.08459591865539551
11,55,6,1.4424669700047623e-05,"1-8,2-7,4-10,5-9,8-9,9-10",1.406722068786621
12,66,5,5.866435054647569e-05,"2-8,3-8,4-7,5-6,5-10",0.1297621726989746
12,66,6,1.7377132212930704e-05,"1-2,2-3,2-9,5-7,6-7,11-12",2.492359161376953
13,78,5,0.00011501554767962555,"1-9,1-10,3-10,6-9,9-13",0.1837930679321289
13,78,6,3.2690350260324597e-06,"2-9,2-12,3-11,4-8,4-12,8-13",4.187631130218506
