N,M,k,best_residual,edges,runtime_s
14,91,6,1.939675731900144e-06,"1-7,2-14,4-10,5-9,5-14,10-13",6.6662561893463135
15,105,6,3.5322577236596334e-06,"1-3,4-7,4-14,6-7,8-15,14-15",10.343869924545288
16,120,4,6.89633345049678e-05,"2-11,3-9,4-8,9-11",0.25166893005371094
16,120,5,2.8687479400582445e-05,"1-7,2-7,3-8,4-10,4-14",0.47826194763183594
16,120,6,2.3696377741316003e-06,"1-5,1-14,3-11,5-8,6-14,7-11",15.470479726791382
