step,takagi_r1,takagi_r2,takagi_r3,takagi_r4,takagi_r5,takagi_r6,takagi_r7,takagi_r8,takagi_r9,takagi_r10,takagi_r11,takagi_r12,takagi_r13
0,0.3391038850488344,0.3173841000002298,0.29713010222518776,0.2805384563818488,0.27500842871137937,0.25144387289909753,0.2361636447662676,0.22338785206554043,0.20211330263780578,0.14222334599924005,0.11468729433844013,0.043195786672876796,3.2594783365976226e-09
1,0.3391038850488344,0.31738410000022976,0.29713010222518776,0.28053845638184893,0.2750084287113793,0.25144387289909753,0.2361636447662676,0.22338785206554032,0.2021133026378057,0.14222334599924008,0.11468729433844028,0.04319578667287626,4.07106948632933e-09
2,0.33910388504883393,0.3173841000002293,0.2971301022251874,0.28053845638184854,0.2750084287113789,0.2514438728990972,0.2361636447662674,0.22338785206554015,0.20211330263780547,0.1422233459992399,0.11468729433844012,0.04319578667287588,5.486957624946263e-10
3,0.3391038850488332,0.3173841000002286,0.297130102225187,0.28053845638184804,0.2750084287113783,0.2514438728990967,0.23616364476626686,0.22338785206553954,0.20211330263780508,0.14222334599923953,0.11468729433843973,0.04319578667287614,2.385551979556468e-09
4,0.33910388504883354,0.31738410000022865,0.2971301022251871,0.280538456381848,0.2750084287113785,0.251443872899097,0.2361636447662671,0.22338785206553985,0.20211330263780541,0.1422233459992394,0.11468729433843979,0.04319578667287644,9.335364246750356e-10
5,0.3391038850488337,0.3173841000002289,0.297130102225187,0.2805384563818479,0.2750084287113784,0.2514438728990972,0.23616364476626697,0.2233878520655398,0.20211330263780528,0.14222334599923944,0.11468729433843987,0.04319578667287584,1.7655222131547672e-09
6,0.33910388504883265,0.31738410000022793,0.29713010222518615,0.28053845638184705,0.2750084287113778,0.25144387289909653,0.23616364476626645,0.22338785206553916,0.20211330263780464,0.1422233459992392,0.11468729433843977,0.0431957866728756,3.775358532939673e-09
7,0.33910388504883165,0.3173841000002271,0.2971301022251852,0.2805384563818463,0.2750084287113771,0.25144387289909587,0.23616364476626578,0.22338785206553854,0.20211330263780403,0.14222334599923878,0.11468729433843958,0.043195786672875436,3.613802155995222e-09
8,0.33910388504883165,0.31738410000022704,0.29713010222518516,0.2805384563818464,0.27500842871137704,0.2514438728990958,0.23616364476626575,0.22338785206553854,0.20211330263780405,0.14222334599923875,0.11468729433843955,0.04319578667287574,1.1341193180031048e-09
9,0.3391038850488314,0.3173841000002267,0.2971301022251849,0.2805384563818461,0.2750084287113767,0.2514438728990954,0.23616364476626564,0.2233878520655384,0.20211330263780397,0.14222334599923864,0.11468729433843927,0.043195786672876144,1.9080339935470376e-09
10,0.33910388504883093,0.3173841000002262,0.29713010222518443,0.28053845638184566,0.27500842871137626,0.2514438728990949,0.23616364476626528,0.22338785206553816,0.20211330263780372,0.14222334599923844,0.11468729433843895,0.043195786672876414,1.038131013287329e-09
11,0.33910388504883104,0.31738410000022615,0.2971301022251843,0.2805384563818456,0.27500842871137615,0.2514438728990951,0.23616364476626514,0.223387852065538,0.20211330263780358,0.14222334599923855,0.11468729433843894,0.0431957866728761,2.6034803389990875e-09
12,0.3391038850488307,0.31738410000022593,0.29713010222518393,0.2805384563818454,0.275008428711376,0.25144387289909476,0.23616364476626467,0.22338785206553743,0.20211330263780325,0.14222334599923847,0.11468729433843901,0.0431957866728755,2.4373281690673996e-09
13,0.33910388504883104,0.31738410000022615,0.29713010222518443,0.28053845638184555,0.2750084287113763,0.25144387289909526,0.236163644766265,0.22338785206553768,0.2021133026378035,0.1422233459992386,0.11468729433843919,0.04319578667287534,1.947512484224288e-09
14,0.33910388504883104,0.3173841000002261,0.2971301022251843,0.2805384563818454,0.2750084287113761,0.2514438728990952,0.23616364476626484,0.22338785206553738,0.20211330263780347,0.14222334599923833,0.11468729433843922,0.043195786672874825,3.4965779942409888e-09
15,0.3391038850488308,0.3173841000002259,0.2971301022251845,0.2805384563818453,0.2750084287113761,0.25144387289909514,0.2361636447662648,0.22338785206553716,0.2021133026378034,0.1422233459992382,0.1146872943384392,0.04319578667287467,1.907532307977385e-09
16,0.33910388504883093,0.31738410000022577,0.29713010222518466,0.2805384563818454,0.27500842871137604,0.2514438728990951,0.23616364476626484,0.22338785206553696,0.20211330263780355,0.14222334599923797,0.11468729433843916,0.04319578667287511,2.6224420619805553e-09
17,0.33910388504883066,0.3173841000002255,0.2971301022251849,0.2805384563818454,0.27500842871137576,0.25144387289909487,0.2361636447662646,0.2233878520655367,0.20211330263780344,0.14222334599923778,0.11468729433843909,0.043195786672874915,2.371075286311683e-09
18,0.3391038850488306,0.31738410000022543,0.29713010222518504,0.28053845638184544,0.27500842871137565,0.25144387289909487,0.23616364476626459,0.22338785206553652,0.20211330263780344,0.14222334599923764,0.11468729433843919,0.04319578667287495,1.8463751349055924e-09
19,0.33910388504883016,0.31738410000022477,0.2971301022251843,0.28053845638184516,0.2750084287113751,0.25144387289909453,0.236163644766264,0.22338785206553582,0.2021133026378031,0.14222334599923755,0.11468729433843947,0.04319578667287455,2.9169651445300418e-09
20,0.33910388504882993,0.3173841000002244,0.2971301022251838,0.28053845638184494,0.2750084287113748,0.25144387289909437,0.2361636447662637,0.22338785206553533,0.20211330263780283,0.14222334599923764,0.11468729433843952,0.04319578667287363,2.092880183356264e-09
