case,N,M,rank,final_H_perp,r2_min,r2_max,classes_tol1e-6,classes_tol1e-2
N=12,12,66,11,0.0982732163865474,0.015151515151515738,0.015151515151515763,66,49
N=13,13,78,12,0.0704983732593103,0.0128205128205134,0.012820512820513424,78,47
