step,takagi_r1,takagi_r2,takagi_r3,takagi_r4,takagi_r5,takagi_r6,takagi_r7,takagi_r8,takagi_r9,takagi_r10,takagi_r11,takagi_r12
0,0.3350682740088453,0.3236462790066772,0.3082139386007362,0.30244404541036585,0.25808018524673254,0.23656412579939862,0.23604715883522687,0.20301559024816282,0.14848638062503922,0.11105603494813057,0.10691380823165633,2.940401870901401e-09
1,0.3350682740088454,0.3236462790066773,0.3082139386007364,0.30244404541036596,0.25808018524673265,0.2365641257993988,0.23604715883522695,0.20301559024816293,0.14848638062503922,0.11105603494813067,0.10691380823165644,2.450348492632214e-09
2,0.33506827400884587,0.32364627900667753,0.30821393860073665,0.30244404541036635,0.2580801852467329,0.23656412579939914,0.23604715883522714,0.20301559024816307,0.14848638062503935,0.1110560349481307,0.10691380823165661,1.300981574133826e-09
3,0.33506827400884587,0.3236462790066775,0.3082139386007368,0.3024440454103664,0.2580801852467329,0.23656412579939917,0.23604715883522726,0.20301559024816307,0.14848638062503924,0.11105603494813075,0.10691380823165648,3.6867797907164795e-09
4,0.3350682740088459,0.32364627900667775,0.30821393860073704,0.30244404541036657,0.25808018524673293,0.23656412579939934,0.2360471588352273,0.2030155902481631,0.14848638062503927,0.11105603494813089,0.10691380823165644,2.7445947954915317e-09
5,0.3350682740088458,0.3236462790066774,0.3082139386007368,0.30244404541036646,0.2580801852467329,0.23656412579939912,0.23604715883522717,0.20301559024816287,0.14848638062503922,0.11105603494813085,0.10691380823165655,2.682707240778072e-09
6,0.33506827400884553,0.32364627900667703,0.3082139386007363,0.302444045410366,0.2580801852467326,0.23656412579939887,0.23604715883522706,0.20301559024816263,0.14848638062503908,0.11105603494813057,0.10691380823165669,1.6331292628380837e-09
7,0.33506827400884526,0.32364627900667675,0.3082139386007362,0.302444045410366,0.2580801852467324,0.23656412579939873,0.23604715883522684,0.2030155902481624,0.14848638062503894,0.11105603494813056,0.1069138082316565,3.595755132906883e-09
8,0.3350682740088449,0.32364627900667653,0.30821393860073615,0.3024440454103658,0.2580801852467321,0.23656412579939864,0.2360471588352266,0.20301559024816224,0.14848638062503886,0.11105603494813047,0.10691380823165661,3.1740367211030977e-09
9,0.33506827400884526,0.3236462790066769,0.3082139386007368,0.3024440454103663,0.2580801852467323,0.23656412579939892,0.23604715883522695,0.20301559024816224,0.14848638062503902,0.11105603494813056,0.10691380823165639,3.0950999178400542e-09
10,0.3350682740088452,0.323646279006677,0.3082139386007369,0.3024440454103665,0.25808018524673243,0.23656412579939895,0.23604715883522717,0.2030155902481621,0.14848638062503877,0.11105603494813074,0.10691380823165621,2.865601192141409e-09
11,0.335068274008845,0.32364627900667675,0.30821393860073704,0.30244404541036646,0.2580801852467324,0.23656412579939898,0.23604715883522703,0.2030155902481619,0.1484863806250387,0.11105603494813054,0.10691380823165608,3.1981686781635493e-09
