class_id,count,a2n,b2n,abn,theta_over_pi_mod1,edges
0,1,0.8186907679330809,0.18130923206691898,0.3852741808559498,0.14000876894893277,1-2
1,1,0.9433940820703105,0.05660591792968943,0.23108805244976793,0.07646560266572791,1-3
2,1,0.044649452126189114,0.9553505478738109,-0.2065329962766731,0.5677710603813717,1-4
3,1,0.8742239539941961,0.12577604600580392,0.33159679168675593,0.11539969674361805,1-5
4,1,0.4401591586455643,0.5598408413544358,-0.49640615800571336,0.7309063001474032,1-6
5,1,0.01720382985931013,0.9827961701406899,-0.13003021993937425,0.5418712457290651,1-7
6,1,0.055668104674819974,0.94433189532518,-0.22927966939249816,0.5758171757597246,1-8
7,1,0.9260724282366879,0.07392757176331216,0.2616529875550679,0.08765075607089512,1-9
8,1,0.8560422807697605,0.14395771923023948,0.3510468548559679,0.12387562478312435,1-10
9,1,0.5238949035656438,0.47610509643435617,-0.49942870720813454,0.7576088821881873,1-11
10,1,1.0381244983382245e-06,0.9999989618755016,0.0010188834185694408,0.49967567911054367,1-12
11,1,0.8439027104135282,0.15609728958647182,-0.36294755236842274,0.870712886085118,2-3
12,1,0.8160747974914171,0.18392520250858302,-0.3874231825675379,0.858913595599394,2-4
13,1,0.981630237075426,0.01836976292457409,-0.13428445455326926,0.95672464905101,2-5
14,1,0.13010108747602792,0.8698989125239721,0.33641461697373204,0.38253943392989714,2-6
15,1,0.0225449222595406,0.9774550777404594,0.14844746121053018,0.45202444427562516,2-7
16,1,0.4995723287188681,0.500427671281132,-0.49999981709724184,0.7498638679865794,2-8
17,1,0.4753899285679082,0.5246100714320918,-0.4993939771203767,0.7421632045226565,2-9
18,1,0.04778363767708402,0.952216362322916,0.21330813778998017,0.4298527462607187,2-10
19,1,0.719865255627844,0.2801347443721561,0.4490648832492949,0.1775369778824094,2-11
20,1,0.14444432675899035,0.8555556732410097,0.35153970362696213,0.37590391560167785,2-12
21,1,0.01962052739723438,0.9803794726027656,-0.13869232964331069,0.544733818972177,3-4
22,1,0.047699888236023856,0.9523001117639761,-0.21313049734445488,0.5700847399975312,3-5
23,1,0.12220955769506121,0.8777904423049387,-0.32752768081955863,0.6136773552794302,3-6
24,1,0.9573806226018792,0.042619377398120876,0.2019974407469496,0.06618932379990031,3-7
25,1,0.0029403170073952316,0.9970596829926048,0.05414491244144046,0.48273127544427985,3-8
26,1,0.5027588682000294,0.49724113179997076,0.49999238858832135,0.2491218205211244,3-9
27,1,0.1950508920811882,0.8049491079188117,-0.3962398788354358,0.6456051564686882,3-10
28,1,0.8818422326522222,0.11815776734777783,0.3227948409797874,0.1116941727920677,3-11
29,1,0.9832003016451831,0.016799698354816785,0.12852030380451157,0.041373706808727886,3-12
30,1,0.8326281553461146,0.16737184465388547,0.3733075277449426,0.13416113373812527,4-5
31,1,0.9678630115411893,0.03213698845881083,0.17636383538472133,0.057372896350293856,4-6
32,1,0.05110147259512243,0.9488985274048775,-0.22020470497637507,0.5725833500475122,4-7
33,1,0.793648859624483,0.20635114037551708,0.4046854917602566,0.15009588960435627,4-8
34,1,0.13511134789986687,0.8648886521001331,-0.34184246601109697,0.6198118668644472,4-9
35,1,0.8147981297965041,0.18520187020349585,0.38846124321046926,0.1416101622805337,4-10
36,1,0.06734153395814638,0.9326584660418537,-0.2506125530820637,0.583558570902185,4-11
37,1,0.9571627122238497,0.04283728777615021,0.20249013445630754,0.06636080748733733,4-12
38,1,0.9198663569427856,0.08013364305721433,0.2714999858335048,0.09135581771424242,5-6
39,1,0.11822846346717947,0.8817715365328205,-0.32287845064879955,0.6117290252072477,5-7
40,1,0.72733244197093,0.2726675580290699,0.4453312933396144,0.17487951570405447,5-8
41,1,0.24890297963462502,0.7510970203653748,0.4323774813327244,0.3337368417707603,5-9
