case,R_input_text,R,center_R,baseline_R,delta_R,abs_delta_R,log10_abs_delta_R,fixed_step,baseline_condition,center_condition_at_baseline_step,fixed_step_condition,fixed_step_error,fixed_step_depth_log10,baseline_fixed_step_error,center_fixed_step_error,normalized_inverse_depth,center_global_min_prefix_error,center_global_best_step,center_global_best_condition,global_min_prefix_error,global_best_step,global_best_condition,tail_best_gray_error,tail_best_condition
delta_m1em05,0.68659290255614802,0.686592902556148,0.686602902556148,0.686602902556148,-9.999999999999997e-06,9.999999999999997e-06,-5.0,3605,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,3.873562881771451e-07,6.411889389488224,1.1458166464462687e-08,1.1458166464462687e-08,0.02958043231564285,1.1458166464462687e-08,3605,phi0_s0.01_g0,4.92952147465236e-08,3827,phi0_s0.01_g0,3.426691975433885e-05,phi0_s0.01_g0
delta_m1em06,0.68660190255614795,0.686601902556148,0.686602902556148,0.686602902556148,-1e-06,1e-06,-6.0,3605,phi0_s0.01_g0,phi0_s0.01_g0,phi1_s0.01_g0,3.833586942854913e-08,7.416394682825392,1.1458166464462687e-08,1.1458166464462687e-08,0.2988889161837991,1.1458166464462687e-08,3605,phi0_s0.01_g0,3.833586942854913e-08,3605,phi1_s0.01_g0,3.588396991614e-05,phi1_s0.01_g0
delta_m1em07,0.68660280255614803,0.686602802556148,0.686602902556148,0.686602902556148,-1e-07,1e-07,-7.0,3605,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,1.0087822118158324e-08,7.996202584423018,1.1458166464462687e-08,1.1458166464462687e-08,1.1358414462758726,1.1458166464462687e-08,3605,phi0_s0.01_g0,1.0087822118158324e-08,3605,phi0_s0.01_g0,3.60567908127111e-05,phi0_s0.01_g0
delta_m1em08,0.68660289255614793,0.6866028925561479,0.686602902556148,0.686602902556148,-1e-08,1e-08,-8.0,3605,phi0_s0.01_g0,phi0_s0.01_g0,phi1_s0.01_g0,1.1234548393897044e-08,7.949444380652994,1.1458166464462687e-08,1.1458166464462687e-08,1.0199045001833025,1.1458166464462687e-08,3605,phi0_s0.01_g0,1.1234548393897044e-08,3605,phi1_s0.01_g0,3.606694824159622e-05,phi1_s0.01_g0
delta_m1em09,0.686602901556148,0.686602901556148,0.686602902556148,0.686602902556148,-9.999999999999996e-10,9.999999999999996e-10,-9.0,3605,phi0_s0.01_g0,phi0_s0.01_g0,phi1_s0.01_g0,1.1434937982385796e-08,7.94176618645563,1.1458166464462687e-08,1.1458166464462687e-08,1.0020313605646722,1.1458166464462687e-08,3605,phi0_s0.01_g0,1.1434937982385796e-08,3605,phi1_s0.01_g0,3.606853755753632e-05,phi1_s0.01_g0
center,0.68660290255614798,0.686602902556148,0.686602902556148,0.686602902556148,0.0,0.0,,3605,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,1.1458166464462687e-08,7.940884872601991,1.1458166464462687e-08,1.1458166464462687e-08,1.0,1.1458166464462687e-08,3605,phi0_s0.01_g0,1.1458166464462687e-08,3605,phi0_s0.01_g0,3.606872058653997e-05,phi1_s0.01_g0
delta_p1em09,0.68660290355614795,0.686602903556148,0.686602902556148,0.686602902556148,9.999999999999996e-10,9.999999999999996e-10,-9.0,3605,phi0_s0.01_g0,phi0_s0.01_g0,phi1_s0.01_g0,1.1481588721222896e-08,7.939998013930903,1.1458166464462687e-08,1.1458166464462687e-08,0.9979600160457834,1.1458166464462687e-08,3605,phi0_s0.01_g0,1.1481588721222896e-08,3605,phi1_s0.01_g0,3.60689049072901e-05,phi1_s0.01_g0
delta_p1em08,0.68660291255614803,0.686602912556148,0.686602902556148,0.686602902556148,1e-08,1e-08,-8.0,3605,phi0_s0.01_g0,phi0_s0.01_g0,phi1_s0.01_g0,1.1701028026127677e-08,7.931775980436644,1.1458166464462687e-08,1.1458166464462687e-08,0.9792444252656524,1.1458166464462687e-08,3605,phi0_s0.01_g0,1.1701028026127677e-08,3605,phi1_s0.01_g0,3.6070621692565326e-05,phi0_s0.01_g0
delta_p1em07,0.68660300255614792,0.6866030025561479,0.686602902556148,0.686602902556148,1e-07,1e-07,-7.0,3605,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,1.475261930581168e-08,7.83113086449468,1.1458166464462687e-08,1.1458166464462687e-08,0.7766869209421565,1.1458166464462687e-08,3605,phi0_s0.01_g0,1.475261930581168e-08,3605,phi0_s0.01_g0,3.609352527657653e-05,phi0_s0.01_g0
delta_p1em06,0.686603902556148,0.686603902556148,0.686602902556148,0.686602902556148,1e-06,1e-06,-6.0,3605,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,2.9083191718126243e-08,7.536357933799714,1.1458166464462687e-08,1.1458166464462687e-08,0.39397898880958543,1.1458166464462687e-08,3605,phi0_s0.01_g0,1.815841732512915e-08,2685,phi0_s0.01_g0,3.625948243065652e-05,phi0_s0.01_g0
delta_p1em05,0.68661290255614793,0.6866129025561479,0.686602902556148,0.686602902556148,9.999999999999997e-06,9.999999999999997e-06,-5.0,3605,phi0_s0.01_g0,phi0_s0.01_g0,phi1_s0.01_g0,3.1716017532878994e-07,6.498721350738987,1.1458166464462687e-08,1.1458166464462687e-08,0.03612738091276551,1.1458166464462687e-08,3605,phi0_s0.01_g0,5.195305737243614e-08,2537,phi1_s0.01_g0,3.785617083416672e-05,phi1_s0.01_g0
