R,R_input_text,condition_id,window,step_start,step_end,n,phi,phi_over_pi,s0,stability_gain,S_mean,S_amp,S_min,S_max,S_drift,Q_max_error,gray_error_no_phase,gray_depth_no_phase
0.6918904008935756,0.69189040089357556,phi0_s0.01_g0,all,0,4096,4097,0.0,0.0,0.01,0.0,6.429507665820407e-06,0.019999959305841912,-0.019999918611683754,0.020000000000000073,5.197503099818122e-06,4.440892098500626e-16,1.166770492372694e-05,4.933014562719449
0.6918904008935756,0.69189040089357556,phi0_s0.01_g0,first16,0,15,16,0.0,0.0,0.01,0.0,-1.7689719600233824e-05,0.019999548314987403,-0.019999096629974733,0.020000000000000073,0.005070873402863276,4.440892098500626e-16,0.005089014807476107,2.293366285460797
0.6918904008935756,0.69189040089357556,phi0_s0.01_g0,first64,0,63,64,0.0,0.0,0.01,0.0,-1.733508895182427e-05,0.019999548314987403,-0.019999096629974733,0.020000000000000073,4.770318902714047e-07,4.440892098500626e-16,1.8263805854692937e-05,4.738408718068614
0.6918904008935756,0.69189040089357556,phi0_s0.01_g0,first256,0,255,256,0.0,0.0,0.01,0.0,-1.5737617681768027e-05,0.019999548314987403,-0.019999096629974733,0.020000000000000073,2.191824403873804e-06,4.440892098500626e-16,1.8381127098239094e-05,4.735627861963069
0.6918904008935756,0.69189040089357556,phi0_s0.01_g0,first_half,0,2047,2048,0.0,0.0,0.01,0.0,3.830121809943587e-06,0.01999980911651572,-0.01999961823303137,0.020000000000000073,2.2354620988552833e-05,4.440892098500626e-16,2.6375626282775817e-05,4.5787972193558835
0.6918904008935756,0.69189040089357556,phi0_s0.01_g0,tail,2048,4096,2049,0.0,0.0,0.01,0.0,9.027624909761709e-06,0.019999884026680313,-0.019999918611683754,0.019999849441676876,1.7451654542984903e-05,4.440892098500626e-16,2.6595252772433795e-05,4.575195877606928
0.6918904008935756,0.69189040089357556,phi0_s0.01_g0,block256_0000_0255,0,255,256,0.0,0.0,0.01,0.0,-1.5737617681768027e-05,0.019999548314987403,-0.019999096629974733,0.020000000000000073,2.191824403873804e-06,4.440892098500626e-16,1.8381127098239094e-05,4.735627861963069
0.6918904008935756,0.69189040089357556,phi0_s0.01_g0,block256_0256_0511,256,511,256,0.0,0.0,0.01,0.0,-1.070724788082e-05,0.019999597926891766,-0.0199991989264075,0.01999999692737603,2.8093492836114194e-06,4.440892098500626e-16,1.3918670272666205e-05,4.8564022532907
0.6918904008935756,0.69189040089357556,phi0_s0.01_g0,block256_0512_0767,512,767,256,0.0,0.0,0.01,0.0,-4.694007628697144e-06,0.019999641393674578,-0.019999295077841484,0.01999998770950767,3.1689903048070005e-06,4.440892098500626e-16,8.221604258926956e-06,5.085043431508551
0.6918904008935756,0.69189040089357556,phi0_s0.01_g0,block256_0768_1023,768,1023,256,0.0,0.0,0.01,0.0,1.7501184539538551e-06,0.019999678715323016,-0.019999385084247197,0.01999997234639883,3.237734265880109e-06,4.440892098500626e-16,5.309137396818382e-06,5.274976035271401
0.6918904008935756,0.69189040089357556,phi0_s0.01_g0,block256_1024_1279,1024,1279,256,0.0,0.0,0.01,0.0,8.033592636738367e-06,0.019980034091080314,-0.01997581224504907,0.019984255937111558,3.009270823708289e-06,4.440892098500626e-16,3.1008772380132954e-05,4.508515426896744
0.6918904008935756,0.69189040089357556,phi0_s0.01_g0,block256_1280_1535,1280,1535,256,0.0,0.0,0.01,0.0,1.3579624209879423e-05,0.019999709891826034,-0.019999468945598287,0.01999995083805378,2.5045717507293504e-06,4.440892098500626e-16,1.6374304134575098e-05,4.785837147332251
0.6918904008935756,0.69189040089357556,phi0_s0.01_g0,block256_1536_1791,1536,1791,256,0.0,0.0,0.01,0.0,1.7879115913683026e-05,0.01999973492317192,-0.019999546661866093,0.01999992318447774,1.7699658338879404e-06,4.440892098500626e-16,1.991415857565235e-05,4.700838038924305
0.6918904008935756,0.69189040089357556,phi0_s0.01_g0,block256_1792_2047,1792,2047,256,0.0,0.0,0.01,0.0,2.05373964565792e-05,0.019999753809357396,-0.01999961823303137,0.01999988938568342,8.728861295153303e-07,4.440892098500626e-16,2.1656473228699283e-05,4.664412267102378
0.6918904008935756,0.69189040089357556,phi0_s0.01_g0,block256_2048_2303,2048,2303,256,0.0,0.0,0.01,0.0,2.131044931573277e-05,0.019995821651298873,-0.019993932137614745,0.019997711164982997,1.0432004563547183e-07,4.440892098500626e-16,2.5593118062495758e-05,4.5918767998946475
0.6918904008935756,0.69189040089357556,phi0_s0.01_g0,block256_2304_2559,2304,2559,256,0.0,0.0,0.01,0.0,2.012731220271829e-05,0.019999766550371945,-0.019999683659067014,0.019999849441676876,1.0719501755108196e-06,4.440892098500626e-16,2.143271200628491e-05,4.668922871662617
0.6918904008935756,0.69189040089357556,phi0_s0.01_g0,block256_2560_2815,2560,2815,256,0.0,0.0,0.01,0.0,1.709659103769656e-05,0.01999977314621373,-0.019999742939955708,0.019999803352471753,1.941180776031511e-06,4.440892098500626e-16,1.9264625599997926e-05,4.715239426901951
0.6918904008935756,0.69189040089357556,phi0_s0.01_g0,block256_2816_3071,2816,3071,256,0.0,0.0,0.01,0.0,1.2496490482722588e-05,0.019999773596877768,-0.019999796075675758,0.019999751118079775,2.6322209351437027e-06,4.440892098500626e-16,1.5355114540098805e-05,4.813746939628119
0.6918904008935756,0.69189040089357556,phi0_s0.01_g0,block256_3072_3327,3072,3327,256,0.0,0.0,0.01,0.0,6.749276180547652e-06,0.019999767902366267,-0.019999843066213496,0.019999692738519037,3.0816367098645465e-06,4.440892098500626e-16,1.0063010524145945e-05,4.997272073113994
0.6918904008935756,0.69189040089357556,phi0_s0.01_g0,block256_3328_3583,3328,3583,256,0.0,0.0,0.01,0.0,3.825129336994031e-07,0.019984714620362137,-0.019988402352039636,0.01998102688868464,3.2481740365338314e-06,4.440892098500626e-16,1.8916066608096347e-05,4.723169165396844
0.6918904008935756,0.69189040089357556,phi0_s0.01_g0,block256_3584_3839,3584,3839,256,0.0,0.0,0.01,0.0,-6.019363039006417e-06,0.019999756062679785,-0.019999883911552885,0.019999628213806683,3.116545642539156e-06,4.440892098500626e-16,9.379846001760538e-06,5.027804291805865
0.6918904008935756,0.69189040089357556,phi0_s0.01_g0,block256_3840_4095,3840,4095,256,0.0,0.0,0.01,0.0,-1.1868692350637007e-05,0.01999973807782359,-0.019999918611683754,0.01999955754396343,2.6988343394898007e-06,4.440892098500626e-16,1.4829448866536359e-05,4.828874989138157
0.6918904008935756,0.69189040089357556,phi0_s0.01_g0,block256_4096_4096,4096,4096,1,0.0,0.0,0.01,0.0,0.0030673117886524373,0.0,0.0030673117886524373,0.0030673117886524373,0.0,2.220446049250313e-16,0.02306731178865244,1.6370030142079588
0.6918904008935756,0.69189040089357556,phi1_s0.01_g0,all,0,4096,4097,3.141592653589793,1.0,0.01,0.0,6.429507665819801e-06,0.019999959305846332,-0.019999918611692587,0.020000000000000073,5.197503099818368e-06,8.881784197001252e-16,1.1667704919306506e-05,4.9330145628839865
0.6918904008935756,0.69189040089357556,phi1_s0.01_g0,first16,0,15,16,3.141592653589793,1.0,0.01,0.0,-1.7689719600273022e-05,0.019999548314987348,-0.019999096629974622,0.020000000000000073,0.005070873402863376,4.440892098500626e-16,0.005089014807476302,2.29336628546078
0.6918904008935756,0.69189040089357556,phi1_s0.01_g0,first64,0,63,64,3.141592653589793,1.0,0.01,0.0,-1.733508895183223e-05,0.019999548314987348,-0.019999096629974622,0.020000000000000073,4.770318903046626e-07,4.440892098500626e-16,1.8263805854789668e-05,4.738408718066315
0.6918904008935756,0.69189040089357556,phi1_s0.01_g0,first256,0,255,256,3.141592653589793,1.0,0.01,0.0,-1.573761768176106e-05,0.019999548314987348,-0.019999096629974622,0.020000000000000073,2.1918244038901618e-06,4.440892098500626e-16,1.8381127098303997e-05,4.735627861961536
0.6918904008935756,0.69189040089357556,phi1_s0.01_g0,first_half,0,2047,2048,3.141592653589793,1.0,0.01,0.0,3.830121809942858e-06,0.01999980911651686,-0.019999618233033645,0.020000000000000073,2.23546209885687e-05,6.661338147750939e-16,2.6375626281652976e-05,4.578797219374372
0.6918904008935756,0.69189040089357556,phi1_s0.01_g0,tail,2048,4096,2049,3.141592653589793,1.0,0.01,0.0,9.027624909761226e-06,0.019999884026684647,-0.019999918611692587,0.019999849441676706,1.7451654542985604e-05,8.881784197001252e-16,2.6595252768100676e-05,4.575195877677687
0.6918904008935756,0.69189040089357556,phi1_s0.01_g0,block256_0000_0255,0,255,256,3.141592653589793,1.0,0.01,0.0,-1.573761768176106e-05,0.019999548314987348,-0.019999096629974622,0.020000000000000073,2.1918244038901618e-06,4.440892098500626e-16,1.8381127098303997e-05,4.735627861961536
0.6918904008935756,0.69189040089357556,phi1_s0.01_g0,block256_0256_0511,256,511,256,3.141592653589793,1.0,0.01,0.0,-1.070724788084151e-05,0.01999959792689171,-0.0199991989264075,0.019999996927375918,2.809349283648733e-06,4.440892098500626e-16,1.3918670272780539e-05,4.856402253287132
0.6918904008935756,0.69189040089357556,phi1_s0.01_g0,block256_0512_0767,512,767,256,3.141592653589793,1.0,0.01,0.0,-4.694007628709289e-06,0.019999641393675133,-0.01999929507784215,0.019999987709508112,3.1689903048260926e-06,4.440892098500626e-16,8.221604258403081e-06,5.085043431536224
0.6918904008935756,0.69189040089357556,phi1_s0.01_g0,block256_0768_1023,768,1023,256,3.141592653589793,1.0,0.01,0.0,1.7501184539458947e-06,0.01999967871532632,-0.019999385084250976,0.019999972346401662,3.237734265910748e-06,4.440892098500626e-16,5.309137393538147e-06,5.274976035539728
0.6918904008935756,0.69189040089357556,phi1_s0.01_g0,block256_1024_1279,1024,1279,256,3.141592653589793,1.0,0.01,0.0,8.033592636737928e-06,0.01998003409108165,-0.019975812245050406,0.019984255937112894,3.009270823702192e-06,6.661338147750939e-16,3.1008772378790685e-05,4.508515426915543
0.6918904008935756,0.69189040089357556,phi1_s0.01_g0,block256_1280_1535,1280,1535,256,3.141592653589793,1.0,0.01,0.0,1.3579624209898197e-05,0.01999970989182981,-0.019999468945601947,0.019999950838057667,2.504571750741961e-06,6.661338147750939e-16,1.6374304130831724e-05,4.785837147431536
0.6918904008935756,0.69189040089357556,phi1_s0.01_g0,block256_1536_1791,1536,1791,256,3.141592653589793,1.0,0.01,0.0,1.7879115913695505e-05,0.01999973492317622,-0.01999954666187043,0.019999923184482016,1.7699658339012151e-06,4.440892098500626e-16,1.991415857137599e-05,4.700838039017565
0.6918904008935756,0.69189040089357556,phi1_s0.01_g0,block256_1792_2047,1792,2047,256,3.141592653589793,1.0,0.01,0.0,2.0537396456577206e-05,0.0199997538093597,-0.019999618233033645,0.019999889385685754,8.728861294615607e-07,4.440892098500626e-16,2.165647322633981e-05,4.664412267149695
0.6918904008935756,0.69189040089357556,phi1_s0.01_g0,block256_2048_2303,2048,2303,256,3.141592653589793,1.0,0.01,0.0,2.1310449315738794e-05,0.019995821651299123,-0.019993932137614745,0.0199977111649835,1.0432004564277326e-07,4.440892098500626e-16,2.5593118062259283e-05,4.59187679989866
0.6918904008935756,0.69189040089357556,phi1_s0.01_g0,block256_2304_2559,2304,2559,256,3.141592653589793,1.0,0.01,0.0,2.0127312202727808e-05,0.01999976655037186,-0.019999683659067014,0.019999849441676706,1.0719501755264118e-06,8.881784197001252e-16,2.1432712006393285e-05,4.668922871660421
0.6918904008935756,0.69189040089357556,phi1_s0.01_g0,block256_2560_2815,2560,2815,256,3.141592653589793,1.0,0.01,0.0,1.709659103768244e-05,0.01999977314621179,-0.019999742939953876,0.019999803352469703,1.9411807759967015e-06,6.661338147750939e-16,1.9264625601888416e-05,4.715239426859332
0.6918904008935756,0.69189040089357556,phi1_s0.01_g0,block256_2816_3071,2816,3071,256,3.141592653589793,1.0,0.01,0.0,1.2496490482720642e-05,0.019999773596878656,-0.019999796075676587,0.019999751118080722,2.632220935156798e-06,4.440892098500626e-16,1.5355114539221777e-05,4.813746939652924
0.6918904008935756,0.69189040089357556,phi1_s0.01_g0,block256_3072_3327,3072,3327,256,3.141592653589793,1.0,0.01,0.0,6.749276180526517e-06,0.01999976790236782,-0.01999984306621516,0.01999969273852048,3.0816367098882635e-06,4.440892098500626e-16,1.0063010522594215e-05,4.997272073180963
0.6918904008935756,0.69189040089357556,phi1_s0.01_g0,block256_3328_3583,3328,3583,256,3.141592653589793,1.0,0.01,0.0,3.825129336927827e-07,0.01998471462036283,-0.019988402352040524,0.019981026888685135,3.2481740365546007e-06,4.440892098500626e-16,1.8916066607416607e-05,4.72316916541245
0.6918904008935756,0.69189040089357556,phi1_s0.01_g0,block256_3584_3839,3584,3839,256,3.141592653589793,1.0,0.01,0.0,-6.0193630390267304e-06,0.01999975606268642,-0.01999988391155977,0.01999962821381307,3.1165456425359337e-06,4.440892098500626e-16,9.379845995144047e-06,5.027804292112214
0.6918904008935756,0.69189040089357556,phi1_s0.01_g0,block256_3840_4095,3840,4095,256,3.141592653589793,1.0,0.01,0.0,-1.1868692350660587e-05,0.019999738077832393,-0.019999918611692587,0.0199995575439722,2.6988343395086963e-06,4.440892098500626e-16,1.4829448857776847e-05,4.828874989394688
0.6918904008935756,0.69189040089357556,phi1_s0.01_g0,block256_4096_4096,4096,4096,1,3.141592653589793,1.0,0.01,0.0,0.003067311788669924,0.0,0.003067311788669924,0.003067311788669924,0.0,0.0,0.023067311788669925,1.6370030142076295
