eps,residual,mu,global_closure,local_closure,rank,amp_min,amp_max,axis1,axis2,axis3,axis4,axis5,axis6,axis7,axis8,axis9,axis10,axis11,axis12,axis13,axis14
-0.900,1.608e-16,-0.933333333,1.167e-16,1.949e-17,14,0.081650,0.347455,0.490409603,0.490409603,0.472856223,0.472856223,0.414956746,0.414956746,0.337304976,0.337304976,0.283886218,0.283886218,0.261109204,0.261109204,0.220053841,0.220053841
-0.850,1.153e-16,-0.933333333,5.955e-17,1.837e-17,14,0.100000,0.343106,0.486840736,0.486840736,0.471626434,0.471626434,0.413071506,0.413071506,0.328661618,0.328661618,0.280332910,0.280332910,0.250172094,0.250172094,0.218668319,0.218668319
-0.800,9.790e-17,-0.933333333,2.539e-17,1.068e-17,14,0.115470,0.338701,0.483328421,0.483328421,0.470531903,0.470531903,0.411217909,0.411217909,0.319852343,0.319852343,0.276733981,0.276733981,0.238773519,0.238773519,0.217393110,0.217393110
-0.750,1.625e-16,-0.933333333,7.328e-17,1.430e-17,14,0.129099,0.334238,0.479877607,0.479877607,0.469575522,0.469575522,0.409397490,0.409397490,0.310875382,0.310875382,0.273087627,0.273087627,0.226857287,0.226857287,0.216234440,0.216234440
-0.700,2.895e-16,-0.933333333,1.239e-16,1.975e-17,14,0.141421,0.329715,0.476493487,0.476493487,0.468759868,0.468759868,0.407611821,0.407611821,0.301731512,0.301731512,0.269391922,0.269391922,0.215198247,0.215198247,0.214357967,0.214357967
-0.650,2.642e-16,-0.933333333,1.353e-16,2.217e-17,14,0.152753,0.325129,0.473181495,0.473181495,0.468087173,0.468087173,0.405862504,0.405862504,0.292425380,0.292425380,0.265644806,0.265644806,0.214290082,0.214290082,0.201201108,0.201201108
-0.600,2.579e-16,-0.933333333,5.290e-17,9.913e-18,14,0.163299,0.320477,0.469947301,0.469947301,0.467559303,0.467559303,0.404151171,0.404151171,0.282967444,0.282967444,0.261844074,0.261844074,0.213515004,0.213515004,0.187307388,0.187307388
-0.550,2.538e-16,-0.933333333,9.721e-17,1.828e-17,14,0.173205,0.315757,0.467177740,0.467177740,0.466796796,0.466796796,0.402479481,0.402479481,0.273376821,0.273376821,0.257987353,0.257987353,0.212877483,0.212877483,0.172608573,0.172608573
-0.500,1.706e-16,-0.933333333,8.989e-17,1.894e-17,14,0.182574,0.310965,0.466943565,0.466943565,0.463736085,0.463736085,0.400849117,0.400849117,0.263685468,0.263685468,0.254072096,0.254072096,0.212381299,0.212381299,0.157098986,0.157098986
-0.450,2.205e-16,-0.933333333,9.944e-17,1.795e-17,14,0.191485,0.306098,0.466857443,0.466857443,0.460771459,0.460771459,0.399261779,0.399261779,0.253944243,0.253944243,0.250095553,0.250095553,0.212029466,0.212029466,0.140996482,0.140996482
-0.400,2.065e-16,-0.933333333,8.338e-17,1.601e-17,14,0.200000,0.301152,0.466919620,0.466919620,0.457909379,0.457909379,0.397719184,0.397719184,0.246054753,0.246054753,0.244231592,0.244231592,0.211824155,0.211824155,0.125235937,0.125235937
-0.350,2.904e-16,-0.933333333,8.910e-17,1.765e-17,14,0.208167,0.296124,0.467129919,0.467129919,0.455156441,0.455156441,0.396223060,0.396223060,0.241946476,0.241946476,0.234665581,0.234665581,0.211766650,0.211766650,0.112718741,0.112718741
