eps,residual,mu,global_closure,local_closure,rank,amp_min,amp_max,axis1,axis2,axis3,axis4,axis5,axis6,axis7,axis8,axis9,axis10,axis11,axis12,axis13,axis14,axis15
-0.900,2.643e-16,-1.000000000,1.939e-16,2.890e-17,15,0.081650,0.354056,0.683787875,0.494373517,0.421591105,0.402977128,0.402971222,0.231490637,0.231135384,0.212074457,0.209614466,0.171819104,0.171538833,0.124021928,0.122393915,0.085589130,0.085224138
-0.850,2.488e-16,-1.000000000,1.807e-16,2.502e-17,15,0.100000,0.349421,0.683716901,0.482368100,0.407447980,0.399519079,0.399512558,0.229071762,0.228752480,0.210810525,0.208444114,0.172760845,0.172500405,0.128247019,0.126652017,0.094969590,0.094673085
-0.800,2.414e-16,-1.000000000,2.144e-16,2.979e-17,15,0.115470,0.344724,0.683649964,0.470056166,0.396153518,0.396152082,0.392787218,0.226628635,0.226343377,0.209527118,0.207259351,0.173684759,0.173442093,0.132335937,0.130776186,0.103416332,0.103175849
-0.750,3.301e-16,-1.000000000,1.575e-16,2.290e-17,15,0.129099,0.339962,0.683587066,0.457412964,0.392886667,0.392884584,0.377569604,0.224160085,0.223906905,0.208221354,0.206057500,0.174587517,0.174361085,0.136299150,0.134777693,0.111128107,0.110935536
-0.700,2.319e-16,-1.000000000,1.951e-16,3.220e-17,15,0.141421,0.335132,0.683528211,0.444410228,0.389734212,0.389732067,0.361708463,0.221664816,0.221441778,0.206889994,0.204835503,0.175465569,0.175254331,0.140145121,0.138665851,0.118235399,0.118084896
-0.650,2.294e-16,-1.000000000,2.040e-16,2.871e-17,15,0.152753,0.330232,0.683473402,0.431015428,0.386706953,0.386704976,0.345118777,0.219141389,0.218946571,0.205529386,0.203589860,0.176315090,0.176118485,0.143880467,0.142448218,0.124829130,0.124716006
-0.600,1.924e-16,-1.000000000,1.656e-16,2.136e-17,15,0.163299,0.325258,0.683422641,0.417190827,0.383817945,0.383816123,0.327690179,0.216588199,0.216419695,0.204135412,0.202316573,0.177131936,0.176949855,0.147510044,0.146130710,0.130975766,0.130895818
-0.550,2.107e-16,-1.000000000,1.764e-16,2.432e-17,15,0.173205,0.320206,0.683375932,0.402892263,0.381081013,0.381079193,0.309280948,0.214003435,0.213859363,0.202703436,0.201011069,0.177911626,0.177744364,0.151036984,0.149717629,0.136726042,0.136675111
-0.500,2.015e-16,-1.000000000,1.625e-16,2.416e-17,15,0.182574,0.315074,0.683333277,0.388067888,0.378510642,0.378508102,0.289704227,0.211385046,0.211263549,0.201228256,0.199668147,0.178649339,0.178497525,0.154462700,0.153211645,0.142120390,0.142094076
-0.450,1.613e-16,-1.000000000,1.220e-16,2.731e-17,15,0.191485,0.309857,0.683294677,0.376125788,0.376121825,0.372646918,0.268704976,0.208730684,0.208629935,0.199704067,0.198281920,0.179339934,0.179204440,0.157786903,0.156613722,0.147192504,0.147186024
-0.400,1.562e-16,-1.000000000,1.418e-16,3.041e-17,15,0.200000,0.304550,0.683260136,0.373930263,0.373929852,0.356570209,0.245919058,0.206037644,0.205955842,0.198124444,0.196845777,0.179978020,0.179859822,0.161007680,0.159923077,0.151979964,0.151971764
-0.350,2.224e-16,-1.000000000,1.485e-16,2.147e-17,15,0.208167,0.299149,0.683229653,0.371950137,0.371950035,0.339729942,0.220794017,0.203302783,0.203238148,0.196482352,0.195352379,0.180558042,0.180458061,0.164121692,0.163137201,0.156502402,0.156484854
-0.300,2.117e-16,-1.000000000,1.637e-16,2.114e-17,15,0.216025,0.293649,0.683203232,0.370197400,0.370197373,0.322009870,0.200522422,0.200473179,0.194770200,0.193793705,0.192415712,0.181074432,0.180993322,0.167124521,0.166252038,0.160778517,0.160756780
-0.250,1.770e-16,-1.000000000,9.207e-17,1.492e-17,15,0.223607,0.288044,0.683180874,0.368686169,0.368686162,0.303256032,0.197692219,0.197656572,0.192979951,0.192161096,0.181521788,0.181459700,0.170011201,0.169262387,0.164832792,0.164811378,0.159052253
-0.200,1.520e-16,-1.000000000,1.271e-16,1.817e-17,15,0.230940,0.282327,0.683162579,0.367429568,0.367429566,0.283263235,0.194807026,0.194783112,0.191103302,0.190445517,0.181895091,0.181851416,0.172776882,0.172162538,0.168689136,0.168671438,0.116496477
-0.150,1.593e-16,-1.000000000,1.390e-16,2.056e-17,15,0.238048,0.276493,0.683148348,0.366439167,0.366439167,0.261747754,0.191860703,0.191846523,0.189131944,0.188637730,0.182189949,0.182163050,0.175417551,0.174947087,0.172370632,0.172358549,0.042956236
-0.100,1.727e-16,-1.000000000,1.313e-16,2.289e-17,15,0.244949,0.270532,0.683138183,0.365724523,0.365724523,0.238297516,0.188845913,0.188839233,0.187057909,0.186728684,0.182402838,0.182389810,0.177930675,0.177611774,0.175899045,0.175892816,0.099402983
