eps,residual,mu,global_closure,local_closure,rank,amp_min,amp_max,axis1,axis2,axis3,axis4,axis5
-0.900,5.433e-17,-0.333333333,8.356e-17,2.861e-17,5,0.081650,0.339423,0.379108737,0.342803999,0.289606840,0.257756124,0.174096013
-0.850,8.363e-17,-0.333333333,1.041e-16,3.538e-17,5,0.100000,0.335427,0.377686902,0.337488382,0.289466772,0.256221172,0.163983873
-0.800,6.606e-17,-0.333333333,1.374e-16,5.419e-17,5,0.115470,0.331382,0.376327506,0.332213852,0.289310785,0.254695655,0.153037694
-0.750,6.983e-17,-0.333333333,1.677e-16,7.244e-17,5,0.129099,0.327288,0.375033556,0.327007992,0.289138095,0.253127777,0.141102002
-0.700,3.052e-17,-0.333333333,4.163e-17,1.430e-17,5,0.141421,0.323142,0.373808016,0.321906012,0.288948179,0.251461200,0.127934620
-0.650,5.973e-17,-0.333333333,1.032e-16,5.004e-17,5,0.152753,0.318942,0.372653778,0.316951930,0.288740837,0.249632916,0.113138516
-0.600,4.400e-17,-0.333333333,2.502e-17,1.552e-17,5,0.163299,0.314686,0.371573636,0.312199062,0.288516284,0.247571974,0.095995538
-0.550,5.147e-17,-0.333333333,9.021e-17,3.469e-17,5,0.173205,0.310372,0.370570246,0.307709004,0.288275246,0.245199821,0.074947593
-0.500,4.470e-17,-0.333333333,1.194e-16,4.178e-17,5,0.182574,0.305997,0.369646101,0.303548119,0.288019072,0.242433232,0.044846692
-0.450,7.001e-17,-0.333333333,9.335e-17,3.469e-17,5,0.191485,0.301558,0.368803496,0.299780947,0.287749866,0.239190371,0.039974724
-0.400,5.427e-17,-0.333333333,4.291e-17,1.552e-17,5,0.200000,0.297053,0.368044508,0.296461180,0.287470651,0.235399289,0.072152072
-0.350,3.641e-17,-0.333333333,9.470e-17,3.538e-17,5,0.208167,0.292479,0.367370969,0.293622769,0.287185557,0.231006298,0.093850597
-0.300,3.366e-17,-0.333333333,7.609e-17,3.273e-17,5,0.216025,0.287832,0.366784453,0.291274649,0.286900049,0.225980643,0.111350942
-0.250,9.357e-17,-0.333333333,5.648e-17,1.735e-17,5,0.223607,0.283108,0.366286269,0.289401379,0.286621223,0.220313172,0.126387088
-0.200,4.120e-17,-0.333333333,3.273e-17,1.552e-17,5,0.230940,0.278305,0.365877460,0.287969001,0.286358158,0.214009625,0.139734110
