eps,residual,mu,global_closure,local_closure,rank,amp_min,amp_max,axis1,axis2,axis3,axis4,axis5,axis6,axis7,axis8,axis9,axis10,axis11,axis12
0.250,2.148e-16,-0.800000000,4.537e-17,1.036e-17,12,0.241523,0.288675,0.436713751,0.436713751,0.404900076,0.404900076,0.365135247,0.365135247,0.263281157,0.263281157,0.224462193,0.224462193,0.178054423,0.178054423
0.300,1.177e-16,-0.800000000,3.849e-17,9.715e-18,12,0.238048,0.294392,0.437313775,0.437313775,0.405085824,0.405085824,0.365330067,0.365330067,0.275391545,0.275391545,0.226379809,0.226379809,0.171956592,0.171956592
0.350,7.276e-17,-0.800000000,7.401e-17,1.334e-17,12,0.234521,0.300000,0.438041120,0.438041120,0.405478863,0.405478863,0.365561566,0.365561566,0.287100641,0.287100641,0.228370525,0.228370525,0.165646464,0.165646464
0.400,1.295e-16,-0.800000000,6.161e-17,1.363e-17,12,0.230940,0.305505,0.438893885,0.438893885,0.406077390,0.406077390,0.365829534,0.365829534,0.298432362,0.298432362,0.230427924,0.230427924,0.159101944,0.159101944
0.450,2.337e-16,-0.800000000,1.735e-17,1.076e-17,12,0.227303,0.310913,0.439869877,0.439869877,0.406878691,0.406878691,0.366133731,0.366133731,0.309411769,0.309411769,0.232545884,0.232545884,0.152297328,0.152297328
0.500,1.424e-16,-0.800000000,4.345e-17,1.492e-17,12,0.223607,0.316228,0.440966628,0.440966628,0.407879185,0.407879185,0.366473885,0.366473885,0.320063313,0.320063313,0.234718601,0.234718601,0.145202665,0.145202665
0.550,2.596e-16,-0.800000000,6.672e-17,1.492e-17,12,0.219848,0.321455,0.442181423,0.442181423,0.409074485,0.409074485,0.366849695,0.366849695,0.330410028,0.330410028,0.236940599,0.236940599,0.137783192,0.137783192
0.600,1.018e-16,-0.800000000,9.192e-17,1.358e-17,12,0.216025,0.326599,0.443511323,0.443511323,0.410459473,0.410459473,0.367260832,0.367260832,0.340473214,0.340473214,0.239206737,0.239206737,0.129999151,0.129999151
0.650,1.342e-16,-0.800000000,8.424e-17,1.418e-17,12,0.212132,0.331662,0.444953189,0.444953189,0.412028376,0.412028376,0.367706939,0.367706939,0.350272369,0.350272369,0.241512214,0.241512214,0.121806920,0.121806920
0.700,2.606e-16,-0.800000000,7.121e-17,1.689e-17,12,0.208167,0.336650,0.446503709,0.446503709,0.413774859,0.413774859,0.368187631,0.368187631,0.359825251,0.359825251,0.243852557,0.243852557,0.113163944,0.113163944
0.750,2.014e-16,-0.800000000,6.939e-17,1.194e-17,12,0.204124,0.341565,0.448159425,0.448159425,0.415692109,0.415692109,0.369147994,0.369147994,0.368702499,0.368702499,0.246223619,0.246223619,0.104044531,0.104044531
0.800,2.113e-16,-0.800000000,1.268e-16,2.442e-17,12,0.200000,0.346410,0.449916758,0.449916758,0.417772932,0.417772932,0.378255252,0.378255252,0.369251111,0.369251111,0.248621561,0.248621561,0.094487301,0.094487301
0.850,1.280e-16,-0.800000000,7.021e-17,1.375e-17,12,0.195789,0.351188,0.451772035,0.451772035,0.420009841,0.420009841,0.387160337,0.387160337,0.369833011,0.369833011,0.251042847,0.251042847,0.084736404,0.084736404
0.900,7.681e-17,-0.800000000,8.803e-17,1.709e-17,12,0.191485,0.355903,0.453721511,0.453721511,0.422395145,0.422395145,0.395875362,0.395875362,0.370447721,0.370447721,0.253484219,0.253484219,0.075640360,0.075640360
