eps,residual,mu,global_closure,local_closure,rank,amp_min,amp_max,axis1,axis2,axis3,axis4,axis5,axis6,axis7
-0.900,8.042e-17,-0.466666667,1.199e-16,3.568e-17,7,0.081650,0.347455,0.449391763,0.381531383,0.335161110,0.301686381,0.241052508,0.156128816,0.154838476
-0.850,8.726e-17,-0.466666667,3.717e-17,2.053e-17,7,0.100000,0.343106,0.449154130,0.374696183,0.332789487,0.298263451,0.231246758,0.158683692,0.157592547
-0.800,5.466e-17,-0.466666667,2.230e-17,1.498e-17,7,0.115470,0.338701,0.448930638,0.367873000,0.330464336,0.294963037,0.220699985,0.161134058,0.160210359
-0.750,8.252e-17,-0.466666667,9.665e-17,2.103e-17,7,0.129099,0.334238,0.448721173,0.361096683,0.328191680,0.291702467,0.209384066,0.163478002,0.162673586
-0.700,1.128e-16,-0.466666667,1.264e-16,3.366e-17,7,0.141421,0.329715,0.448525632,0.354414580,0.325978158,0.288394360,0.197264329,0.165712908,0.164934999
-0.650,7.758e-17,-0.466666667,1.487e-16,3.717e-17,7,0.152753,0.325129,0.448343923,0.347889508,0.323831095,0.284942197,0.184417934,0.167835452,0.166788641
-0.600,5.574e-17,-0.466666667,5.018e-17,1.859e-17,7,0.163299,0.320477,0.448175964,0.341601794,0.321758562,0.281236496,0.173298034,0.169841606,0.165585257
-0.550,7.439e-17,-0.466666667,9.581e-17,2.763e-17,7,0.173205,0.315757,0.448021683,0.335648369,0.319769458,0.277153940,0.172544263,0.171726649,0.152382151
-0.500,5.114e-17,-0.466666667,8.281e-17,2.528e-17,7,0.182574,0.310965,0.447881013,0.330136204,0.317873582,0.272562277,0.173997448,0.173485182,0.134844000
-0.450,6.192e-17,-0.466666667,8.991e-17,3.736e-17,7,0.191485,0.306098,0.447753898,0.325168356,0.316081715,0.267332716,0.175533937,0.175111162,0.114200346
-0.400,6.117e-17,-0.466666667,7.435e-17,2.706e-17,7,0.200000,0.301152,0.447640288,0.320824956,0.314405709,0.261357389,0.176972969,0.176597948,0.088678322
-0.350,6.482e-17,-0.466666667,8.670e-17,2.903e-17,7,0.208167,0.296124,0.447540140,0.317146987,0.312858588,0.254563951,0.178270351,0.177938378,0.051666281
-0.300,3.779e-17,-0.466666667,7.218e-17,2.528e-17,7,0.216025,0.291009,0.447453417,0.314131523,0.311454657,0.246918526,0.179408141,0.179124867,0.050302809
-0.250,5.370e-17,-0.466666667,2.681e-17,1.051e-17,7,0.223607,0.285802,0.447380086,0.311740203,0.310209654,0.238415047,0.180376895,0.180149548,0.087901550
-0.200,5.088e-17,-0.466666667,5.056e-17,1.662e-17,7,0.230940,0.280499,0.447320122,0.309914580,0.309140941,0.229057133,0.181171163,0.181004434,0.113627414
-0.150,7.594e-17,-0.466666667,1.082e-16,2.909e-17,7,0.238048,0.275093,0.447273505,0.308590345,0.308267778,0.218840142,0.181788052,0.181681621,0.134443600
-0.100,6.060e-17,-0.466666667,6.854e-17,2.629e-17,7,0.244949,0.269580,0.447240218,0.307706394,0.307611707,0.207736770,0.182226674,0.182173523,0.152342979
-0.050,7.357e-17,-0.466666667,1.411e-16,3.325e-17,7,0.251661,0.263951,0.447220251,0.307208870,0.307197106,0.195684963,0.182487900,0.182473113,0.168223888
0.000,6.608e-17,-0.466666667,1.011e-16,3.176e-17,7,0.258199,0.258199,0.447213595,0.307051957,0.307051957,0.182574186,0.182574186,0.182574186,0.182574186
0.050,3.060e-17,-0.466666667,3.717e-17,1.051e-17,7,0.252316,0.264575,0.447220251,0.307208864,0.307197112,0.195684962,0.182489412,0.182471600,0.168223889
0.100,6.757e-17,-0.466666667,7.435e-17,1.753e-17,7,0.246293,0.270801,0.447240218,0.307706300,0.307611802,0.207736752,0.182238698,0.182161504,0.152342992
0.150,3.235e-17,-0.466666667,3.325e-17,1.051e-17,7,0.240119,0.276887,0.447273505,0.308589880,0.308268250,0.218840036,0.181828196,0.181641518,0.134443661
0.200,4.662e-17,-0.466666667,3.325e-17,1.340e-17,7,0.233781,0.282843,0.447320122,0.309913171,0.309142396,0.229056742,0.181264869,0.180910892,0.113627608
0.250,6.910e-17,-0.466666667,7.014e-17,2.103e-17,7,0.227268,0.288675,0.447380086,0.311736965,0.310213105,0.238413927,0.180556268,0.179970648,0.087902076
0.300,8.250e-17,-0.466666667,9.044e-17,3.717e-17,7,0.220561,0.294392,0.447453418,0.314125338,0.311461580,0.246915798,0.179710313,0.178823793,0.050304440
0.350,5.388e-17,-0.466666667,6.650e-17,1.804e-17,7,0.213645,0.300000,0.447540143,0.317136682,0.312870953,0.254558047,0.178735096,0.177475828,0.051663758
0.400,8.010e-17,-0.466666667,5.361e-17,1.662e-17,7,0.206497,0.305505,0.447640297,0.320809543,0.314425986,0.261345790,0.177638705,0.175936177,0.088676107
0.450,9.410e-17,-0.466666667,4.702e-17,1.115e-17,7,0.199092,0.310913,0.447753917,0.325147229,0.316112858,0.267311777,0.176429086,0.174222907,0.114197472
0.500,9.807e-17,-0.466666667,4.206e-17,1.533e-17,7,0.191401,0.316228,0.447881054,0.330109183,0.317919008,0.272527248,0.175113922,0.172382426,0.134837192
0.550,9.300e-17,-0.466666667,8.921e-17,3.299e-17,7,0.183388,0.321455,0.448021765,0.335615583,0.319833007,0.277099196,0.173700556,0.170625816,0.152337061
0.600,5.218e-17,-0.466666667,9.521e-17,2.494e-17,7,0.175008,0.326599,0.448176121,0.341563488,0.321844459,0.281155894,0.172195925,0.172051556,0.164491536
0.650,3.257e-17,-0.466666667,4.206e-17,1.859e-17,7,0.166207,0.331662,0.448344209,0.347845866,0.323943909,0.284829460,0.184210614,0.170606529,0.164242492
0.700,8.063e-17,-0.466666667,1.436e-16,4.522e-17,7,0.156912,0.336650,0.448526134,0.354365626,0.326122766,0.288243455,0.197146327,0.168938410,0.161847432
0.750,8.551e-17,-0.466666667,9.044e-17,2.997e-17,7,0.147031,0.341565,0.448722028,0.361042227,0.328373226,0.291508017,0.209279860,0.167197150,0.159078376
0.800,5.460e-17,-0.466666667,6.650e-17,3.176e-17,7,0.136437,0.346410,0.448932060,0.367812616,0.330688207,0.294720812,0.220589788,0.165387878,0.156081754
0.850,7.478e-17,-0.466666667,1.192e-16,4.889e-17,7,0.124947,0.351188,0.449156444,0.374629188,0.333061286,0.297971004,0.231118645,0.163515289,0.152892064
0.900,8.637e-17,-0.466666667,1.072e-16,3.176e-17,7,0.112288,0.355903,0.449395467,0.381456786,0.335486637,0.301343835,0.240894772,0.161583659,0.149521230
