eps,residual,mu,global_closure,local_closure,rank,amp_min,amp_max,axis1,axis2,axis3,axis4,axis5,axis6,axis7,axis8,axis9,axis10
0.300,9.561e-17,-0.666666667,1.232e-16,2.341e-17,10,0.224692,0.294392,0.385982296,0.385982296,0.376753179,0.376753179,0.341055660,0.341055660,0.260503056,0.260503056,0.241157714,0.241157714
0.350,2.598e-16,-0.666666667,5.148e-17,1.444e-17,10,0.218608,0.300000,0.384880722,0.384880722,0.378303872,0.378303872,0.341088724,0.341088724,0.266987131,0.266987131,0.248489155,0.248489155
0.400,2.287e-16,-0.666666667,8.564e-17,2.047e-17,10,0.212351,0.305505,0.383909157,0.383909157,0.380070210,0.380070210,0.341125621,0.341125621,0.273317437,0.273317437,0.255908997,0.255908997
0.450,2.033e-16,-0.666666667,6.059e-17,1.365e-17,10,0.205903,0.310913,0.383070626,0.383070626,0.382043124,0.382043124,0.341166348,0.341166348,0.279504419,0.279504419,0.263362843,0.263362843
0.500,2.069e-16,-0.666666667,5.768e-17,1.212e-17,10,0.199247,0.316228,0.384212909,0.384212909,0.382367796,0.382367796,0.341210901,0.341210901,0.285557393,0.285557393,0.270810469,0.270810469
0.550,1.231e-16,-0.666666667,8.699e-17,1.969e-17,10,0.192361,0.321455,0.386569385,0.386569385,0.381802942,0.381802942,0.341259276,0.341259276,0.291484705,0.291484705,0.278222524,0.278222524
0.600,1.254e-16,-0.666666667,7.823e-17,2.012e-17,10,0.185219,0.326599,0.389102051,0.389102051,0.381377917,0.381377917,0.341311466,0.341311466,0.297293873,0.297293873,0.285577893,0.285577893
0.650,1.173e-16,-0.666666667,1.305e-16,2.958e-17,10,0.177790,0.331662,0.391800230,0.391800230,0.381094132,0.381094132,0.341367468,0.341367468,0.302991689,0.302991689,0.292861657,0.292861657
0.700,1.206e-16,-0.666666667,7.629e-17,1.561e-17,10,0.170037,0.336650,0.394653200,0.394653200,0.380952537,0.380952537,0.341427275,0.341427275,0.308584322,0.308584322,0.300063532,0.300063532
0.750,2.876e-16,-0.666666667,1.641e-16,3.804e-17,10,0.161913,0.341565,0.397650313,0.397650313,0.380953608,0.380953608,0.341490882,0.341490882,0.314077390,0.314077390,0.307176693,0.307176693
0.800,1.876e-16,-0.666666667,4.758e-17,1.617e-17,10,0.153359,0.346410,0.400781092,0.400781092,0.381097341,0.381097341,0.341558282,0.341558282,0.319476028,0.319476028,0.314196882,0.314196882
0.850,1.231e-16,-0.666666667,8.463e-17,2.215e-17,10,0.144300,0.351188,0.404035320,0.404035320,0.381383254,0.381383254,0.341629468,0.341629468,0.324784945,0.324784945,0.321121748,0.321121748
0.900,8.784e-17,-0.666666667,3.861e-17,1.617e-17,10,0.134632,0.355903,0.407403104,0.407403104,0.381810389,0.381810389,0.341704434,0.341704434,0.330008471,0.330008471,0.327950343,0.327950343
