step,edge_index,theta,relative_theta_over_pi_mod_pi,amplitude
0,0,-1.9894923627939807,0.0,0.28867513459481337
0,1,1.1521002907957905,-7.067899292141148e-15,0.2886751345948127
0,2,2.722896617590699,0.4999999999999969,0.3086066999241838
0,3,2.7228966175906977,0.49999999999999634,0.30860669992418416
0,4,2.7228966175906977,0.49999999999999634,0.46291004988627515
0,5,1.1521002907960802,8.538022344906507e-14,0.28867513459482014
0,6,1.1521002907955122,-9.555799842974833e-14,0.2886751345948052
0,7,-1.9894923627942702,-9.216540676952058e-14,0.28867513459480526
0,8,1.15210029079609,8.820738316592153e-14,0.2886751345948207
0,9,2.7228966175906977,0.49999999999999634,0.30860669992418394
1,0,-1.826567211452837,0.0,0.2886751345948132
1,1,1.3150254421369343,-6.785183320455502e-15,0.2886751345948129
1,2,2.8858217689318426,0.4999999999999969,0.3086066999241838
1,3,2.8858217689318413,0.49999999999999634,0.30860669992418416
1,4,2.8858217689318417,0.4999999999999966,0.4629100498862751
1,5,1.315025442137221,8.424935956232248e-14,0.2886751345948157
1,6,1.315025442136659,-9.442713454300575e-14,0.2886751345948099
1,7,-1.8265672114531233,-9.11052218756994e-14,0.28867513459480976
1,8,1.3150254421372307,8.73592352508646e-14,0.28867513459481603
1,9,2.8858217689318417,0.4999999999999966,0.30860669992418394
2,0,-1.6636420601116935,0.0,0.28867513459481303
2,1,1.477950593478078,-6.785183320455502e-15,0.2886751345948131
2,2,3.048746920272986,0.4999999999999969,0.3086066999241838
2,3,3.048746920272985,0.49999999999999634,0.30860669992418416
2,4,3.0487469202729853,0.4999999999999966,0.46291004988627504
2,5,1.4779505934783643,8.424935956232248e-14,0.28867513459481126
2,6,1.477950593477803,-9.442713454300575e-14,0.2886751345948145
2,7,-1.6636420601119792,-9.096386388985657e-14,0.28867513459481414
2,8,1.4779505934783739,8.73592352508646e-14,0.2886751345948115
2,9,3.0487469202729853,0.4999999999999966,0.30860669992418394
3,0,-1.5007169087705499,0.0,0.28867513459481287
3,1,1.6408757448192215,-6.785183320455502e-15,0.2886751345948132
3,2,-3.0715132355654564,0.4999999999999969,0.3086066999241838
3,3,-3.071513235565458,0.49999999999999634,0.3086066999241841
3,4,-3.071513235565457,0.4999999999999966,0.4629100498862751
3,5,1.6408757448195102,8.481479150569378e-14,0.288675134594807
3,6,1.6408757448189446,-9.499256648637704e-14,0.28867513459481897
3,7,-1.5007169087708374,-9.152929583322788e-14,0.2886751345948184
3,8,1.6408757448195197,8.792466719423589e-14,0.288675134594807
3,9,-3.0715132355654577,0.49999999999999634,0.30860669992418394
4,0,-1.337791757429406,0.0,0.2886751345948127
4,1,1.8038008961603649,-7.067899292141148e-15,0.28867513459481337
4,2,-2.908588084224313,0.4999999999999967,0.30860669992418377
4,3,-2.9085880842243146,0.49999999999999617,0.3086066999241841
4,4,-2.908588084224313,0.4999999999999967,0.4629100498862751
4,5,1.8038008961606582,8.622837136412201e-14,0.2886751345948027
4,6,1.8038008961600835,-9.668886231649091e-14,0.2886751345948234
4,7,-1.3377917574296982,-9.301355468457751e-14,0.28867513459482275
4,8,1.803800896160668,8.933824705266412e-14,0.28867513459480254
4,9,-2.908588084224314,0.49999999999999634,0.30860669992418394
5,0,-1.1748666060882624,0.0,0.2886751345948125
5,1,1.9667260475015083,-7.067899292141148e-15,0.2886751345948135
5,2,-2.745662932883169,0.4999999999999967,0.3086066999241837
5,3,-2.745662932883171,0.49999999999999617,0.3086066999241841
5,4,-2.745662932883169,0.4999999999999967,0.46291004988627515
5,5,1.966726047501809,8.849009913760718e-14,0.2886751345947984
5,6,1.96672604750122,-9.895059008997608e-14,0.28867513459482785
5,7,-1.1748666060885613,-9.513392447221986e-14,0.288675134594827
5,8,1.9667260475018187,9.159997482614929e-14,0.28867513459479804
5,9,-2.7456629328831705,0.49999999999999634,0.308606699924184
6,0,-1.0119414547471184,0.0,0.28867513459481225
6,1,2.1296511988426516,-7.350615263826794e-15,0.28867513459481364
6,2,-2.582737781542025,0.4999999999999967,0.3086066999241837
6,3,-2.5827377815420274,0.49999999999999606,0.3086066999241841
6,4,-2.582737781542025,0.4999999999999967,0.4629100498862752
6,5,2.1296511988429616,9.131725885446364e-14,0.288675134594794
6,6,2.129651198842354,-1.0206046577851819e-13,0.28867513459483235
6,7,-1.0119414547474268,-9.817312116784056e-14,0.28867513459483135
6,8,2.1296511988429723,9.470985051469139e-14,0.28867513459479355
6,9,-2.582737781542027,0.49999999999999617,0.308606699924184
7,0,-0.8490163034059743,0.0,0.28867513459481203
7,1,2.292576350183795,-7.63333123551244e-15,0.2886751345948138
7,2,-2.4198126302008816,0.4999999999999966,0.3086066999241837
7,3,-2.4198126302008838,0.4999999999999959,0.30860669992418416
7,4,-2.419812630200881,0.4999999999999967,0.4629100498862753
7,5,2.2925763501841177,9.499256648637704e-14,0.2886751345947895
7,6,2.2925763501834853,-1.0630120535380287e-13,0.28867513459483696
7,7,-0.849016303406295,-1.0206046577851819e-13,0.28867513459483574
7,8,2.2925763501841283,9.838515814660479e-14,0.28867513459478894
7,9,-2.4198126302008833,0.49999999999999606,0.308606699924184
8,0,-0.6860911520648301,0.0,0.28867513459481187
8,1,2.455501501524938,-7.916047207198087e-15,0.2886751345948139
8,2,-2.2568874788597375,0.4999999999999966,0.3086066999241837
8,3,-2.25688747885974,0.4999999999999958,0.30860669992418416
8,4,-2.2568874788597375,0.4999999999999966,0.4629100498862755
8,5,2.4555015015252755,9.951602203334737e-14,0.28867513459478494
8,6,2.455501501524614,-1.1110737687245885e-13,0.28867513459484173
8,7,-0.6860911520651656,-1.0679595830425275e-13,0.2886751345948403
8,8,2.455501501525287,1.0319132966526077e-13,0.28867513459478417
8,9,-2.2568874788597397,0.4999999999999958,0.308606699924184
9,0,-0.5231660007236858,0.0,0.28867513459481164
9,1,2.618426652866081,-8.481479150569379e-15,0.2886751345948141
9,2,-2.093962327518594,0.49999999999999634,0.3086066999241837
9,3,-2.0939623275185966,0.4999999999999955,0.30860669992418416
9,4,-2.093962327518594,0.49999999999999634,0.4629100498862756
9,5,2.6184266528664364,1.04604909523689e-13,0.28867513459478017
9,6,2.61842665286574,-1.1704441227785742e-13,0.28867513459484667
9,7,-0.5231660007240386,-1.1230891975212285e-13,0.28867513459484495
9,8,2.6184266528664484,1.0856293312728804e-13,0.2886751345947792
9,9,-2.093962327518596,0.4999999999999956,0.30860669992418394
10,0,-0.36024084938254125,0.0,0.2886751345948114
10,1,2.7813518042072243,-8.764195122255024e-15,0.28867513459481425
10,2,-1.9310371761774505,0.49999999999999606,0.30860669992418366
10,3,-1.931037176177453,0.49999999999999517,0.30860669992418416
10,4,-1.9310371761774499,0.49999999999999617,0.4629100498862757
10,5,2.7813518042076,1.108246609007732e-13,0.28867513459477523
10,6,2.7813518042068637,-1.2354687962662728e-13,0.2886751345948518
10,7,-0.36024084938291445,-1.188113871008927e-13,0.2886751345948499
10,8,2.7813518042076124,1.1478268450437226e-13,0.28867513459477406
10,9,-1.9310371761774527,0.49999999999999517,0.30860669992418394
11,0,-0.19731569804139662,0.0,0.2886751345948112
11,1,2.944276955548367,-9.329627065626316e-15,0.2886751345948145
11,2,-1.7681120248363067,0.4999999999999958,0.30860669992418366
11,3,-1.7681120248363094,0.4999999999999949,0.30860669992418416
11,4,-1.7681120248363063,0.4999999999999958,0.4629100498862758
11,5,2.9442769555487667,1.1789256019291437e-13,0.28867513459477007
11,6,2.9442769555479837,-1.3118021086213972e-13,0.2886751345948572
11,7,-0.1973156980417931,-1.262326813576409e-13,0.28867513459485505
11,8,2.9442769555487796,1.2213329976819903e-13,0.2886751345947687
11,9,-1.7681120248363091,0.4999999999999949,0.3086066999241839
12,0,-0.0343905467002518,0.0,0.288675134594811
12,1,3.10720210688951,-9.895059008997608e-15,0.2886751345948147
12,2,-1.605186873495163,0.49999999999999534,0.30860669992418366
12,3,-1.6051868734951658,0.4999999999999945,0.3086066999241841
12,4,-1.6051868734951626,0.4999999999999955,0.4629100498862759
12,5,3.107202106889936,1.2552589142842678e-13,0.28867513459476457
12,6,3.1072021068891007,-1.402271219560804e-13,0.2886751345948629
12,7,-0.034390546700674755,-1.3464348151528888e-13,0.28867513459486055
12,8,3.1072021068899502,1.3004934697539714e-13,0.288675134594763
12,9,-1.6051868734951655,0.4999999999999946,0.3086066999241838
13,0,0.12853460464089309,0.0,0.28867513459481076
13,1,-3.013058048948934,-1.0743206924054545e-14,0.2886751345948149
13,2,-1.4422617221540193,0.4999999999999949,0.30860669992418366
13,3,-1.4422617221540222,0.49999999999999406,0.3086066999241841
13,4,-1.442261722154019,0.49999999999999506,0.46291004988627593
13,5,-3.0130580489484777,1.3443144453652465e-13,0.2886751345947588
13,6,-3.0130580489493717,-1.50122180965078e-13,0.28867513459486893
13,7,0.12853460464044036,-1.44114466566758e-13,0.2886751345948663
13,8,-3.0130580489484626,1.3923761605518063e-13,0.288675134594757
13,9,-1.4422617221540217,0.4999999999999942,0.30860669992418377
14,0,0.29145975598203816,0.0,0.2886751345948105
14,1,-2.850132897607791,-1.1449996853268661e-14,0.28867513459481514
14,2,-1.2793365708128754,0.4999999999999946,0.30860669992418355
14,3,-1.2793365708128785,0.4999999999999935,0.30860669992418405
14,4,-1.2793365708128754,0.4999999999999946,0.462910049886276
14,5,-2.8501328976073017,1.4432650354552224e-13,0.28867513459475264
14,6,-2.8501328976082614,-1.611481038608182e-13,0.28867513459487537
14,7,0.29145975598155216,-1.5471631550496974e-13,0.2886751345948725
14,8,-2.8501328976072857,1.4941539103586388e-13,0.28867513459475064
14,9,-1.279336570812878,0.4999999999999938,0.3086066999241837
15,0,0.4543849073231833,0.0,0.28867513459481026
15,1,-2.687207746266649,-1.2439502754168421e-14,0.28867513459481536
15,2,-1.1164114194717318,0.49999999999999406,0.3086066999241835
15,3,-1.116411419471735,0.49999999999999306,0.30860669992418405
15,4,-1.1164114194717318,0.49999999999999406,0.46291004988627604
15,5,-2.6872077462661217,1.5535242644126243e-13,0.28867513459474603
15,6,-2.687207746267155,-1.735876066149866e-13,0.28867513459488225
15,7,0.4543849073226602,-1.6651970732284547e-13,0.28867513459487915
15,8,-2.687207746266105,1.607240299032897e-13,0.28867513459474387
15,9,-1.1164114194717343,0.4999999999999932,0.3086066999241836
16,0,0.6173100586643286,0.0,0.28867513459481003
16,1,-2.5242825949255066,-1.3429008655068182e-14,0.28867513459481564
16,2,-0.9534862681305879,0.4999999999999936,0.3086066999241834
16,3,-0.9534862681305915,0.4999999999999925,0.308606699924184
16,4,-0.9534862681305883,0.4999999999999935,0.46291004988627604
16,5,-2.5242825949249386,1.6736785523790239e-13,0.288675134594739
16,6,-2.524282594926053,-1.8729933124174042e-13,0.2886751345948897
16,7,0.6173100586637643,-1.7966600000622798e-13,0.28867513459488625
16,8,-2.52428259492492,1.7330489064330097e-13,0.28867513459473654
16,9,-0.9534862681305903,0.49999999999999295,0.3086066999241835
17,0,0.7802352100054741,0.0,0.28867513459480976
17,1,-2.3613574435843647,-1.4559872541810765e-14,0.288675134594816
17,2,-0.790561116789444,0.4999999999999932,0.3086066999241833
17,3,-0.7905611167894477,0.49999999999999195,0.30860669992418394
17,4,-0.7905611167894447,0.49999999999999295,0.4629100498862761
17,5,-2.361357443583751,1.8079686389297056e-13,0.2886751345947314
17,6,-2.3613574435849545,-2.0228327774107967e-13,0.28867513459489763
17,7,0.7802352100048643,-1.9408451456219592e-13,0.28867513459489386
17,8,-2.3613574435837306,1.8729933124174042e-13,0.2886751345947287
17,9,-0.7905611167894464,0.49999999999999234,0.3086066999241834
18,0,0.9431603613466197,0.0,0.2886751345948095
18,1,-2.198432292243223,-1.5832094414396174e-14,0.2886751345948163
18,2,-0.6276359654483001,0.4999999999999927,0.30860669992418327
18,3,-0.6276359654483039,0.4999999999999914,0.30860669992418394
18,4,-0.6276359654483011,0.49999999999999223,0.4629100498862761
18,5,-2.198432292242559,1.95639452406467e-13,0.2886751345947232
18,6,-2.1984322922438615,-2.191048780563756e-13,0.2886751345949062
18,7,0.9431603613459598,-2.1005796696243493e-13,0.28867513459490207
18,8,-2.198432292242537,2.0270735169860813e-13,0.2886751345947202
18,9,-0.6276359654483025,0.4999999999999918,0.3086066999241833
19,0,1.1060855126877656,0.0,0.28867513459480915
19,1,-2.035507140902081,-1.6962958301138757e-14,0.2886751345948167
19,2,-0.4647108141071561,0.49999999999999206,0.30860669992418316
19,3,-0.4647108141071602,0.4999999999999907,0.3086066999241839
19,4,-0.46471081410715753,0.4999999999999915,0.4629100498862761
