step,max_abs_phase_increment_over_pi,mean_abs_phase_increment_over_pi,max_rat_err_q_le_256,median_rat_err_q_le_256,smallest_global_q_tol_1e10,best_denominators,dtheta_edge_0_over_pi,dtheta_edge_1_over_pi,dtheta_edge_2_over_pi,dtheta_edge_3_over_pi,dtheta_edge_4_over_pi,dtheta_edge_5_over_pi,dtheta_edge_6_over_pi,dtheta_edge_7_over_pi,dtheta_edge_8_over_pi,dtheta_edge_9_over_pi,increment_std_over_pi,increment_mean_signed_over_pi
1,0.0518606863798774,0.0518606863798763,8.834528025573885e-06,8.834528024442845e-06,,135,0.0518606863798762,0.0518606863798762,0.0518606863798762,0.0518606863798762,0.0518606863798764,0.0518606863798754,0.0518606863798772,0.0518606863798774,0.0518606863798754,0.0518606863798764,6.42475630145451e-16,0.0518606863798763
2,0.0518606863798764,0.0518606863798763,8.834528024581623e-06,8.834528024442845e-06,,135,0.0518606863798762,0.0518606863798762,0.0518606863798762,0.0518606863798762,0.0518606863798762,0.0518606863798762,0.0518606863798764,0.0518606863798764,0.0518606863798761,0.0518606863798762,9.32385852356627e-17,0.05186068637987623
3,0.051860686379877,0.0518606863798763,8.834528025150612e-06,8.834528024442845e-06,,135,0.0518606863798762,0.0518606863798762,0.0518606863798762,0.0518606863798762,0.0518606863798762,0.051860686379877,0.0518606863798757,0.0518606863798757,0.051860686379877,0.0518606863798762,4.3934152873454797e-16,0.051860686379876265
4,0.0518606863798777,0.0518606863798763,8.834528025858379e-06,8.834528024442845e-06,,135,0.0518606863798762,0.0518606863798762,0.0518606863798762,0.0518606863798762,0.0518606863798764,0.0518606863798777,0.0518606863798748,0.0518606863798748,0.0518606863798777,0.0518606863798762,9.686656125337893e-16,0.051860686379876245
5,0.0518606863798785,0.0518606863798763,8.834528026704924e-06,8.834528024442845e-06,,135,0.0518606863798762,0.0518606863798762,0.0518606863798762,0.0518606863798762,0.0518606863798762,0.0518606863798785,0.051860686379874,0.0518606863798741,0.0518606863798785,0.0518606863798762,1.4832651052188738e-15,0.05186068637987623
6,0.0518606863798794,0.0518606863798763,8.83452802755147e-06,8.834528024512234e-06,,135,0.0518606863798764,0.0518606863798762,0.0518606863798764,0.0518606863798762,0.0518606863798764,0.0518606863798791,0.0518606863798731,0.0518606863798734,0.0518606863798794,0.0518606863798762,2.0049307922896063e-15,0.051860686379876286
7,0.0518606863798802,0.0518606863798763,8.834528028398014e-06,8.834528024442845e-06,,135,0.0518606863798764,0.0518606863798761,0.0518606863798762,0.0518606863798762,0.0518606863798764,0.0518606863798802,0.0518606863798723,0.0518606863798726,0.0518606863798802,0.0518606863798762,2.5852592492084478e-15,0.05186068637987627
8,0.0518606863798811,0.0518606863798763,8.834528029251498e-06,8.834528024442845e-06,,135,0.0518606863798765,0.0518606863798761,0.0518606863798764,0.0518606863798762,0.0518606863798762,0.0518606863798808,0.0518606863798716,0.0518606863798717,0.0518606863798811,0.0518606863798762,3.1023573141820994e-15,0.051860686379876286
9,0.0518606863798819,0.0518606863798763,8.834528030098043e-06,8.834528024442845e-06,,135,0.0518606863798765,0.0518606863798761,0.0518606863798762,0.0518606863798762,0.0518606863798762,0.0518606863798818,0.0518606863798706,0.0518606863798709,0.0518606863798819,0.0518606863798762,3.701891768749593e-15,0.051860686379876265
10,0.0518606863798827,0.0518606863798763,8.834528030944588e-06,8.834528024442845e-06,,135,0.0518606863798765,0.0518606863798761,0.0518606863798762,0.0518606863798762,0.0518606863798764,0.0518606863798826,0.0518606863798699,0.05186068637987,0.0518606863798827,0.0518606863798762,4.234366788800217e-15,0.051860686379876286
