fd_eps,rank,eig_re,eig_im,modulus,log_modulus_per_step
3e-06,1,1.0900865691127428,0.0,1.0900865691127428,0.08625711429170667
3e-06,2,1.090086569108282,0.0,1.090086569108282,0.08625711428761446
3e-06,3,1.0526032122811224,0.0,1.0526032122811224,0.05126634569150398
3e-06,4,1.052603212274585,0.0,1.052603212274585,0.051266345685293244
3e-06,5,1.0000000000017355,0.0,1.0000000000017355,1.7355006320925388e-12
3e-06,6,0.9473788747478731,0.320114460277164,0.9999999999985432,-1.4568346529141917e-12
3e-06,7,0.9473788747478731,-0.320114460277164,0.9999999999985432,-1.4568346529141917e-12
3e-06,8,0.9867570305630151,-0.1622053101015713,0.9999999999953432,-4.656830476801062e-12
3e-06,9,0.9867570305630151,0.1622053101015713,0.9999999999953432,-4.656830476801062e-12
3e-06,10,0.9999999999828436,0.0,0.9999999999828436,-1.7156387421982177e-11
3e-06,11,0.9902963630291207,0.11060944111352031,0.9964543818420136,-0.0035519187594742767
3e-06,12,0.9902963630291207,-0.11060944111352031,0.9964543818420136,-0.0035519187594742767
3e-06,13,0.9821870075391113,-0.14384497951763614,0.9926644427554878,-0.007362594749143366
3e-06,14,0.9821870075391113,0.14384497951763614,0.9926644427554878,-0.007362594749143366
3e-06,15,0.9821870075364924,-0.14384497952309402,0.9926644427536876,-0.007362594750956896
3e-06,16,0.9821870075364924,0.14384497952309402,0.9926644427536876,-0.007362594750956896
3e-06,17,0.9437568687981369,0.0,0.9437568687981369,-0.05788670024868717
3e-06,18,0.9437568687879971,0.0,0.9437568687879971,-0.057886700259431226
3e-06,19,0.9011241543262799,0.0,0.9011241543262799,-0.10411223472222103
3e-06,20,0.901124154316586,0.0,0.901124154316586,-0.1041122347329786
1e-06,1,1.0900865691029737,0.0,1.0900865691029737,0.08625711428274493
1e-06,2,1.0900865690874784,0.0,1.0900865690874784,0.08625711426853011
1e-06,3,1.0526032122843434,0.0,1.0526032122843434,0.051266345694563994
1e-06,4,1.0526032122318096,0.0,1.0526032122318096,0.05126634564465558
1e-06,5,0.9473788747452775,0.3201144602754677,0.9999999999955411,-4.4588777115094944e-12
1e-06,6,0.9473788747452775,-0.3201144602754677,0.9999999999955411,-4.4588777115094944e-12
1e-06,7,0.9999999999926754,0.0,0.9999999999926754,-7.324585382688833e-12
1e-06,8,0.9999999999768261,0.0,0.9999999999768261,-2.317390723787433e-11
