protocol,kind,duration,final_delta_A,final_delta_B,integrated_from_C_A,integrated_from_C_B,integrated_error_A,integrated_error_B,R_weighted_integrated_balance
ramp_duration_1,ramp,1,9.963414634146351e-08,-6.376585365853663e-08,9.963414634146351e-08,-6.376585365853663e-08,0.0,0.0,2.6469779601696886e-23
ramp_duration_2,ramp,2,9.847560975609765e-08,-6.302439024390248e-08,9.847560975609765e-08,-6.302439024390248e-08,0.0,0.0,1.3234889800848443e-23
ramp_duration_4,ramp,4,9.615853658536593e-08,-6.154146341463419e-08,9.615853658536593e-08,-6.154146341463419e-08,0.0,0.0,1.3234889800848443e-23
ramp_duration_8,ramp,8,9.15243902439025e-08,-5.8575609756097607e-08,9.15243902439025e-08,-5.8575609756097607e-08,0.0,0.0,0.0
ramp_duration_16,ramp,16,8.225609756097565e-08,-5.264390243902443e-08,8.225609756097565e-08,-5.264390243902443e-08,0.0,0.0,-1.3234889800848443e-23
ramp_duration_32,ramp,32,6.371951219512195e-08,-4.078048780487807e-08,6.371951219512195e-08,-4.078048780487807e-08,0.0,0.0,-2.6469779601696886e-23
restart_stable_final_C,stable_restart,0,1.1121951219512208e-07,-7.11804878048781e-08,1.1121951219512208e-07,-7.11804878048781e-08,0.0,0.0,3.970466940254533e-23
down_quench_from_final_C,down_quench,1,1.1585365853658536e-08,-7.4146341463414634e-09,1.1585365853658536e-08,-7.4146341463414634e-09,0.0,0.0,0.0
overshoot_relax_to_final_C,overshoot_relax,16,1.0357317073170742e-07,-6.628682926829273e-08,1.0357317073170742e-07,-6.628682926829273e-08,0.0,0.0,2.6469779601696886e-23
