protocol,kind,duration,row_count,active_row_count,max_chi_curvature_Ra_abs,max_p_change_Ra_abs,max_g1_slope_Ra_abs,max_chi_minus_p_error_abs,max_chi_minus_g1_error_abs,max_p_minus_g1_error_abs,A_active_sign_match_chi_p_g1,B_active_sign_match_chi_p_g1,A_B_opposite_when_active,integrated_error_A_abs,integrated_error_B_abs,R_weighted_integrated_balance_abs
ramp_duration_1,ramp,1,92,2,2.3170731707317074e-09,2.3170731707317074e-09,2.3170731707317074e-09,1.0339757656912846e-23,1.0339757656912846e-23,0.0,True,True,True,0.0,0.0,2.6469779601696886e-23
ramp_duration_2,ramp,2,92,4,1.1585365853658537e-09,1.1585365853658537e-09,1.1585365853658537e-09,1.0339757656912846e-23,1.0339757656912846e-23,0.0,True,True,True,0.0,0.0,1.3234889800848443e-23
ramp_duration_4,ramp,4,92,8,5.792682926829273e-10,5.792682926829271e-10,5.79268292682927e-10,1.0339757656912846e-23,1.0339757656912846e-23,1.0339757656912846e-25,True,True,True,0.0,0.0,1.3234889800848443e-23
ramp_duration_8,ramp,8,92,16,2.8963414634146374e-10,2.8963414634146374e-10,2.896341463414635e-10,6.617444900424222e-24,6.617444900424222e-24,2.5849394142282115e-25,True,True,True,0.0,0.0,0.0
ramp_duration_16,ramp,16,92,32,1.448170731707329e-10,1.4481707317073208e-10,1.4481707317073187e-10,6.617444900424222e-24,6.617444900424222e-24,3.618915179919496e-25,True,True,True,0.0,0.0,1.3234889800848443e-23
ramp_duration_32,ramp,32,92,64,7.240853658536852e-11,7.240853658536626e-11,7.240853658536606e-11,6.617444900424222e-24,6.617444900424222e-24,4.3943970041879595e-25,True,True,True,0.0,0.0,2.6469779601696886e-23
restart_stable_final_C,stable_restart,0,92,0,1.0339757656912846e-23,0.0,0.0,1.0339757656912846e-23,1.0339757656912846e-23,0.0,True,True,True,0.0,0.0,3.970466940254533e-23
down_quench_from_final_C,down_quench,1,92,2,2.3170731707317074e-09,2.3170731707317074e-09,2.3170731707317074e-09,8.271806125530277e-25,8.271806125530277e-25,0.0,True,True,True,0.0,0.0,0.0
overshoot_relax_to_final_C,overshoot_relax,16,92,32,8.109756097560975e-10,8.109756097560976e-10,8.109756097560975e-10,6.617444900424222e-24,6.617444900424222e-24,6.85008944770476e-25,True,True,True,0.0,0.0,2.6469779601696886e-23
