step,time,N,condition,initial_seed_enabled,metastable_seed_enabled,initial_seed_amplitude,metastable_seed_amplitude,parent_plane_occupation,f_outside_parent,q1,q2,q3,q4,rank_Q,dominant_plane_occupation,non_dominant_occupation,kernel_occupation,residual_occupation,norm_Z,dagger_norm_error,zero_square_real,zero_square_imag,zero_square_abs,projection_closure_error,crossing_detected,metastable_start_detected
375,375,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,4.4408920985e-16,1.4142135624e+00,1.4142135624e+00,0.0000000000e+00,0.0000000000e+00,2,1.0000000000e+00,1.1875532001e-26,4.4408920984e-16,0.0000000000e+00,1.0000000000e+00,2.2204460493e-16,5.5511151231e-17,-6.5758859495e-16,6.5992745671e-16,0.0000000000e+00,0,0
400,400,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,2.2204460493e-16,1.4142135624e+00,1.4142135624e+00,1.0536712128e-08,0.0000000000e+00,2,1.0000000000e+00,2.4420187273e-26,2.2204460490e-16,0.0000000000e+00,1.0000000000e+00,8.8817841970e-16,-1.1102230246e-16,-5.6342037901e-16,5.7425471276e-16,0.0000000000e+00,0,0
425,425,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.4142135624e+00,1.4142135624e+00,1.2904784140e-08,1.0536712128e-08,2,1.0000000000e+00,5.0116385128e-26,-5.0116385128e-26,0.0000000000e+00,1.0000000000e+00,8.8817841970e-16,1.1102230246e-16,-6.7186552713e-16,6.8097667962e-16,0.0000000000e+00,0,0
450,450,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,1.1102230246e-16,1.4142135624e+00,1.4142135624e+00,9.4094482516e-09,0.0000000000e+00,2,1.0000000000e+00,1.0282462579e-25,1.1102230236e-16,0.0000000000e+00,1.0000000000e+00,9.9920072216e-16,1.1102230246e-16,-9.1162301105e-16,9.1835857154e-16,0.0000000000e+00,0,0
475,475,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,3.3306690739e-16,1.4142135624e+00,1.4142135624e+00,2.1410018389e-08,1.4413359337e-08,4,1.0000000000e+00,2.1078857524e-25,3.3306690718e-16,0.0000000000e+00,1.0000000000e+00,1.1102230246e-15,1.6653345369e-16,-9.2117731259e-16,9.3610951947e-16,0.0000000000e+00,0,0
500,500,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,3.3306690739e-16,1.4142135624e+00,1.4142135624e+00,2.2585908792e-08,3.7737433185e-09,3,1.0000000000e+00,4.3234096065e-25,3.3306690696e-16,0.0000000000e+00,1.0000000000e+00,1.5543122345e-15,3.3306690739e-16,-9.9832935678e-16,1.0524234269e-15,0.0000000000e+00,0,0
525,525,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,1.3322676296e-15,1.4142135624e+00,1.4142135624e+00,3.9578086892e-08,1.0481365175e-08,3,1.0000000000e+00,8.8692640307e-25,1.3322676287e-15,0.0000000000e+00,1.0000000000e+00,1.7763568394e-15,1.6653345369e-16,-1.1413791954e-15,1.1534642860e-15,0.0000000000e+00,0,0
550,550,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,4.2188474936e-15,1.4142135624e+00,1.4142135624e+00,7.4252521320e-08,8.5447351656e-09,3,1.0000000000e+00,1.8205141116e-24,4.2188474918e-15,0.0000000000e+00,1.0000000000e+00,1.7763568394e-15,1.6653345369e-16,-1.0988805941e-15,1.1114278885e-15,0.0000000000e+00,0,0
575,575,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,1.4210854715e-14,1.4142135624e+00,1.4142135624e+00,1.3765430679e-07,1.0536712128e-08,3,1.0000000000e+00,3.7415666139e-24,1.4210854711e-14,0.0000000000e+00,1.0000000000e+00,1.5543122345e-15,1.6653345369e-16,-1.0375080948e-15,1.0507884839e-15,0.0000000000e+00,0,0
600,600,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,4.8516746176e-14,1.4142135624e+00,1.4142135624e+00,2.5664623125e-07,1.3867611765e-08,3,1.0000000000e+00,7.7172040475e-24,4.8516746168e-14,0.0000000000e+00,1.0000000000e+00,1.7763568394e-15,2.2204460493e-16,-1.2335857387e-15,1.2534103802e-15,0.0000000000e+00,0,0
625,625,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,1.6631140909e-13,1.4142135624e+00,1.4142135624e+00,4.7403511166e-07,0.0000000000e+00,3,1.0000000000e+00,1.6049690267e-23,1.6631140907e-13,0.0000000000e+00,1.0000000000e+00,1.7763568394e-15,-1.6653345369e-16,-1.3964969746e-15,1.4063915497e-15,0.0000000000e+00,0,0
650,650,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,5.7098770156e-13,1.4142135624e+00,1.4142135624e+00,8.7901066906e-07,1.6764724721e-08,4,1.0000000000e+00,3.4079618766e-23,5.7098770153e-13,0.0000000000e+00,1.0000000000e+00,1.9984014443e-15,-5.5511151231e-17,-1.4777792505e-15,1.4788214907e-15,0.0000000000e+00,0,0
675,675,5,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,1.9616530622e-12,1.4142135624e+00,1.4142135624e+00,1.6289876902e-06,1.4901161194e-08,4,1.0000000000e+00,7.6202898209e-23,1.9616530621e-12,0.0000000000e+00,1.0000000000e+00,1.8873791419e-15,2.2204460493e-16,-1.5235452195e-15,1.5396408161e-15,0.0000000000e+00,0,0
700,700,5,A,0,0,0.0000000000e+00,0.0000000000e+00,9.9999999999e-01,6.7371663803e-12,1.4142135624e+00,1.4142135624e+00,3.0192414956e-06,1.0536712128e-08,3,1.0000000000e+00,1.9382971228e-22,6.7371663801e-12,0.0000000000e+00,1.0000000000e+00,2.1094237468e-15,2.2204460493e-16,-1.5337245048e-15,1.5497143812e-15,0.0000000000e+00,0,0
725,725,5,A,0,0,0.0000000000e+00,0.0000000000e+00,9.9999999998e-01,2.3143376104e-11,1.4142135624e+00,1.4142135624e+00,5.5958076476e-06,2.2204460493e-16,3,9.9999999999e-01,6.5808445171e-22,2.3143376104e-11,0.0000000000e+00,1.0000000000e+00,2.1094237468e-15,3.3306690739e-16,-1.5327796597e-15,1.5685493457e-15,0.0000000000e+00,0,0
750,750,5,A,0,0,0.0000000000e+00,0.0000000000e+00,9.9999999992e-01,7.9499518080e-11,1.4142135624e+00,1.4142135623e+00,1.0371238584e-05,0.0000000000e+00,3,9.9999999997e-01,3.5246704214e-21,7.9499518076e-11,0.0000000000e+00,1.0000000000e+00,1.9984014443e-15,4.9960036108e-16,-1.5675916717e-15,1.6452793592e-15,0.0000000000e+00,0,0
775,775,5,A,0,0,0.0000000000e+00,0.0000000000e+00,9.9999999973e-01,2.7308599826e-10,1.4142135624e+00,1.4142135622e+00,1.9222018462e-05,1.5934670268e-08,4,9.9999999991e-01,2.8465080395e-20,2.7308599823e-10,0.0000000000e+00,1.0000000000e+00,1.9984014443e-15,2.7755575616e-16,-1.5353704205e-15,1.5602562372e-15,0.0000000000e+00,0,0
800,800,5,A,0,0,0.0000000000e+00,0.0000000000e+00,9.9999999906e-01,9.3807084323e-10,1.4142135624e+00,1.4142135619e+00,3.5625997475e-05,0.0000000000e+00,3,9.9999999969e-01,2.8717639349e-19,9.3807084294e-10,0.0000000000e+00,1.0000000000e+00,2.2204460493e-15,5.5511151231e-16,-1.3097680813e-15,1.4225474396e-15,0.0000000000e+00,0,0
825,825,5,A,0,0,0.0000000000e+00,0.0000000000e+00,9.9999999678e-01,3.2223435031e-09,1.4142135624e+00,1.4142135608e+00,6.6029061298e-05,1.4901161068e-08,4,9.9999999894e-01,3.1815568523e-18,3.2223435000e-09,0.0000000000e+00,1.0000000000e+00,2.2204460493e-15,9.4368957093e-16,-1.1478904122e-15,1.4860021550e-15,0.0000000000e+00,0,0
850,850,5,A,0,0,0.0000000000e+00,0.0000000000e+00,9.9999998893e-01,1.1068989947e-08,1.4142135624e+00,1.4142135571e+00,1.2237795834e-04,1.2443185350e-08,3,9.9999999637e-01,3.6589845745e-17,1.1068989910e-08,0.0000000000e+00,1.0000000000e+00,2.6645352591e-15,1.0547118734e-15,-1.2368979936e-15,1.6255256942e-15,0.0000000000e+00,0,0
875,875,5,A,0,0,0.0000000000e+00,0.0000000000e+00,9.9999996198e-01,3.8022803350e-08,1.4142135624e+00,1.4142135442e+00,2.2681473465e-04,1.9316512253e-08,4,9.9999998753e-01,4.2720659819e-16,3.8022802923e-08,0.0000000000e+00,1.0000000000e+00,2.4424906542e-15,1.0547118734e-15,-1.1335886662e-15,1.5483670107e-15,0.0000000000e+00,0,0
900,900,5,A,0,0,0.0000000000e+00,0.0000000000e+00,9.9999986939e-01,1.3061111404e-07,1.4142135624e+00,1.4142134999e+00,4.2037728553e-04,3.1500154808e-08,4,9.9999995716e-01,5.0188547800e-15,1.3061110902e-07,0.0000000000e+00,1.0000000000e+00,2.9976021665e-15,9.9920072216e-16,-1.1954183698e-15,1.5580202701e-15,0.0000000000e+00,0,0
925,925,5,A,0,0,0.0000000000e+00,0.0000000000e+00,9.9999955134e-01,4.4865825033e-07,1.4142135624e+00,1.4142133478e+00,7.7912461338e-04,8.6422139502e-08,4,9.9999985283e-01,5.9113047753e-14,4.4865819122e-07,0.0000000000e+00,1.0000000000e+00,2.8865798640e-15,9.4368957093e-16,-1.0935333079e-15,1.4444255266e-15,0.0000000000e+00,0,0
950,950,5,A,0,0,0.0000000000e+00,0.0000000000e+00,9.9999845883e-01,1.5411664814e-06,1.4142135624e+00,1.4142128251e+00,1.4440212966e-03,2.9194110318e-07,4,9.9999949448e-01,6.9698172407e-13,1.5411657845e-06,0.0000000000e+00,1.0000000000e+00,2.7755575616e-15,7.7715611724e-16,-1.2292128561e-15,1.4542819109e-15,0.0000000000e+00,0,0
