case,N,M,simplex_rank,final_r2_min,final_r2_max,final_phase_distance_classes_tol1e-8,class_sizes,phase_thirds_error
N=3,3,3,2,0.0499999999999998,0.0999999999999987,3,1+1+1,0.33333333333333065
N=4,4,6,3,0.0833333333332951,0.1666666666669032,3,2+2+2,0.333333333333328
