step,max_within_opposite_pair_phase_diff,max_class_gap_error_from_one_third,gap1,gap2,gap3
0,4.947529504498804e-16,0.33333333333273846,0.4999999999997025,5.948574965941589e-13,0.49999999999970257
1,4.240739575284689e-16,0.33333333333273646,0.4999999999997015,5.968558980384842e-13,0.49999999999970157
2,4.240739575284689e-16,0.3333333333327309,0.4999999999996987,6.024070131616099e-13,0.4999999999996989
3,4.240739575284689e-16,0.3333333333327218,0.4999999999996943,6.115108419635362e-13,0.49999999999969413
4,4.240739575284689e-16,0.3333333333327085,0.4999999999996876,6.248335182590381e-13,0.4999999999996877
5,4.947529504498804e-16,0.33333333333269183,0.4999999999996793,6.414868636284154e-13,0.49999999999967926
6,4.240739575284689e-16,0.33333333333267107,0.49999999999966893,6.622480341889059e-13,0.4999999999996688
7,4.240739575284689e-16,0.3333333333326464,0.4999999999996566,6.868949853355844e-13,0.4999999999996564
8,4.240739575284689e-16,0.3333333333326178,0.49999999999964234,7.155387393709134e-13,0.4999999999996422
9,4.240739575284689e-16,0.33333333333258475,7.48553996565704e-13,0.4999999999996257,0.49999999999962585
10,4.240739575284689e-16,0.33333333333254755,7.857742234662624e-13,0.4999999999996071,0.4999999999996071
11,4.240739575284689e-16,0.3333333333325057,8.276018759190151e-13,0.4999999999995861,0.4999999999995862
12,4.240739575284689e-16,0.3333333333324592,8.74134098438617e-13,0.4999999999995629,0.499999999999563
13,2.8271597168564594e-16,0.3333333333324076,9.257039579324555e-13,0.49999999999953704,0.49999999999953726
14,2.8271597168564594e-16,0.3333333333323508,9.824918656420323e-13,0.4999999999995085,0.49999999999950906
15,2.8271597168564594e-16,0.3333333333322884,1.0449419107771973e-12,0.49999999999947764,0.4999999999994774
16,2.8271597168564594e-16,0.33333333333222015,1.1131651156404132e-12,0.4999999999994435,0.4999999999994432
17,2.8271597168564594e-16,0.3333333333321454,1.1879386363489175e-12,0.4999999999994062,0.4999999999994058
18,2.8271597168564594e-16,0.3333333333320643,1.2690404282977852e-12,0.49999999999936556,0.4999999999993654
19,1.4135798584282297e-16,0.33333333333197607,1.3572476476042539e-12,0.49999999999932143,0.4999999999993213
20,1.4135798584282297e-16,0.33333333333188003,1.45328193923433e-12,0.4999999999992734,0.49999999999927336
21,1.4135798584282297e-16,0.333333333331776,0.4999999999992212,1.557309836641707e-12,0.4999999999992215
22,2.1203697876423444e-16,0.3333333333316633,0.49999999999916483,1.6699974736411605e-12,0.4999999999991651
23,2.1203697876423444e-16,0.3333333333315413,0.49999999999910394,1.7920109840474652e-12,0.49999999999910416
24,2.1203697876423444e-16,0.3333333333314094,0.49999999999903794,1.9239054793729338e-12,0.4999999999990382
25,2.8271597168564594e-16,0.33333333333126686,0.4999999999989667,2.066458115734804e-12,0.4999999999989668
26,2.8271597168564594e-16,0.33333333333111276,0.49999999999888967,2.2205570715527756e-12,0.49999999999888967
27,2.8271597168564594e-16,0.33333333333094634,0.4999999999988065,2.3869795029440866e-12,0.4999999999988064
28,2.8271597168564594e-16,0.3333333333307667,0.4999999999987167,2.566613588328437e-12,0.4999999999987167
29,2.8271597168564594e-16,0.33333333333057286,0.4999999999986198,2.7604585284279892e-12,0.49999999999861966
30,2.1203697876423444e-16,0.3333333333303638,0.49999999999851524,2.969513523964906e-12,0.4999999999985153
31,2.1203697876423444e-16,0.3333333333301383,0.49999999999840256,3.1949998202662755e-12,0.4999999999984025
