config_id,R_C_over_R_A,coupling_C,C_offset_rad,C_cell_count,C_cell_width,resolved_case_count,fit_case_count,resolution_valid,clock_error,clock_valid,max_relative_contamination,common_mode_ratio,disturbance_valid,closure_valid,gauge_valid,fit_valid,loglog_slope,power_candidate_alpha,power_candidate_alpha_tau_ABC,power_candidate_alpha_tau_AB,power_candidate_alpha_tau_AC,power_candidate_alpha_tau_BC,log_rmse,alpha_classification,alpha_classification_tau_ABC,alpha_classification_tau_AB,alpha_classification_tau_AC,alpha_classification_tau_BC,tau_AB_alpha_delta_from_tau_ABC,tau_AC_alpha_delta_from_tau_ABC,tau_BC_alpha_delta_from_tau_ABC,inverse_term_injected,inverse_square_term_injected,constructed_reciprocal_used_for_success,deviation_deg,L_AB_true,L_AB_C_read,C_cell_crossings,resolution_valid_at_L,f_AB_native,f_AC,f_BC,f_ABC_common_mode_ratio,C_asymmetry,relative_contamination,a_AB_C_read,omega_AB,omega_AC,omega_BC,omega_ABC,tau_AB_unit,tau_AC_unit,tau_BC_unit,tau_ABC_unit,tau_AB_over_tau_ABC,tau_AC_over_tau_ABC,tau_BC_over_tau_ABC,a_AB_by_tau_ABC,a_AB_by_tau_AB,a_AB_by_tau_AC,a_AB_by_tau_BC
Rc0.03125_eps0.01_off0,0.03125,0.01,0.0,3,2.0943951023931953,0,0,False,2.000015625,False,,0.0003125,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False,1.0,0.017453292519943295,0.0,0.008333333333333335,False,0.017453292519943295,0.0003125,0.0003125,0.0003125,0.0,0.0,0.0,1.0174532925199433,1.0003125,1.0003125,1.0003125,0.9828460995229408,0.999687597625742,0.999687597625742,0.999687597625742,0.9831532389290416,1.0,1.0,0.0,0.0,0.0,0.0
Rc0.03125_eps0.01_off0,0.03125,0.01,0.0,3,2.0943951023931953,0,0,False,2.000015625,False,,0.0003125,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False,2.0,0.03490658503988659,0.0,0.01666666666666667,False,0.03490658503988659,0.0003125,0.0003125,0.0003125,0.0,0.0,0.0,1.0349065850398866,1.0003125,1.0003125,1.0003125,0.9662707866154496,0.999687597625742,0.999687597625742,0.999687597625742,0.9665727462362669,1.0,1.0,0.0,0.0,0.0,0.0
Rc0.03125_eps0.01_off0,0.03125,0.01,0.0,3,2.0943951023931953,0,0,False,2.000015625,False,,0.0003125,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False,5.0,0.08726646259971647,0.0,0.04166666666666667,False,0.08726646259971647,0.0003125,0.0003125,0.0003125,0.0,0.0,0.0,1.0872664625997164,1.0003125,1.0003125,1.0003125,0.9197377408376441,0.999687597625742,0.999687597625742,0.999687597625742,0.9200251588816559,1.0,1.0,0.0,0.0,0.0,0.0
Rc0.03125_eps0.01_off0,0.03125,0.01,0.0,3,2.0943951023931953,0,0,False,2.000015625,False,,0.0003125,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False,10.0,0.17453292519943295,0.0,0.08333333333333334,False,0.17453292519943295,0.0003125,0.0003125,0.0003125,0.0,0.0,0.0,1.174532925199433,1.0003125,1.0003125,1.0003125,0.8514022711029597,0.999687597625742,0.999687597625742,0.999687597625742,0.8516683343126794,1.0,1.0,0.0,0.0,0.0,0.0
Rc0.03125_eps0.01_off0,0.03125,0.01,0.0,3,2.0943951023931953,0,0,False,2.000015625,False,,0.0003125,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False,20.0,0.3490658503988659,0.0,0.16666666666666669,False,0.3490658503988659,0.0003125,0.0003125,0.0003125,0.0,0.0,0.0,1.349065850398866,1.0003125,1.0003125,1.0003125,0.7412536606010294,0.999687597625742,0.999687597625742,0.999687597625742,0.7414853023699671,1.0,1.0,0.0,0.0,0.0,0.0
Rc0.03125_eps0.01_off0,0.03125,0.01,0.0,3,2.0943951023931953,0,0,False,2.000015625,False,,0.0003125,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False,35.0,0.6108652381980153,0.0,0.2916666666666667,False,0.6108652381980153,0.0003125,0.0003125,0.0003125,0.0,0.0,0.0,1.6108652381980153,1.0003125,1.0003125,1.0003125,0.620784393558982,0.999687597625742,0.999687597625742,0.999687597625742,0.6209783886819691,1.0,1.0,0.0,0.0,0.0,0.0
Rc0.03125_eps0.01_off0,0.03125,0.01,0.0,3,2.0943951023931953,0,0,False,2.000015625,False,,0.0003125,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False,60.0,1.0471975511965976,0.0,0.5,False,1.0471975511965976,0.0003125,0.0003125,0.0003125,0.0,0.0,0.0,2.0471975511965974,1.0003125,1.0003125,1.0003125,0.4884726436955217,0.999687597625742,0.999687597625742,0.999687597625742,0.4886252913966765,1.0,1.0,0.0,0.0,0.0,0.0
Rc0.03125_eps0.01_off0.01,0.03125,0.01,0.01,3,2.0943951023931953,0,0,False,2.000015625,False,,0.0003125,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False,1.0,0.017453292519943295,0.0,0.008333333333333335,False,0.017453292519943295,0.000315625,0.000309375,0.0003125,6.249999999999962e-06,0.00035809862195676235,6.249999999999962e-06,1.0174532925199433,1.000315625,1.000309375,1.0003125,0.9828460995229408,0.9996844745877083,0.9996907206832886,0.999687597625742,0.9831532389290416,0.9999968759860168,1.000003124033502,6.253906860351524e-06,6.470070015372919e-06,6.2539459351195916e-06,6.253867785705529e-06
Rc0.03125_eps0.01_off0.01,0.03125,0.01,0.01,3,2.0943951023931953,0,0,False,2.000015625,False,,0.0003125,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False,2.0,0.03490658503988659,0.0,0.01666666666666667,False,0.03490658503988659,0.000315625,0.000309375,0.0003125,6.249999999999962e-06,0.00017904931097838118,6.249999999999962e-06,1.0349065850398866,1.000315625,1.000309375,1.0003125,0.9662707866154496,0.9996844745877083,0.9996907206832886,0.999687597625742,0.9665727462362669,0.9999968759860168,1.000003124033502,6.253906860351524e-06,6.69394774849321e-06,6.2539459351195916e-06,6.253867785705529e-06
Rc0.03125_eps0.01_off0.01,0.03125,0.01,0.01,3,2.0943951023931953,0,0,False,2.000015625,False,,0.0003125,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False,5.0,0.08726646259971647,0.0,0.04166666666666667,False,0.08726646259971647,0.000315625,0.000309375,0.0003125,6.249999999999962e-06,7.161972439135248e-05,6.249999999999962e-06,1.0872664625997164,1.000315625,1.000309375,1.0003125,0.9197377408376441,0.9996844745877083,0.9996907206832886,0.999687597625742,0.9200251588816559,0.9999968759860168,1.000003124033502,6.253906860351524e-06,7.388427254338083e-06,6.2539459351195916e-06,6.253867785705529e-06
